path	kind	consumers	consumer_count	lines	bytes	sha256	sections	labels	citation_keys	unresolved_citations	todo_lines	placeholder_lines	claim_risk_lines	missing_input_hooks	mechanical_status
platform_hybrid/experiments/results/group_size_iter23_crossings.tsv_typesetter	shared	P03,U01	2	16	490	1121921ede92cbd80a2e381b89c07a3eb4a465150909b994d1fa1a9e8a04fce5	0	0	0					0	screened
platform_hybrid/paper/acm_main.tex	root	R01	1	739	34122	d8e5e9363d8b8c016c31cfd019b7cf7e03b6d7ed82b2b3cf753dcdd54608a8ef	26	30	15			231	191,204,209,247,290,298,358,359,360,361,362,371,375,448,455,460,474,475,476,600,686,687,688,691,696	0	attention
platform_hybrid/paper/ethics_statement.tex	paper-specific	U01	1	449	24177	1b12bbbfa0df01d0955081af2741ca36712c1f0335bdb79c2afb799911ac5395	7	9	22			360	43,48,122,212,259,385,400	0	attention
platform_hybrid/paper/main.tex	root	U01	1	2752	142551	89d6021a3c2eb9fe9048cc00df260b1aa8ccbc39b60d4ae198b45c7fe37798f5	48	77	16			225,654,725,739,864,923,936,977,1003,1282,1344,1549,1561,1615,1991,2362,2379	161,226,239,240,241,242,243,252,257,348,476,487,491,498,502,505,520,536,539,557,563,618,620,621,670,678,679,689,696,710,711,712,892,939,1092,1239,1240,1243,1244,1246,1249,1260,1261,1263,1269,1272,1279,1280,1282,1284,1285,1288,1290,1292,1293,1296,1301,1313,1327,1328,1347,1355,1358,1361,1363,1365,1366,1368,1376,1380,1390,1392,1395,1452,1458,1462,1513,1519,1576,1591,1626,1630,1683,1704,1708,1709,1728,1733,1759,1773,1778,1839,1948,1964,1975,1978,1979,1993,2088,2091,2092,2096,2106,2120,2130,2148,2158,2165,2169,2177,2180,2184,2185,2188,2228,2278,2319,2367,2368,2466	0	attention
platform_hybrid/paper/neurips_2026_variants/ethics_statement_anon.tex	paper-specific	R04	1	6	352	15b36023b04f2f43d3abc93125978b5c7b58907a63b0f1e81d1cd7f5d11125c6	0	0	0					0	screened
platform_hybrid/paper/neurips_2026_variants/ethics_statement_zvf.tex	shared	R02,R03,R04	3	466	25267	2c103fe45a2d621c0dc519a89f18a431edc0110d6f50c9b7962b272a252cc8f2	7	9	21			376	43,47,84,123,221,269,401,416	0	attention
platform_hybrid/paper/neurips_2026_variants/main_dnb.tex	root	R04	1	323	14680	014fa10d6c91e70cf3880a0415e1e0bf2c976e1f78080f8e2da32d3b06b88b55	6	9	0				78,143,178,200	0	screened
platform_hybrid/paper/neurips_2026_variants/main_workshop.tex	root	R03	1	337	15687	5e9fccc14998e30f7094fd53c191cdfc48be9e032bb6c2fff6573dec008516a1	4	11	0				130,216	0	screened
platform_hybrid/paper/neurips_2026_variants/main_zvf.tex	root	R02	1	656	33123	8081d25087a27c06004e79254917d03a4733d2fc4ae3e26873a051d522e6c6d4	10	21	2				204,404,577,583	0	screened
platform_hybrid/paper/neurips_2026_variants/sections/abstract_dnb.tex	paper-specific	R04	1	47	2859	7046563f4e4b91ca7284bb65c7cb0e05e4f3d30b90a1b6035f2ab8f6fd138388	0	0	0				33,36	0	screened
platform_hybrid/paper/neurips_2026_variants/sections/abstract_workshop.tex	paper-specific	R03	1	32	1856	540c2b4e27b3fbdb554c11e2179b1c997590f453ebcaf3ad1ad66569a11e4f83	0	0	0					0	screened
platform_hybrid/paper/neurips_2026_variants/sections/abstract_zvf.tex	paper-specific	R02	1	31	2122	a9cfe9364028e7beadcb4ebf74a5c6dc09a70ab1da3c26928cabceace260d56f	0	0	0					0	screened
platform_hybrid/paper/neurips_2026_variants/sections/appendix_full_results_dnb.tex	paper-specific	R04	1	156	7804	315e70cbfc9f6b518769d9828da8c3a0628cb06937c73f65cf7edf9a7f89b067	1	4	0				34,76,87,129,142,144,145	0	screened
platform_hybrid/paper/neurips_2026_variants/sections/appendix_zvf_formalization.tex	shared	R02,R03,R04	3	90	5140	f2de8c2db391ab4d61f85055ddbb3a92d6850565de12dd1a39a25871b0348835	5	2	0				37,50,54,58,63,64,67,88	0	screened
platform_hybrid/paper/neurips_2026_variants/sections/artifact_card_dnb.tex	paper-specific	R04	1	44	3584	fe4434c1ca80d9af2152ed87810ddf92e5eb7a96622d7346b8eb3c4244c2e522	0	1	0				21,22,23	0	screened
platform_hybrid/paper/neurips_2026_variants/sections/checklist_anon.tex	paper-specific	R04	1	417	22638	c01c718fbe51ef3d061383b9c0292dcf3dda8f5f4d6891f5e88ae7dc9fafa3da	1	0	4				89,283	0	screened
platform_hybrid/paper/neurips_2026_variants/sections/claims_tier_dnb.tex	paper-specific	R04	1	57	2805	3b80cdcd1638a8c51a5c50e5f9ade45e8a463dae5d078294bde0cb13b2fac255	0	1	0					0	screened
platform_hybrid/paper/neurips_2026_variants/sections/conclusion_dnb.tex	paper-specific	R04	1	17	1059	967094e1e391cdf7cb816dca9365f86ec3f1ac46c761eadd28030830a024605a	1	1	0				8,11,13,14	0	screened
platform_hybrid/paper/neurips_2026_variants/sections/conclusion_workshop.tex	paper-specific	R03	1	46	2900	9cdf777ed7c1f271de7be15dc01e51465bbbac8f7fbc5babf292a6aab7969811	1	1	0					0	screened
platform_hybrid/paper/neurips_2026_variants/sections/conclusion_zvf.tex	paper-specific	R02	1	50	2933	5575a5e2b37ce8f3e7acd00192ff1f088321b16f836a9159618f7c80e9e847f0	1	1	0				49	0	screened
platform_hybrid/paper/neurips_2026_variants/sections/intro_dnb.tex	paper-specific	R04	1	67	3820	4808ae2ee72cececb7cd2214a95173d23a5719d69788bbe4aeedc1e41ded1aa5	1	1	5				12,19,31,49,52	0	screened
