name	id	state	createdAt	model	algorithm	group_size	dataset	max_steps	lr	final_reward
gsm8k-gemma2-9b	uwq1v2xa	failed	2026-04-05T01:42:41Z	google/gemma-2-9b-it		16			4e-05	
gsm8k-qwen3-8b-g4	7sd2bgrh	failed	2026-04-05T01:42:43Z	Qwen/Qwen3-8B		4			4e-05	1
gsm8k-qwen3-0.6b	l75fznth	failed	2026-04-05T01:43:03Z	Qwen/Qwen3-0.6B		16			5e-05	
tool-use-qwen3-8b-unconstrained	tz9y73d5	finished	2026-04-05T01:43:06Z	Qwen/Qwen3-8B		16			4e-05	1
gsm8k-llama3.1-8b	g9by488d	failed	2026-04-05T01:45:24Z	NousResearch/Meta-Llama-3.1-8B-Instruct		16			4e-05	0.96875
gsm8k-llama3.2-1b	wzrmtarp	finished	2026-04-05T01:45:27Z	meta-llama/Llama-3.2-1B		16			5e-05	0
gsm8k-qwen3-1.7b	2gcm9l93	failed	2026-04-05T01:45:30Z	Qwen/Qwen3-1.7B		16			4e-05	
gsm8k-qwen3-8b-g32	bzsu4ven	failed	2026-04-05T01:45:34Z	Qwen/Qwen3-8B		32			4e-05	0.9921875
math-qwen3-8b	db69fahg	failed	2026-04-05T01:45:38Z	Qwen/Qwen3-8B		16			4e-05	
gsm8k-qwen3-8b-lr1e-4	8f667vum	finished	2026-04-05T01:45:41Z	Qwen/Qwen3-8B		16			0.0001	1
gsm8k-llama3.2-3b-ladder	o7wddit7	failed	2026-04-05T01:48:52Z	unsloth/Llama-3.2-3B		16			4e-05	0.109375
math-qwen3-8b	3dcw1s1z	failed	2026-04-05T01:48:55Z	Qwen/Qwen3-8B		16			4e-05	0.5359375
gsm8k-llama3.1-8b-ladder	1kkx18lp	failed	2026-04-05T01:48:58Z	meta-llama/Llama-3.1-8B		16			4e-05	0.03125
gsm8k-qwen3-8b-g64	4utgw5pv	failed	2026-04-05T01:49:01Z	Qwen/Qwen3-8B		64			4e-05	0.984375
gsm8k-qwen3-8b-lr1e-5	9omyye45	failed	2026-04-05T01:49:05Z	Qwen/Qwen3-8B		16			1e-05	0.296875
gsm8k-qwen3-8b-lr3e-4	relyr3v9	failed	2026-04-05T01:49:09Z	Qwen/Qwen3-8B		16			0.0003	0.21875
gsm8k-qwen3-8b-seed4	au00ld7t	failed	2026-04-05T01:49:38Z	Qwen/Qwen3-8B		16			4e-05	1
gsm8k-qwen3-8b-seed5	wods392r	failed	2026-04-05T01:49:41Z	Qwen/Qwen3-8B		16			4e-05	0.75
gsm8k-llama3.2-3b	jk0a4wum	failed	2026-04-05T01:49:45Z	unsloth/Llama-3.2-3B		16			4e-05	0.015625
gsm8k-llama3.1-8b-base	ru80tpg3	failed	2026-04-05T01:49:48Z	meta-llama/Llama-3.1-8B		16			4e-05	0.046875
tool-use-qwen3-8b-constrained	4cvz8ahi	finished	2026-04-05T01:49:51Z	Qwen/Qwen3-8B		16			4e-05	1
humaneval-qwen3-8b	11vcrboh	failed	2026-04-05T01:49:54Z	Qwen/Qwen3-8B		16			4e-05	0
tool-use-llama3.1-8b-instruct	dhkz7541	finished	2026-04-05T01:49:57Z	NousResearch/Meta-Llama-3.1-8B-Instruct		16			4e-05	0.103125
tool-use-llama3.1-8b	tk9ti3py	finished	2026-04-05T01:50:00Z	NousResearch/Meta-Llama-3.1-8B-Instruct		16			4e-05	0
gsm8k-llama3.1-8b-instruct-ladder	75nsn3zf	failed	2026-04-05T01:50:03Z	NousResearch/Meta-Llama-3.1-8B-Instruct		16			4e-05	0.515625
