backbone	rank	score	score_gradient	is_positive
XGB-20raw	1	0.997732	0.00549102	1
XGB-20raw	2	0.992241	0.0184348	1
XGB-20raw	3	0.973806	0.00155967	1
XGB-20raw	4	0.972247	0.00214034	1
XGB-20raw	5	0.970106	0.00203979	1
XGB-20raw	6	0.968066	0.00615168	1
XGB-20raw	7	0.961915	0.00100976	1
XGB-20raw	8	0.960905	0.00346547	1
XGB-20raw	9	0.957439	0.000383735	1
XGB-20raw	10	0.957056	0.0183434	1
XGB-20raw	11	0.938712	0.00256395	1
XGB-20raw	12	0.936148	0.00506771	1
XGB-20raw	13	0.931081	0.00563461	1
XGB-20raw	14	0.925446	0.00583255	1
XGB-20raw	15	0.919614	0.00510478	1
XGB-20raw	16	0.914509	0.000910401	1
XGB-20raw	17	0.913598	0.00860077	1
XGB-20raw	18	0.904998	0.00165659	1
XGB-20raw	19	0.903341	0.00289261	1
XGB-20raw	20	0.900448	0.00442833	1
XGB-20raw	21	0.89602	0.0100206	1
XGB-20raw	22	0.885999	0.00034678	1
XGB-20raw	23	0.885653	0.0106795	1
XGB-20raw	24	0.874973	0.0025965	1
XGB-20raw	25	0.872377	0.00937694	1
XGB-20raw	26	0.863	0.00558388	1
XGB-20raw	27	0.857416	0.00177592	1
XGB-20raw	28	0.85564	0.000212371	1
XGB-20raw	29	0.855428	0.00190645	1
XGB-20raw	30	0.853521	0.000807345	1
XGB-20raw	31	0.852714	0.000806034	1
XGB-20raw	32	0.851908	0.00244415	1
XGB-20raw	33	0.849464	0.00152403	1
XGB-20raw	34	0.847939	0.00988734	1
XGB-20raw	35	0.838052	0.00203913	1
XGB-20raw	36	0.836013	0.00186998	1
XGB-20raw	37	0.834143	0.000329316	1
XGB-20raw	38	0.833814	0.00176615	1
XGB-20raw	39	0.832048	0.00372952	1
XGB-20raw	40	0.828318	0.00134665	1
XGB-20raw	41	0.826971	0.00103164	1
XGB-20raw	42	0.82594	0.00033766	1
XGB-20raw	43	0.825602	0.0115594	1
XGB-20raw	44	0.814043	0.000339687	1
XGB-20raw	45	0.813703	0.00667125	1
XGB-20raw	46	0.807032	0.00175971	1
XGB-20raw	47	0.805272	0.000614464	1
XGB-20raw	48	0.804658	0.00924706	1
XGB-20raw	49	0.795411	0.00885117	1
XGB-20raw	50	0.786559	0.00108665	1
XGB-20raw	51	0.785473	0.00442338	1
XGB-20raw	52	0.781049	0.00232667	1
XGB-20raw	53	0.778723	0.00874728	1
XGB-20raw	54	0.769975	0.00692022	1
XGB-20raw	55	0.763055	0.00149554	1
XGB-20raw	56	0.76156	0.00346828	1
XGB-20raw	57	0.758091	0.0017556	1
XGB-20raw	58	0.756336	0.00403845	1
XGB-20raw	59	0.752297	0.00172406	1
XGB-20raw	60	0.750573	0.00546408	1
XGB-20raw	61	0.745109	0.00325817	1
XGB-20raw	62	0.741851	0.0205177	1
XGB-20raw	63	0.721333	0.00254911	1
XGB-20raw	64	0.718784	0.00252432	1
XGB-20raw	65	0.71626	0.00928098	1
XGB-20raw	66	0.706979	0.0228661	1
XGB-20raw	67	0.684113	0.0138804	1
XGB-20raw	68	0.670232	0.000533998	1
XGB-20raw	69	0.669698	0.0028702	1
XGB-20raw	70	0.666828	0.00530928	1
XGB-20raw	71	0.661519	0.0040499	1
XGB-20raw	72	0.657469	0.0066871	1
XGB-20raw	73	0.650782	0.00839353	1
XGB-20raw	74	0.642388	6.27041e-05	1
XGB-20raw	75	0.642326	0.0281941	1
XGB-20raw	76	0.614132	0.00424522	1
XGB-20raw	77	0.609886	0.00326949	1
XGB-20raw	78	0.606617	0.000912011	1
XGB-20raw	79	0.605705	0.00147259	1
XGB-20raw	80	0.604232	0.00147361	1
XGB-20raw	81	0.602759	0.00444955	1
XGB-20raw	82	0.598309	0.00939035	1
XGB-20raw	83	0.588919	0.00397635	1
XGB-20raw	84	0.584942	0.00258422	1
XGB-20raw	85	0.582358	0.0200092	1
XGB-20raw	86	0.562349	0.0113283	1
XGB-20raw	87	0.551021	0.00389165	1
XGB-20raw	88	0.547129	0.00480032	1
XGB-20raw	89	0.542329	0.00025475	1
XGB-20raw	90	0.542074	0.000867069	1
XGB-20raw	91	0.541207	0.00740588	1
