id	record_type	row_idx	metric_state	panel_state	base_state	delta_state	ci_low_state	ci_high_state	n_state	significant_state	ci_method_state	source_state	note_state	window_sensitivity_state	robust_panel_state	welch_ci_low_state	welch_ci_high_state	welch_sig_state	sig_robust_bootstrap_and_welch_state	sig_robust_note_state	xpanel_verdict_state	xpanel_method_state	ci_consistent	src_exists	src_state
delta_cppo	variant_delta	0	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	NULL	NULL	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	NULL	NULL	yes	yes	PRESENT
delta_cppo	variant_delta	1	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	yes	yes	PRESENT
delta_cppo	variant_delta	2	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	yes	yes	PRESENT
delta_drgrpo	variant_delta	0	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	yes	yes	PRESENT
delta_drgrpo	variant_delta	1	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	yes	yes	PRESENT
delta_drgrpo	variant_delta	2	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	yes	yes	PRESENT
delta_es	variant_delta	0	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	NULL	NULL	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	NULL	NULL	yes	yes	PRESENT
delta_es	variant_delta	1	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	yes	yes	PRESENT
delta_es	variant_delta	2	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	yes	yes	PRESENT
delta_gift	variant_delta	0	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	NULL	NULL	NULL	NULL	NULL	NULL	NULL	yes	yes	PRESENT
delta_gift	variant_delta	1	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	NULL	NULL	NULL	NULL	NULL	NULL	NULL	yes	yes	PRESENT
delta_gift	variant_delta	2	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	NULL	NULL	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	NULL	NULL	yes	yes	PRESENT
delta_gift	variant_delta	3	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	yes	yes	PRESENT
delta_gift	variant_delta	4	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	yes	yes	PRESENT
delta_gift	variant_delta	5	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	yes	yes	PRESENT
delta_mcgrpo	variant_delta	0	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	NULL	NULL	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	NULL	NULL	yes	yes	PRESENT
delta_mcgrpo	variant_delta	1	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	yes	yes	PRESENT
delta_mcgrpo	variant_delta	2	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	yes	yes	PRESENT
delta_ngrpo	variant_delta	0	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	NULL	NULL	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	NULL	NULL	yes	yes	PRESENT
delta_ngrpo	variant_delta	1	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	yes	yes	PRESENT
delta_ngrpo	variant_delta	2	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	yes	yes	PRESENT
delta_scafgrpo	variant_delta	0	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	NULL	NULL	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	NULL	NULL	yes	yes	PRESENT
delta_scafgrpo	variant_delta	1	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	yes	yes	PRESENT
delta_scafgrpo	variant_delta	2	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	PRESENT	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	yes	yes	PRESENT
