seed	rate_pct	fset	tier	utility	opt_util	n_alerted	cost_total	value_gain	net_value
20260706	1.44	24full	cheap_heuristic	F1	0.8486842105263158	160	0.016	6450.0	6449.984
20260706	1.44	24full	cheap_heuristic	VALUE	0.9999960277777779	286	0.0286	7200.0	7199.9714
20260706	1.44	24full	cheap_heuristic	PREC_CONSTRAINED	1.0	286	0.0286	7200.0	7199.9714
20260706	1.44	24full	cheap_heuristic	COST_CONSTRAINED	1.0	9991	0.9991000000000001	7200.0	7199.0009
20260706	1.44	24full	small_open	F1	0.8486842105263158	160	0.09599999999999999	6450.0	6449.904
20260706	1.44	24full	small_open	VALUE	0.9999761666666667	286	0.17159999999999997	7200.0	7199.8284
20260706	1.44	24full	small_open	PREC_CONSTRAINED	1.0	286	0.17159999999999997	7200.0	7199.8284
20260706	1.44	24full	small_open	COST_CONSTRAINED	1.0	9991	5.994599999999999	7200.0	7194.0054
20260706	1.44	24full	iter120_default	F1	0.8486842105263158	160	0.16	6450.0	6449.84
20260706	1.44	24full	iter120_default	VALUE	0.9999602777777777	286	0.28600000000000003	7200.0	7199.714
20260706	1.44	24full	iter120_default	PREC_CONSTRAINED	1.0	286	0.28600000000000003	7200.0	7199.714
20260706	1.44	24full	iter120_default	COST_CONSTRAINED	1.0	9991	9.991	7200.0	7190.009
20260706	1.44	24full	mid_tier	F1	0.8486842105263158	160	0.8	6450.0	6449.2
20260706	1.44	24full	mid_tier	VALUE	0.9998013888888888	286	1.43	7200.0	7198.57
20260706	1.44	24full	mid_tier	PREC_CONSTRAINED	1.0	286	1.43	7200.0	7198.57
20260706	1.44	24full	mid_tier	COST_CONSTRAINED	1.0	9991	49.955	7200.0	7150.045
20260706	1.44	24full	frontier_gpt4	F1	0.8486842105263158	160	4.8	6450.0	6445.2
20260706	1.44	24full	frontier_gpt4	VALUE	0.9988083333333333	286	8.58	7200.0	7191.42
20260706	1.44	24full	frontier_gpt4	PREC_CONSTRAINED	1.0	286	8.58	7200.0	7191.42
20260706	1.44	24full	frontier_gpt4	COST_CONSTRAINED	1.0	9991	299.72999999999996	7200.0	6900.27
20260706	1.44	20raw	cheap_heuristic	F1	0.8115015974440896	169	0.016900000000000002	6350.0	6349.9831
20260706	1.44	20raw	cheap_heuristic	VALUE	0.9999954861111111	325	0.0325	7200.0	7199.9675
20260706	1.44	20raw	cheap_heuristic	PREC_CONSTRAINED	0.9930555555555556	284	0.0284	7150.0	7149.9716
20260706	1.44	20raw	cheap_heuristic	COST_CONSTRAINED	1.0	9987	0.9987	7200.0	7199.0013
20260706	1.44	20raw	small_open	F1	0.8115015974440896	169	0.10139999999999999	6350.0	6349.8986
20260706	1.44	20raw	small_open	VALUE	0.9999729166666667	325	0.19499999999999998	7200.0	7199.805
20260706	1.44	20raw	small_open	PREC_CONSTRAINED	0.9930555555555556	284	0.1704	7150.0	7149.8296
