rate_pct	tier	fset	cost_llm_per_call	n_test	n_pos	xgb_caught_K2	n_llm_grad	cpd_xgb	cpd_grad	cppr_xgb	cppr_grad	acd	acd_boot_mean	acd_boot_lo	acd_boot_hi	sweet_spot_price_per_call	grad_cheaper_at_cppr
1.44	cheap_heuristic	24full	0.0001	10000	144	48	96	0.0001	0.0001	0.020833333333333332	0.020833333333333332	1.0	1.0	1.0	1.0	5e-05	True
1.44	cheap_heuristic	20raw	0.0001	10000	144	50	76	0.0001	0.0001	0.02	0.02	1.0	1.0	1.0	1.0	6.578947368421052e-05	True
1.44	cheap_heuristic	20raw+minmax	0.0001	10000	144	50	82	0.0001	0.0001	0.02	0.02	1.0	1.0	1.0	1.0	6.097560975609756e-05	True
1.44	cheap_heuristic	20raw+stat	0.0001	10000	144	50	85	0.0001	0.0001	0.02	0.02	1.0	1.0	1.0	1.0	5.882352941176471e-05	True
1.0	cheap_heuristic	24full	0.0001	9956	100	34	95	0.0001	0.0001	0.02928235294117647	0.02928235294117647	1.0	1.0	1.0	1.0	3.578947368421053e-05	True
1.0	cheap_heuristic	20raw	0.0001	9956	100	37	82	0.0001	0.0001	0.02690810810810811	0.02690810810810811	1.0	1.0	1.0	1.0	4.51219512195122e-05	True
1.0	cheap_heuristic	20raw+minmax	0.0001	9956	100	34	82	0.0001	0.0001	0.02928235294117647	0.02928235294117647	1.0	1.0	1.0	1.0	4.1463414634146346e-05	True
1.0	cheap_heuristic	20raw+stat	0.0001	9956	100	37	82	0.0001	0.0001	0.02690810810810811	0.02690810810810811	1.0	1.0	1.0	1.0	4.51219512195122e-05	True
0.5	cheap_heuristic	24full	0.0001	9906	50	22	97	0.0001	0.0001	0.04502727272727273	0.04502727272727273	1.0	1.0	1.0	1.0	2.268041237113402e-05	True
0.5	cheap_heuristic	20raw	0.0001	9906	50	22	79	0.0001	0.0001	0.04502727272727273	0.04502727272727273	1.0	1.0	1.0	1.0	2.7848101265822786e-05	True
