decile	n	n_pos	hit_rate	brier_20raw	brier_24full	brier_gap_mean	brier_gap_lo	brier_gap_hi	ece_20raw	ece_24full	ece_gap_mean	ece_gap_lo	ece_gap_hi	auc_20raw	auc_24full	auc_gap_mean	auc_gap_lo	auc_gap_hi
1	1000	5	0.0050	0.012149	0.008692	-0.003457	-0.004725	-0.002469	0.073299	0.063399	-0.009900	-0.013675	-0.006275	0.998834	0.999719	0.000884	0.000724	0.001005
2	1000	11	0.0110	0.020437	0.015816	-0.004621	-0.006223	-0.003136	0.099618	0.089458	-0.010160	-0.014160	-0.006090	0.998860	0.999099	0.000239	-0.000037	0.000552
3	1000	15	0.0150	0.030568	0.024600	-0.005968	-0.007081	-0.004841	0.127677	0.117819	-0.009858	-0.014190	-0.004816	0.997834	0.999526	0.001692	0.001367	0.001949
4	1000	19	0.0190	0.035835	0.033983	-0.001852	-0.003363	-0.000249	0.138624	0.137299	-0.001324	-0.005040	0.003614	0.997124	0.998004	0.000880	0.000215	0.001459
5	1000	17	0.0170	0.043886	0.045735	0.001849	0.000472	0.003259	0.158604	0.165337	0.006732	0.003788	0.010293	0.995991	0.997140	0.001149	0.000371	0.001759
6	1000	13	0.0130	0.048148	0.048761	0.000613	-0.000708	0.001944	0.169395	0.174287	0.004891	0.001452	0.009403	0.997459	0.997880	0.000421	-0.000296	0.001247
7	1000	23	0.0230	0.048634	0.051939	0.003305	0.002028	0.004794	0.164142	0.173332	0.009189	0.006114	0.013232	0.995683	0.995861	0.000178	-0.000507	0.000792
8	1000	20	0.0200	0.040657	0.040408	-0.000249	-0.000919	0.000345	0.156853	0.160603	0.003749	0.000209	0.007164	0.999224	0.999459	0.000235	0.000071	0.000408
9	1000	12	0.0120	0.039997	0.031190	-0.008806	-0.009472	-0.008135	0.149730	0.132313	-0.017417	-0.018930	-0.015620	0.997773	0.999275	0.001501	0.001350	0.001636
10	1000	9	0.0090	0.017876	0.008770	-0.009106	-0.010050	-0.008223	0.093118	0.066730	-0.026388	-0.029012	-0.023236	0.998789	1.000000	0.001211	0.000740	0.001727
