item	leaf	n_clusters_reporting	mean_disagree	max_disagree	any_cluster_at_100	all_clusters_at_0
loss_form	clip_eps_low	1	0.0	0.0	False	True
loss_form	clip_eps_high	1	0.0	0.0	False	True
sampler_backend	temperature	6	0.0	0.0	False	True
sampler_backend	top_p	6	0.0	0.0	False	True
telemetry	per_step_zvf	6	0.0	0.0	False	True
telemetry	per_step_gu	6	0.0	0.0	False	True
heldout_split	disjoint_from_reward_env	6	0.0	0.0	False	True
loss_form	length_normalization	1	0.0	0.0	False	True
loss_form	advantage_normalization	1	0.0	0.0	False	True
sampler_backend	precision	4	0.0	0.0	False	True
group_size_schedule	schedule	3	0.1333	0.4	False	False
group_size_schedule	adaptation_rule	3	0.1333	0.4	False	False
group_size_schedule	initial_g	1	0.4	0.4	False	False
loss_form	importance_ratio_level	1	0.5	0.5	False	False
reference_kl	kl_estimator	1	0.5	0.5	False	False
reference_kl	reference_policy	3	0.8	1.0	True	False
reference_kl	kl_beta	1	0.8333	0.8333	False	False
heldout_split	description	6	0.9333	1.0	True	False
telemetry	source	6	0.9722	1.0	True	False
sampler_backend	backend	6	1.0	1.0	True	False
