delta_id	metric	panel	predicted_sign	observed_delta	ci_low	ci_high	n	significant	stored_verdict	machine_verdict	consistent	claim_layer	measured_layer	audit_layer
delta_adaptiveg	reward_mean	qp7_adaptive_armB_vs_armA_paired	>=0	-0.007812	-0.023926	0.009277	16	False	NEUTRAL	NEUTRAL	True	expected_effects	measured[]	claim_validation[]
delta_adaptiveg	zvf	qp7_adaptive_armB_vs_armA_paired	<0	-0.074219	-0.121094	-0.03125	16	True	SUPPORTS	SUPPORTS	True	expected_effects	measured[]	claim_validation[]
delta_aero	mean_zvf	zvf130_5seed		-0.26052	-0.26052	-0.26052	5	False	UNCLAIMED	UNCLAIMED	True	missing	measured[]	claim_validation[]
delta_aero	reward_mean	n2_same_stack_last10	>=0	-0.014063	-0.023438	-0.005469	10	True	CONTRADICTS	CONTRADICTS	True	expected_effects	measured[]	claim_validation[]
delta_aero	zvf	n2_same_stack_last10	<0	-0.025	-0.0625	0.0125	10	False	NEUTRAL	NEUTRAL	True	expected_effects	measured[]	claim_validation[]
delta_aero	zvf_risk_mean	zvf130_5seed	<0	-0.147637	-0.285921	-0.009354	5	True	SUPPORTS	SUPPORTS	True	expected_effects	measured[]	claim_validation[]
delta_areal	mean_zvf	zvf130_5seed		-0.35988	-0.35988	-0.35988	5	False	UNCLAIMED	UNCLAIMED	True	missing	measured[]	claim_validation[]
delta_areal	reward_mean	n2_same_stack_last10	>=0	-0.019531	-0.032031	-0.007812	10	True	CONTRADICTS	CONTRADICTS	True	expected_effects	measured[]	claim_validation[]
delta_areal	zvf	n2_same_stack_last10	<0	-0.05625	-0.1125	0.00625	10	False	NEUTRAL	NEUTRAL	True	expected_effects	measured[]	claim_validation[]
delta_areal	zvf_risk_mean	zvf130_5seed	<0	-0.245767	-0.354535	-0.137	5	True	SUPPORTS	SUPPORTS	True	expected_effects	measured[]	claim_validation[]
delta_cppo	mean_zvf	zvf130_5seed		-0.18558	-0.18558	-0.18558	5	False	UNCLAIMED	UNCLAIMED	True	missing	measured[]	claim_validation[]
delta_cppo	zvf_risk_mean	zvf130_5seed	<0	-0.151077	-0.253342	-0.048813	5	True	SUPPORTS	SUPPORTS	True	expected_effects	measured[]	claim_validation[]
