test	rate_pct	fset	tier	n_seeds	cv_value	boot_mean	boot_lo	boot_hi	pass
H4_5seed_cv_value	1.44	24full	cheap_heuristic	5	2.8268024166225225e-07	0.9999955472222222	0.9999953166666667	0.9999958083333335	1
H4_5seed_cv_value	1.44	20raw	cheap_heuristic	5	1.30320869471419e-06	0.9999942388888889	0.9999930583333334	0.9999953333333333	1
H4_5seed_cv_value	1.44	20raw+minmax	cheap_heuristic	5	5.733698144696607e-07	0.9999955222222223	0.9999950444444444	0.999996	1
H4_5seed_cv_value	1.44	20raw+stat	cheap_heuristic	5	5.567375116745783e-07	0.9999952361111111	0.9999947583333334	0.9999957138888889	1
H4_5seed_cv_value	1.0	24full	cheap_heuristic	5	4.0705998730216873e-07	0.999994468	0.9999941360000001	0.999994844	1
H4_5seed_cv_value	1.0	20raw	cheap_heuristic	5	2.213588208318497e-06	0.999992984	0.999990884	0.999994772	1
H4_5seed_cv_value	1.0	20raw+minmax	cheap_heuristic	5	6.491136809149591e-07	0.999994576	0.999994032	0.9999951602000001	1
H4_5seed_cv_value	1.0	20raw+stat	cheap_heuristic	5	6.781896863327375e-07	0.999994292	0.9999936399999999	0.9999948240000001	1
H4_5seed_cv_value	0.5	24full	cheap_heuristic	5	1.3606205745915867e-06	0.999993424	0.9999922640000001	0.999994592	1
H4_5seed_cv_value	0.5	20raw	cheap_heuristic	5	4.76865045432032e-06	0.999990256	0.999985584	0.9999935520000001	1
H4_5seed_cv_value	0.5	20raw+minmax	cheap_heuristic	5	1.8301447497585693e-06	0.999991968	0.999990096	0.9999932960000001	1
H4_5seed_cv_value	0.5	20raw+stat	cheap_heuristic	5	1.4837063643780468e-06	0.9999907840000001	0.99998944	0.999991904	1
H4_5seed_cv_value	0.1	24full	cheap_heuristic	5	2.846507821383493e-06	0.9999872399999999	0.9999848	0.9999896800000002	1
H4_5seed_cv_value	0.1	20raw	cheap_heuristic	5	4.694572401773345e-06	0.99998616	0.99998208	0.9999904000000001	1
H4_5seed_cv_value	0.1	20raw+minmax	cheap_heuristic	5	5.767593172609226e-06	0.999983	0.99997768	0.9999881199999999	1
H4_5seed_cv_value	0.1	20raw+stat	cheap_heuristic	5	8.01371892291906e-06	0.99998372	0.999976438	0.99999036	1
H4_5seed_cv_value	0.05	24full	cheap_heuristic	5	2.1394625723706683e-05	0.99996984	0.9999496000000001	0.99998616	1
H4_5seed_cv_value	0.05	20raw	cheap_heuristic	5	1.5004187100707283e-05	0.9999732800000001	0.9999600800000001	0.9999864800000001	1
H4_5seed_cv_value	0.05	20raw+minmax	cheap_heuristic	5	1.4211561565878309e-05	0.99997504	0.99996264	0.99998704	1
H4_5seed_cv_value	0.05	20raw+stat	cheap_heuristic	5	3.331298954552586e-05	0.99996176	0.99992976	0.9999860000000002	1
