rate_pct	fset	tier	k_d15	n	d15_density
0.05	20raw	cheap_heuristic	0	5	0.0
0.05	20raw	small_open	0	5	0.0
0.05	20raw	iter120_default	0	5	0.0
0.05	20raw	mid_tier	0	5	0.0
0.05	20raw	frontier_gpt4	0	5	0.0
0.05	20raw+minmax	cheap_heuristic	0	5	0.0
0.05	20raw+minmax	small_open	0	5	0.0
0.05	20raw+minmax	iter120_default	0	5	0.0
0.05	20raw+minmax	mid_tier	0	5	0.0
0.05	20raw+minmax	frontier_gpt4	0	5	0.0
0.05	20raw+stat	cheap_heuristic	0	5	0.0
0.05	20raw+stat	small_open	0	5	0.0
0.05	20raw+stat	iter120_default	0	5	0.0
0.05	20raw+stat	mid_tier	0	5	0.0
0.05	20raw+stat	frontier_gpt4	0	5	0.0
0.05	24full	cheap_heuristic	0	5	0.0
0.05	24full	small_open	0	5	0.0
0.05	24full	iter120_default	0	5	0.0
0.05	24full	mid_tier	0	5	0.0
0.05	24full	frontier_gpt4	0	5	0.0
0.1	20raw	cheap_heuristic	0	5	0.0
0.1	20raw	small_open	0	5	0.0
0.1	20raw	iter120_default	0	5	0.0
0.1	20raw	mid_tier	0	5	0.0
0.1	20raw	frontier_gpt4	0	5	0.0
0.1	20raw+minmax	cheap_heuristic	0	5	0.0
0.1	20raw+minmax	small_open	0	5	0.0
0.1	20raw+minmax	iter120_default	0	5	0.0
0.1	20raw+minmax	mid_tier	0	5	0.0
0.1	20raw+minmax	frontier_gpt4	0	5	0.0
0.1	20raw+stat	cheap_heuristic	0	5	0.0
0.1	20raw+stat	small_open	0	5	0.0
0.1	20raw+stat	iter120_default	0	5	0.0
0.1	20raw+stat	mid_tier	0	5	0.0
0.1	20raw+stat	frontier_gpt4	0	5	0.0
0.1	24full	cheap_heuristic	0	5	0.0
0.1	24full	small_open	0	5	0.0
0.1	24full	iter120_default	0	5	0.0
0.1	24full	mid_tier	0	5	0.0
0.1	24full	frontier_gpt4	0	5	0.0
0.5	20raw	cheap_heuristic	0	5	0.0
0.5	20raw	small_open	0	5	0.0
0.5	20raw	iter120_default	0	5	0.0
0.5	20raw	mid_tier	0	5	0.0
0.5	20raw	frontier_gpt4	0	5	0.0
0.5	20raw+minmax	cheap_heuristic	0	5	0.0
0.5	20raw+minmax	small_open	0	5	0.0
0.5	20raw+minmax	iter120_default	0	5	0.0
0.5	20raw+minmax	mid_tier	0	5	0.0
0.5	20raw+minmax	frontier_gpt4	0	5	0.0
0.5	20raw+stat	cheap_heuristic	0	5	0.0
0.5	20raw+stat	small_open	0	5	0.0
0.5	20raw+stat	iter120_default	0	5	0.0
0.5	20raw+stat	mid_tier	0	5	0.0
0.5	20raw+stat	frontier_gpt4	0	5	0.0
0.5	24full	cheap_heuristic	0	5	0.0
0.5	24full	small_open	0	5	0.0
0.5	24full	iter120_default	0	5	0.0
0.5	24full	mid_tier	0	5	0.0
0.5	24full	frontier_gpt4	0	5	0.0
1.0	20raw	cheap_heuristic	0	5	0.0
1.0	20raw	small_open	0	5	0.0
1.0	20raw	iter120_default	0	5	0.0
1.0	20raw	mid_tier	0	5	0.0
1.0	20raw	frontier_gpt4	0	5	0.0
1.0	20raw+minmax	cheap_heuristic	0	5	0.0
1.0	20raw+minmax	small_open	0	5	0.0
1.0	20raw+minmax	iter120_default	0	5	0.0
1.0	20raw+minmax	mid_tier	0	5	0.0
1.0	20raw+minmax	frontier_gpt4	0	5	0.0
1.0	20raw+stat	cheap_heuristic	0	5	0.0
1.0	20raw+stat	small_open	0	5	0.0
1.0	20raw+stat	iter120_default	0	5	0.0
1.0	20raw+stat	mid_tier	0	5	0.0
1.0	20raw+stat	frontier_gpt4	0	5	0.0
1.0	24full	cheap_heuristic	0	5	0.0
1.0	24full	small_open	0	5	0.0
1.0	24full	iter120_default	0	5	0.0
1.0	24full	mid_tier	0	5	0.0
1.0	24full	frontier_gpt4	0	5	0.0
1.44	20raw	cheap_heuristic	0	5	0.0
1.44	20raw	small_open	0	5	0.0
1.44	20raw	iter120_default	0	5	0.0
1.44	20raw	mid_tier	0	5	0.0
1.44	20raw	frontier_gpt4	0	5	0.0
1.44	20raw+minmax	cheap_heuristic	0	5	0.0
1.44	20raw+minmax	small_open	0	5	0.0
1.44	20raw+minmax	iter120_default	0	5	0.0
1.44	20raw+minmax	mid_tier	0	5	0.0
1.44	20raw+minmax	frontier_gpt4	0	5	0.0
1.44	20raw+stat	cheap_heuristic	0	5	0.0
1.44	20raw+stat	small_open	0	5	0.0
1.44	20raw+stat	iter120_default	0	5	0.0
1.44	20raw+stat	mid_tier	0	5	0.0
1.44	20raw+stat	frontier_gpt4	0	5	0.0
1.44	24full	cheap_heuristic	0	5	0.0
1.44	24full	small_open	0	5	0.0
1.44	24full	iter120_default	0	5	0.0
1.44	24full	mid_tier	0	5	0.0
1.44	24full	frontier_gpt4	0	5	0.0
