stat	quartile	density_point	density_boot_mean	density_boot_lo	density_boot_hi
V_mean	0	0.0052	0.0052283399867905	0.0027091403433326506	0.008487180102751233
V_mean	1	0.0076	0.007540386788468413	0.004398240703718513	0.01142750197005516
V_mean	2	0.0148	0.014809458580559093	0.010167244721758204	0.019624103072428404
V_mean	3	0.006	0.0059870891091984915	0.0032023743608768918	0.009302611178923694
V_std	0	0.012	0.012047222266808632	0.007881696052093322	0.016740676805639346
V_std	1	0.008	0.007954042079225723	0.004824806472265875	0.011580557214979323
V_std	2	0.0076	0.007603491193187699	0.004414966914600427	0.011103066706140578
V_std	3	0.006	0.005951664143694415	0.0031717836715872234	0.009243041530282981
V_max	0	0.012	0.011996257252264603	0.007757655640618229	0.016451723822981077
V_max	1	0.0072	0.007202832109607051	0.00435790880152426	0.010775498661251028
V_max	2	0.0072	0.007193005325451025	0.004024914381619831	0.010488100040338847
V_max	3	0.0072	0.0071657029215724324	0.004020060261915012	0.010820618152455799
V_min	0	0.0056	0.00557266400387941	0.002797119969903412	0.008891591218951545
V_min	1	0.0104	0.010482216371994077	0.006850626404509891	0.014393947170168142
V_min	2	0.0124	0.012294238946651981	0.00834642930365599	0.016810943891674094
V_min	3	0.0052	0.005204504204470686	0.0027599412867773967	0.008247847847037196
