file	cell_id	json_ok	parse_err	has_loss_form	type_loss_form	len_loss_form	has_ref_policy_kl	type_ref_policy_kl	len_ref_policy_kl	has_sampler_backend_precision	type_sampler_backend_precision	len_sampler_backend_precision	has_per_step_zvf_path	type_per_step_zvf_path	len_per_step_zvf_path	has_group_size_schedule	type_group_size_schedule	len_group_size_schedule	has_heldout_split	type_heldout_split	len_heldout_split	has_decontamination_notes	type_decontamination_notes	len_decontamination_notes	n_v1_present	path_exists	path_basename_matches_cell_id	gs_decl	g_from_cid	gs_matches_g	task_from_cid	heldout_decl	heldout_matches_task
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s0_923b060d59.json	Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s0_923b060d59	1		1	str	12	1	str	3	1	str	13	1	str	128	1	str	9	1	str	10	1	str	17	7	1	1	fixed-G=2	2	1	gsm8k_easy	gsm8k_easy	1
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s1_05f2eef935.json	Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s1_05f2eef935	1		1	str	12	1	str	3	1	str	13	1	str	128	1	str	9	1	str	10	1	str	17	7	1	1	fixed-G=2	2	1	gsm8k_easy	gsm8k_easy	1
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s0_b153a50c68.json	Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s0_b153a50c68	1		1	str	12	1	str	3	1	str	13	1	str	126	1	str	9	1	str	10	1	str	17	7	1	1	fixed-G=2	2	1	gsm8k_easy	gsm8k_easy	1
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s1_640529daef.json	Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s1_640529daef	1		1	str	12	1	str	3	1	str	13	1	str	126	1	str	9	1	str	10	1	str	17	7	1	1	fixed-G=2	2	1	gsm8k_easy	gsm8k_easy	1
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s0_b6fd39319c.json	Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s0_b6fd39319c	1		1	str	12	1	str	3	1	str	13	1	str	129	1	str	10	1	str	10	1	str	17	7	1	1	fixed-G=32	32	1	gsm8k_easy	gsm8k_easy	1
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s1_ee3645e450.json	Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s1_ee3645e450	1		1	str	12	1	str	3	1	str	13	1	str	129	1	str	10	1	str	10	1	str	17	7	1	1	fixed-G=32	32	1	gsm8k_easy	gsm8k_easy	1
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s0_ea5cf4fdaa.json	Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s0_ea5cf4fdaa	1		1	str	12	1	str	3	1	str	13	1	str	127	1	str	10	1	str	10	1	str	17	7	1	1	fixed-G=32	32	1	gsm8k_easy	gsm8k_easy	1
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s1_96d1e2cfdc.json	Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s1_96d1e2cfdc	1		1	str	12	1	str	3	1	str	13	1	str	127	1	str	10	1	str	10	1	str	17	7	1	1	fixed-G=32	32	1	gsm8k_easy	gsm8k_easy	1
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s0_b434ff671f.json	Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s0_b434ff671f	1		1	str	12	1	str	3	1	str	13	1	str	128	1	str	9	1	str	10	1	str	17	7	1	1	fixed-G=4	4	1	gsm8k_easy	gsm8k_easy	1
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s1_94f01720db.json	Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s1_94f01720db	1		1	str	12	1	str	3	1	str	13	1	str	128	1	str	9	1	str	10	1	str	17	7	1	1	fixed-G=4	4	1	gsm8k_easy	gsm8k_easy	1
