item_id	item_name	schema_status	declared_source	encoding_mode	n_in_manifest_json	n_in_cells_tsv	n_in_filename	n_na_sentinel	n_tensor_derivable	rename_robust	n_cells
Item01	model_family	live	manifest_or_cells	implicit_filename_AND_cells_tsv	0	98	98	0	0	False	98
Item02	ref_policy_kl	live_NA	manifest	explicit_json_key	98	0	0	98	0	True	98
Item03	reward_model_signature	schema_only	schema	absent_no_source	0	0	0	0	0	False	98
Item04	rollout_temperature	live	cells	implicit_filename_AND_cells_tsv	0	98	98	0	0	False	98
Item05	group_size	live	manifest_or_cells	explicit_json_key	98	98	98	0	0	True	98
Item06	heldout_split	live	manifest	explicit_json_key	98	0	0	0	0	True	98
Item07	decontamination_notes	live	manifest	explicit_json_key	98	0	0	0	0	True	98
Item08	loss_form	live_NA	manifest	explicit_json_key	98	0	0	98	0	True	98
Item09	sampler_backend_precision	live	manifest	explicit_json_key	98	0	0	0	0	True	98
Item10	advantage_baseline	schema_only	schema	absent_no_source	0	0	0	0	0	False	98
Item11	token_mask	schema_only	schema	absent_no_source	0	0	0	0	0	False	98
Item12	kl_beta	schema_only	schema	absent_no_source	0	0	0	0	0	False	98
Item13	zvf_per_step	live	manifest	explicit_json_key	98	0	0	0	0	True	98
Item14	K_variance_residual	DERIVABLE	tensor	tensor_derivable	0	0	0	0	98	True	98
Item15	K_unique_count	DERIVABLE	tensor	tensor_derivable	0	0	0	0	98	True	98
Item16	max_K_share_PLACEBO	DERIVABLE_REJECTED	tensor	absent_no_source	0	0	0	0	0	False	98
Item17	prompt_p_hat_var	DERIVABLE	tensor	tensor_derivable	0	0	0	0	98	True	98
Item18	zvf130_risk_residual	schema_only	schema	absent_no_source	0	0	0	0	0	False	98
