rate_label	target_rate	a_minus_b	metric	point_diff	ci_lo	ci_hi	ci_excludes_zero
release	0.0144	XGB-24full-XGB-20raw	pr_auc	0.017691327786866884	-0.005786803205974054	0.04032968314275264	False
release	0.0144	XGB-24full-XGB-20raw	p_at_top	0.020000000000000018	-0.030000000000000027	0.060249999999999825	False
release	0.0144	XGB-24full-XGB-4sensor	pr_auc	0.5486178793441231	0.4618820212401422	0.6118940914433414	True
release	0.0144	XGB-24full-XGB-4sensor	p_at_top	0.47000000000000003	0.36	0.58	True
release	0.0144	XGB-20raw-XGB-4sensor	pr_auc	0.5309265515572562	0.4359681981511915	0.6131361188546083	True
release	0.0144	XGB-20raw-XGB-4sensor	p_at_top	0.45	0.35	0.55	True
1.00%	0.01	XGB-24full-XGB-20raw	pr_auc	0.01944490804951593	-0.010316785804916151	0.04972838893457283	False
1.00%	0.01	XGB-24full-XGB-20raw	p_at_top	0.06000000000000005	-0.040000000000000036	0.07999999999999996	False
1.00%	0.01	XGB-24full-XGB-4sensor	pr_auc	0.5911873531883548	0.4873984993828415	0.6730506899596314	True
1.00%	0.01	XGB-24full-XGB-4sensor	p_at_top	0.51	0.36000000000000004	0.58	True
1.00%	0.01	XGB-20raw-XGB-4sensor	pr_auc	0.5717424451388389	0.46568428976510706	0.6731098585440636	True
1.00%	0.01	XGB-20raw-XGB-4sensor	p_at_top	0.45	0.35	0.55	True
0.50%	0.005	XGB-24full-XGB-20raw	pr_auc	0.023118578443603544	-0.019550881155741964	0.07026867354131604	False
0.50%	0.005	XGB-24full-XGB-20raw	p_at_top	0.0	-0.04040404040404044	0.030303030303030276	False
0.50%	0.005	XGB-24full-XGB-4sensor	pr_auc	0.6067078671065005	0.4578652728041068	0.7367886470827268	True
0.50%	0.005	XGB-24full-XGB-4sensor	p_at_top	0.29292929292929293	0.19166666666666668	0.38383838383838387	True
0.50%	0.005	XGB-20raw-XGB-4sensor	pr_auc	0.5835892886628969	0.41622544010968787	0.7218354030254049	True
0.50%	0.005	XGB-20raw-XGB-4sensor	p_at_top	0.29292929292929293	0.18181818181818185	0.38383838383838387	True
0.10%	0.001	XGB-24full-XGB-20raw	pr_auc	-0.006136516891324495	-0.11738262104774415	0.13276808849424762	False
0.10%	0.001	XGB-24full-XGB-20raw	p_at_top	0.0	0.0	0.0	False
0.10%	0.001	XGB-24full-XGB-4sensor	pr_auc	0.21623156927630527	-0.05381471826381079	0.5100562694733138	False
0.10%	0.001	XGB-24full-XGB-4sensor	p_at_top	0.04040404040404041	0.010101010101010097	0.09090909090909091	True
0.10%	0.001	XGB-20raw-XGB-4sensor	pr_auc	0.22236808616762976	-0.06914858458539905	0.47553053579531795	False
0.10%	0.001	XGB-20raw-XGB-4sensor	p_at_top	0.04040404040404041	0.009848484848484858	0.08080808080808081	True
0.05%	0.0005	XGB-24full-XGB-20raw	pr_auc	0.09177489177489173	-0.13620238095238096	0.327296626984127	False
0.05%	0.0005	XGB-24full-XGB-20raw	p_at_top	0.0	0.0	0.0	False
0.05%	0.0005	XGB-24full-XGB-4sensor	pr_auc	0.33384678168434595	0.10465522561655866	0.7776116205845472	True
0.05%	0.0005	XGB-24full-XGB-4sensor	p_at_top	0.0404040404040404	0.010101010101010102	0.0909090909090909	True
0.05%	0.0005	XGB-20raw-XGB-4sensor	pr_auc	0.24207188990945422	0.061219699124094924	0.5995688567305495	True
0.05%	0.0005	XGB-20raw-XGB-4sensor	p_at_top	0.0404040404040404	0.0101010101010101	0.08080808080808081	True
