item_no	item_name	axis	axis_value	n	mean_item_score	std_item_score	concrete_pct	eta2_axis_item_score	contrast_score
1	loss_form	model_family	Qwen/Qwen3.5-4B	47	2.5	0.0	0.0	nan	0.000
1	loss_form	model_family	meta-llama/Llama-3.2-3B	51	2.5	0.0	0.0	nan	0.000
1	loss_form	task_slice	gsm8k_easy	24	2.5	0.0	0.0	nan	0.000
1	loss_form	task_slice	gsm8k_hard	40	2.5	0.0	0.0	nan	0.000
1	loss_form	task_slice	humaneval_subset	34	2.5	0.0	0.0	nan	0.000
1	loss_form	G	2	24	2.5	0.0	0.0	nan	0.000
1	loss_form	G	4	20	2.5	0.0	0.0	nan	0.000
1	loss_form	G	8	18	2.5	0.0	0.0	nan	0.000
1	loss_form	G	16	18	2.5	0.0	0.0	nan	0.000
1	loss_form	G	32	18	2.5	0.0	0.0	nan	0.000
1	loss_form	temperature	0.6	53	2.5	0.0	0.0	nan	0.000
1	loss_form	temperature	1.0	45	2.5	0.0	0.0	nan	0.000
1	loss_form	seed	0	49	2.5	0.0	0.0	nan	0.000
1	loss_form	seed	1	49	2.5	0.0	0.0	nan	0.000
1	loss_form	reward_quartile	Q1_lo	35	2.5	0.0	0.0	nan	0.000
1	loss_form	reward_quartile	Q2_midlo	15	2.5	0.0	0.0	nan	0.000
1	loss_form	reward_quartile	Q3_midhi	24	2.5	0.0	0.0	nan	0.000
1	loss_form	reward_quartile	Q4_hi	24	2.5	0.0	0.0	nan	0.000
1	loss_form	zvf_quartile	Q1_lo	25	2.5	0.0	0.0	nan	0.000
1	loss_form	zvf_quartile	Q2_midlo	27	2.5	0.0	0.0	nan	0.000
1	loss_form	zvf_quartile	Q3_midhi	46	2.5	0.0	0.0	nan	0.000
2	ref_policy_kl	model_family	Qwen/Qwen3.5-4B	47	2.5	0.0	0.0	nan	0.000
2	ref_policy_kl	model_family	meta-llama/Llama-3.2-3B	51	2.5	0.0	0.0	nan	0.000
2	ref_policy_kl	task_slice	gsm8k_easy	24	2.5	0.0	0.0	nan	0.000
2	ref_policy_kl	task_slice	gsm8k_hard	40	2.5	0.0	0.0	nan	0.000
2	ref_policy_kl	task_slice	humaneval_subset	34	2.5	0.0	0.0	nan	0.000
2	ref_policy_kl	G	2	24	2.5	0.0	0.0	nan	0.000
2	ref_policy_kl	G	4	20	2.5	0.0	0.0	nan	0.000
2	ref_policy_kl	G	8	18	2.5	0.0	0.0	nan	0.000
2	ref_policy_kl	G	16	18	2.5	0.0	0.0	nan	0.000
2	ref_policy_kl	G	32	18	2.5	0.0	0.0	nan	0.000
2	ref_policy_kl	temperature	0.6	53	2.5	0.0	0.0	nan	0.000
2	ref_policy_kl	temperature	1.0	45	2.5	0.0	0.0	nan	0.000
2	ref_policy_kl	seed	0	49	2.5	0.0	0.0	nan	0.000
2	ref_policy_kl	seed	1	49	2.5	0.0	0.0	nan	0.000
2	ref_policy_kl	reward_quartile	Q1_lo	35	2.5	0.0	0.0	nan	0.000
2	ref_policy_kl	reward_quartile	Q2_midlo	15	2.5	0.0	0.0	nan	0.000
2	ref_policy_kl	reward_quartile	Q3_midhi	24	2.5	0.0	0.0	nan	0.000
2	ref_policy_kl	reward_quartile	Q4_hi	24	2.5	0.0	0.0	nan	0.000
2	ref_policy_kl	zvf_quartile	Q1_lo	25	2.5	0.0	0.0	nan	0.000
2	ref_policy_kl	zvf_quartile	Q2_midlo	27	2.5	0.0	0.0	nan	0.000
2	ref_policy_kl	zvf_quartile	Q3_midhi	46	2.5	0.0	0.0	nan	0.000
3	sampler_backend	model_family	Qwen/Qwen3.5-4B	47	13.33	0.0	100.0	nan	0.000
3	sampler_backend	model_family	meta-llama/Llama-3.2-3B	51	13.33	0.0	100.0	nan	0.000
3	sampler_backend	task_slice	gsm8k_easy	24	13.33	0.0	100.0	nan	0.000
3	sampler_backend	task_slice	gsm8k_hard	40	13.33	0.0	100.0	nan	0.000
3	sampler_backend	task_slice	humaneval_subset	34	13.33	0.0	100.0	nan	0.000
3	sampler_backend	G	2	24	13.33	0.0	100.0	nan	0.000
3	sampler_backend	G	4	20	13.33	0.0	100.0	nan	0.000
3	sampler_backend	G	8	18	13.33	0.0	100.0	nan	0.000
3	sampler_backend	G	16	18	13.33	0.0	100.0	nan	0.000
3	sampler_backend	G	32	18	13.33	0.0	100.0	nan	0.000
3	sampler_backend	temperature	0.6	53	13.33	0.0	100.0	nan	0.000
3	sampler_backend	temperature	1.0	45	13.33	0.0	100.0	nan	0.000
3	sampler_backend	seed	0	49	13.33	0.0	100.0	nan	0.000
3	sampler_backend	seed	1	49	13.33	0.0	100.0	nan	0.000
3	sampler_backend	reward_quartile	Q1_lo	35	13.33	0.0	100.0	nan	0.000
3	sampler_backend	reward_quartile	Q2_midlo	15	13.33	0.0	100.0	nan	0.000
3	sampler_backend	reward_quartile	Q3_midhi	24	13.33	0.0	100.0	nan	0.000
3	sampler_backend	reward_quartile	Q4_hi	24	13.33	0.0	100.0	nan	0.000
3	sampler_backend	zvf_quartile	Q1_lo	25	13.33	0.0	100.0	nan	0.000
3	sampler_backend	zvf_quartile	Q2_midlo	27	13.33	0.0	100.0	nan	0.000
3	sampler_backend	zvf_quartile	Q3_midhi	46	13.33	0.0	100.0	nan	0.000
4	per_step_zvf	model_family	Qwen/Qwen3.5-4B	47	10.0	0.0	100.0	nan	0.000
4	per_step_zvf	model_family	meta-llama/Llama-3.2-3B	51	10.0	0.0	100.0	nan	0.000
4	per_step_zvf	task_slice	gsm8k_easy	24	10.0	0.0	100.0	nan	0.000
4	per_step_zvf	task_slice	gsm8k_hard	40	10.0	0.0	100.0	nan	0.000
4	per_step_zvf	task_slice	humaneval_subset	34	10.0	0.0	100.0	nan	0.000
4	per_step_zvf	G	2	24	10.0	0.0	100.0	nan	0.000
4	per_step_zvf	G	4	20	10.0	0.0	100.0	nan	0.000
4	per_step_zvf	G	8	18	10.0	0.0	100.0	nan	0.000
4	per_step_zvf	G	16	18	10.0	0.0	100.0	nan	0.000
4	per_step_zvf	G	32	18	10.0	0.0	100.0	nan	0.000
4	per_step_zvf	temperature	0.6	53	10.0	0.0	100.0	nan	0.000
4	per_step_zvf	temperature	1.0	45	10.0	0.0	100.0	nan	0.000
4	per_step_zvf	seed	0	49	10.0	0.0	100.0	nan	0.000
4	per_step_zvf	seed	1	49	10.0	0.0	100.0	nan	0.000
4	per_step_zvf	reward_quartile	Q1_lo	35	10.0	0.0	100.0	nan	0.000
4	per_step_zvf	reward_quartile	Q2_midlo	15	10.0	0.0	100.0	nan	0.000
4	per_step_zvf	reward_quartile	Q3_midhi	24	10.0	0.0	100.0	nan	0.000
4	per_step_zvf	reward_quartile	Q4_hi	24	10.0	0.0	100.0	nan	0.000
4	per_step_zvf	zvf_quartile	Q1_lo	25	10.0	0.0	100.0	nan	0.000
4	per_step_zvf	zvf_quartile	Q2_midlo	27	10.0	0.0	100.0	nan	0.000
4	per_step_zvf	zvf_quartile	Q3_midhi	46	10.0	0.0	100.0	nan	0.000
5	group_size_schedule	model_family	Qwen/Qwen3.5-4B	47	7.5	0.0	100.0	nan	0.000
5	group_size_schedule	model_family	meta-llama/Llama-3.2-3B	51	7.5	0.0	100.0	nan	0.000
5	group_size_schedule	task_slice	gsm8k_easy	24	7.5	0.0	100.0	nan	0.000
5	group_size_schedule	task_slice	gsm8k_hard	40	7.5	0.0	100.0	nan	0.000
5	group_size_schedule	task_slice	humaneval_subset	34	7.5	0.0	100.0	nan	0.000
5	group_size_schedule	G	2	24	7.5	0.0	100.0	nan	0.000
5	group_size_schedule	G	4	20	7.5	0.0	100.0	nan	0.000
5	group_size_schedule	G	8	18	7.5	0.0	100.0	nan	0.000
5	group_size_schedule	G	16	18	7.5	0.0	100.0	nan	0.000
5	group_size_schedule	G	32	18	7.5	0.0	100.0	nan	0.000
5	group_size_schedule	temperature	0.6	53	7.5	0.0	100.0	nan	0.000
5	group_size_schedule	temperature	1.0	45	7.5	0.0	100.0	nan	0.000
5	group_size_schedule	seed	0	49	7.5	0.0	100.0	nan	0.000
5	group_size_schedule	seed	1	49	7.5	0.0	100.0	nan	0.000
5	group_size_schedule	reward_quartile	Q1_lo	35	7.5	0.0	100.0	nan	0.000
5	group_size_schedule	reward_quartile	Q2_midlo	15	7.5	0.0	100.0	nan	0.000
5	group_size_schedule	reward_quartile	Q3_midhi	24	7.5	0.0	100.0	nan	0.000
5	group_size_schedule	reward_quartile	Q4_hi	24	7.5	0.0	100.0	nan	0.000
5	group_size_schedule	zvf_quartile	Q1_lo	25	7.5	0.0	100.0	nan	0.000
5	group_size_schedule	zvf_quartile	Q2_midlo	27	7.5	0.0	100.0	nan	0.000
5	group_size_schedule	zvf_quartile	Q3_midhi	46	7.5	0.0	100.0	nan	0.000
6	heldout_split	model_family	Qwen/Qwen3.5-4B	47	7.5	0.0	100.0	nan	0.000
6	heldout_split	model_family	meta-llama/Llama-3.2-3B	51	7.5	0.0	100.0	nan	0.000
6	heldout_split	task_slice	gsm8k_easy	24	7.5	0.0	100.0	nan	0.000
6	heldout_split	task_slice	gsm8k_hard	40	7.5	0.0	100.0	nan	0.000
6	heldout_split	task_slice	humaneval_subset	34	7.5	0.0	100.0	nan	0.000
6	heldout_split	G	2	24	7.5	0.0	100.0	nan	0.000
6	heldout_split	G	4	20	7.5	0.0	100.0	nan	0.000
6	heldout_split	G	8	18	7.5	0.0	100.0	nan	0.000
6	heldout_split	G	16	18	7.5	0.0	100.0	nan	0.000
6	heldout_split	G	32	18	7.5	0.0	100.0	nan	0.000
6	heldout_split	temperature	0.6	53	7.5	0.0	100.0	nan	0.000
6	heldout_split	temperature	1.0	45	7.5	0.0	100.0	nan	0.000
6	heldout_split	seed	0	49	7.5	0.0	100.0	nan	0.000
6	heldout_split	seed	1	49	7.5	0.0	100.0	nan	0.000
6	heldout_split	reward_quartile	Q1_lo	35	7.5	0.0	100.0	nan	0.000
6	heldout_split	reward_quartile	Q2_midlo	15	7.5	0.0	100.0	nan	0.000
6	heldout_split	reward_quartile	Q3_midhi	24	7.5	0.0	100.0	nan	0.000
6	heldout_split	reward_quartile	Q4_hi	24	7.5	0.0	100.0	nan	0.000
6	heldout_split	zvf_quartile	Q1_lo	25	7.5	0.0	100.0	nan	0.000
6	heldout_split	zvf_quartile	Q2_midlo	27	7.5	0.0	100.0	nan	0.000
6	heldout_split	zvf_quartile	Q3_midhi	46	7.5	0.0	100.0	nan	0.000
7	decontam_parser	model_family	Qwen/Qwen3.5-4B	47	12.126	1.617	100.0	0.0009	0.094
7	decontam_parser	model_family	meta-llama/Llama-3.2-3B	51	12.22	1.585	100.0	0.0009	0.094
7	decontam_parser	task_slice	gsm8k_easy	24	13.33	0.0	100.0	1.0000	3.330
7	decontam_parser	task_slice	gsm8k_hard	40	13.33	0.0	100.0	1.0000	3.330
7	decontam_parser	task_slice	humaneval_subset	34	10.0	0.0	100.0	1.0000	3.330
7	decontam_parser	G	2	24	12.22	1.604	100.0	0.0632	1.110
7	decontam_parser	G	4	20	11.998	1.674	100.0	0.0632	1.110
7	decontam_parser	G	8	18	11.85	1.703	100.0	0.0632	1.110
7	decontam_parser	G	16	18	11.85	1.703	100.0	0.0632	1.110
7	decontam_parser	G	32	18	12.96	1.077	100.0	0.0632	1.110
7	decontam_parser	temperature	0.6	53	12.262	1.569	100.0	0.0036	0.190
7	decontam_parser	temperature	1.0	45	12.072	1.633	100.0	0.0036	0.190
7	decontam_parser	seed	0	49	12.175	1.601	100.0	0.0000	0.000
7	decontam_parser	seed	1	49	12.175	1.601	100.0	0.0000	0.000
7	decontam_parser	reward_quartile	Q1_lo	35	10.095	0.563	100.0	0.9563	3.235
7	decontam_parser	reward_quartile	Q2_midlo	15	13.33	0.0	100.0	0.9563	3.235
7	decontam_parser	reward_quartile	Q3_midhi	24	13.33	0.0	100.0	0.9563	3.235
7	decontam_parser	reward_quartile	Q4_hi	24	13.33	0.0	100.0	0.9563	3.235
7	decontam_parser	zvf_quartile	Q1_lo	25	13.33	0.0	100.0	0.6005	2.461
