method	field	n_fws_reporting	n_distinct_values	cross_fw_pairs	cross_fw_disagree_pairs	disagree_rate	per_fw_values
aero	adaptation_rule	1	1	0	0	0.0	"{""tinker"": [""none""]}"
aero	advantage_normalization	1	1	0	0	0.0	"{""tinker"": [""std""]}"
aero	backend	2	2	1	1	1.0	"{""tinker"": [""tinker-managed sampler""], ""zvf130"": [""shared zvf-iter130 batch harness (Tinker)""]}"
aero	description	2	2	1	1	1.0	"{""tinker"": [""GSM8K test split (benchmark protocol)""], ""zvf130"": [""GSM8K canonical 16-prompt fixed eval""]}"
aero	disjoint_from_reward_env	2	1	1	0	0.0	"{""tinker"": [true], ""zvf130"": [true]}"
aero	importance_ratio_level	1	1	0	0	0.0	"{""tinker"": [""sequence""]}"
aero	initial_g	1	1	0	0	0.0	"{""tinker"": [8]}"
aero	per_step_gu	2	1	1	0	0.0	"{""tinker"": [true], ""zvf130"": [true]}"
aero	per_step_zvf	2	1	1	0	0.0	"{""tinker"": [true], ""zvf130"": [true]}"
aero	precision	2	1	1	0	0.0	"{""tinker"": [""bf16""], ""zvf130"": [""bf16""]}"
aero	reference_policy	1	1	0	0	0.0	"{""tinker"": [true]}"
aero	schedule	1	1	0	0	0.0	"{""tinker"": [""fixed""]}"
aero	source	2	2	1	1	1.0	"{""tinker"": [""benchmark harness on per-group rewards""], ""zvf130"": [""zvf_iter130_method_risk.tsv (per-step file zvf_iter130/*)""]}"
aero	temperature	2	1	1	0	0.0	"{""tinker"": [0.7], ""zvf130"": [0.7]}"
aero	top_p	2	1	1	0	0.0	"{""tinker"": [0.95], ""zvf130"": [0.95]}"
areal	adaptation_rule	1	1	0	0	0.0	"{""tinker"": [""none""]}"
areal	advantage_normalization	1	1	0	0	0.0	"{""tinker"": [""std""]}"
areal	backend	2	2	1	1	1.0	"{""tinker"": [""tinker-managed sampler""], ""zvf130"": [""shared zvf-iter130 batch harness (Tinker)""]}"
areal	description	2	2	1	1	1.0	"{""tinker"": [""GSM8K test split (benchmark protocol)""], ""zvf130"": [""GSM8K canonical 16-prompt fixed eval""]}"
areal	disjoint_from_reward_env	2	1	1	0	0.0	"{""tinker"": [true], ""zvf130"": [true]}"
areal	importance_ratio_level	1	1	0	0	0.0	"{""tinker"": [""sequence""]}"
areal	initial_g	1	1	0	0	0.0	"{""tinker"": [8]}"
areal	per_step_gu	2	1	1	0	0.0	"{""tinker"": [true], ""zvf130"": [true]}"
areal	per_step_zvf	2	1	1	0	0.0	"{""tinker"": [true], ""zvf130"": [true]}"
areal	precision	2	1	1	0	0.0	"{""tinker"": [""bf16""], ""zvf130"": [""bf16""]}"
areal	reference_policy	1	1	0	0	0.0	"{""tinker"": [true]}"
areal	schedule	1	1	0	0	0.0	"{""tinker"": [""fixed""]}"
areal	source	2	2	1	1	1.0	"{""tinker"": [""benchmark harness on per-group rewards""], ""zvf130"": [""zvf_iter130_method_risk.tsv (per-step file zvf_iter130/*)""]}"
areal	temperature	2	1	1	0	0.0	"{""tinker"": [0.7], ""zvf130"": [0.7]}"
areal	top_p	2	1	1	0	0.0	"{""tinker"": [0.95], ""zvf130"": [0.95]}"
dapo	adaptation_rule	2	1	1	0	0.0	"{""colab-open"": [""none""], ""tinker"": [""none""]}"
dapo	advantage_normalization	1	1	0	0	0.0	"{""colab-open"": [""std""]}"
