paper	claim_id	claim	run_ids	wandb_links	model_consistency	seed_count	steps	heldout_metric	evidence_tier	source_artifact	audit_note
P1	P1-C1	Across the fitted GSM8K anchors, reward has no reliable positive size trend and no identifiable universal saturation law.	tinker:51a8ef9e-15ef-5f8f-bda1-78ee51387a12:train:0;tinker:c465d654-a00f-5821-9c11-0e40f0eecf9f:train:0;tinker:488bbb2e-aa35-5431-b4a5-793f68b6bc49:train:0;tinker:8124d464-99f2-5cd2-b907-26b533df498f:train:0;tinker:bcea41bf-532b-5cbf-a74f-e446023aed8c:train:0;tinker:eb01734d-43f5-5ce1-8bd3-283f2397472f:train:0;tinker:cdb003a1-9b81-5078-92ed-6f1f5b57ce66:train:0;tinker:c5fd85c9-aa1d-50cf-b56e-5abb66f6d2d3:train:0;tinker:200e4983-3e9d-5176-87d0-c55dd3c73539:train:0;tinker:c8a68765-cef5-5425-bfee-b3df17b250c4:train:0;wandb:tinker-rl-lab-world-class/myp3krhn;wandb:tinker-rl-lab-world-class/k7duoedx;wandb:tinker-rl-lab-world-class/or5wgo7a;wandb:tinker-rl-lab-world-class/gxfk8nip;wandb:tinker-rl-lab-world-class/73vx0ufb;wandb:tinker-rl-lab-world-class/4hw4eko5;wandb:tinker-rl-lab-world-class/0o63xl1c;wandb:tinker-rl-lab-world-class/0ait6dly;wandb:tinker-rl-lab-world-class/sqajfyr8;wandb:tinker-rl-lab-world-class/cv7gscq3	https://wandb.ai/arvindcr4-pes-university/tinker-rl-lab-world-class/runs/myp3krhn;https://wandb.ai/arvindcr4-pes-university/tinker-rl-lab-world-class/runs/k7duoedx;https://wandb.ai/arvindcr4-pes-university/tinker-rl-lab-world-class/runs/or5wgo7a;https://wandb.ai/arvindcr4-pes-university/tinker-rl-lab-world-class/runs/gxfk8nip;https://wandb.ai/arvindcr4-pes-university/tinker-rl-lab-world-class/runs/73vx0ufb;https://wandb.ai/arvindcr4-pes-university/tinker-rl-lab-world-class/runs/4hw4eko5;https://wandb.ai/arvindcr4-pes-university/tinker-rl-lab-world-class/runs/0o63xl1c;https://wandb.ai/arvindcr4-pes-university/tinker-rl-lab-world-class/runs/0ait6dly;https://wandb.ai/arvindcr4-pes-university/tinker-rl-lab-world-class/runs/sqajfyr8;https://wandb.ai/arvindcr4-pes-university/tinker-rl-lab-world-class/runs/cv7gscq3	CONSISTENT for selected exact anchors: 10 W&B runs / 10 Tinker IDs	1 per anchor (seed 42; 10 selected runs)	20-30 per run	NONE in the exact-linked W&B summaries; claim uses training reward traces	C	platform_hybrid/experiments/results/scaling_law_fits.tsv	Descriptive only: single-seed, 20-30-step anchors; failed/crashed and model-conflicting links are excluded from this row.
P1	P1-C2	Nemotron-120B is a distinct collapse phase with zero-reward step fraction 0.55.	tinker:0ef59237-82ae-5e22-b789-61da6a6a85c8:train:0;wandb:tinker-rl-lab-world-class/ax59u2zl	https://wandb.ai/arvindcr4-pes-university/tinker-rl-lab-world-class/runs/ax59u2zl	CONFLICT: W&B labels Nemotron-120B but exact Tinker ID reports Qwen/Qwen3.5-4B	1 (seed 42)	20	NONE	X	platform_hybrid/experiments/results/scaling_law_fits.tsv	Do not present as a model-specific Nemotron result until the run identity is repaired or independently re-run.
P2	P2-C1	Mean ZVF tracks catastrophic collapse (Spearman 0.56; point-biserial 0.62).	local:zvf_summary:tinker_gsm8k_zvf:Qwen/Qwen3-8B:G8:s42:row1;local:zvf_summary:tinker_gsm8k_zvf:Qwen/Qwen3-8B:G8:s123:row2;local:zvf_summary:tinker_gsm8k_zvf:Qwen/Qwen3-8B:G8:s456:row3;local:zvf_summary:tinker_gsm8k_zvf:Qwen/Qwen3-8B:G8:sagg:row4;local:zvf_summary:groupsize_zvf_sweep:Qwen/Qwen2.5-0.5B:G2:sagg:row5;local:zvf_summary:groupsize_zvf_sweep:Qwen/Qwen2.5-0.5B:G4:sagg:row6;local:zvf_summary:groupsize_zvf_sweep:Qwen/Qwen2.5-0.5B:G8:sagg:row7;local:zvf_summary:groupsize_zvf_sweep:Qwen/Qwen2.5-0.5B:G16:sagg:row8;local:zvf_summary:variance_mitigation:GRPO:G8:s0:row9;local:zvf_summary:variance_mitigation:GRPO:G8:s1:row10;local:zvf_summary:variance_mitigation:GRPO:G8:s2:row11;local:zvf_summary:variance_mitigation:GRPO:G8:s3:row12;local:zvf_summary:variance_mitigation:GRPO:G8:s4:row13;local:zvf_summary:variance_mitigation:AERO:G8:s0:row14;local:zvf_summary:variance_mitigation:AERO:G8:s1:row15;local:zvf_summary:variance_mitigation:AERO:G8:s2:row16;local:zvf_summary:variance_mitigation:AERO:G8:s3:row17;local:zvf_summary:variance_mitigation:AERO:G8:s4:row18;local:zvf_summary:variance_mitigation:CPPO:G8:s0:row19;local:zvf_summary:variance_mitigation:CPPO:G8:s1:row20;local:zvf_summary:variance_mitigation:CPPO:G8:s2:row21;local:zvf_summary:variance_mitigation:CPPO:G8:s3:row22;local:zvf_summary:variance_mitigation:CPPO:G8:s4:row23;local:zvf_summary:variance_mitigation:NGRPO:G8:s0:row24;local:zvf_summary:variance_mitigation:NGRPO:G8:s1:row25;local:zvf_summary:variance_mitigation:NGRPO:G8:s2:row26;local:zvf_summary:variance_mitigation:NGRPO:G8:s3:row27;local:zvf_summary:variance_mitigation:NGRPO:G8:s4:row28;local:zvf_summary:variance_mitigation:SCAFGRPO:G8:s0:row29;local:zvf_summary:variance_mitigation:SCAFGRPO:G8:s1:row30;local:zvf_summary:variance_mitigation:SCAFGRPO:G8:s2:row31;local:zvf_summary:variance_mitigation:SCAFGRPO:G8:s3:row32;local:zvf_summary:variance_mitigation:SCAFGRPO:G8:s4:row33;local:zvf_summary:variance_mitigation:MCGRPO:G8:s0:row34;local:zvf_summary:variance_mitigation:MCGRPO:G8:s1:row35;local:zvf_summary:variance_mitigation:MCGRPO:G8:s2:row36;local:zvf_summary:variance_mitigation:MCGRPO:G8:s3:row37;local:zvf_summary:variance_mitigation:MCGRPO:G8:s4:row38;local:zvf_summary:variance_mitigation:GIFT:G8:s0:row39;local:zvf_summary:variance_mitigation:GIFT:G8:s1:row40;local:zvf_summary:variance_mitigation:GIFT:G8:s2:row41;local:zvf_summary:variance_mitigation:GIFT:G8:s3:row42;local:zvf_summary:variance_mitigation:GIFT:G8:s4:row43;local:zvf_summary:variance_mitigation:AREAL:G8:s0:row44;local:zvf_summary:variance_mitigation:AREAL:G8:s1:row45;local:zvf_summary:variance_mitigation:AREAL:G8:s2:row46;local:zvf_summary:variance_mitigation:AREAL:G8:s3:row47;local:zvf_summary:variance_mitigation:AREAL:G8:s4:row48;local:zvf_summary:variance_mitigation:ES:G8:s0:row49;local:zvf_summary:variance_mitigation:ES:G8:s1:row50;local:zvf_summary:variance_mitigation:ES:G8:s2:row51;local:zvf_summary:variance_mitigation:ES:G8:s3:row52;local:zvf_summary:variance_mitigation:ES:G8:s4:row53;local:zvf_summary:cross_tool_qwen3-32b:qwen3-32b:G1:s0:row54;local:zvf_summary:cross_tool_llama-8b-inst:llama-8b-inst:G1:s0:row55;local:zvf_summary:scaling_law_three_phase:Qwen3.5-4B:G8:sagg:row56;local:zvf_summary:scaling_law_three_phase:Qwen3-8B:G8:sagg:row57;local:zvf_summary:scaling_law_three_phase:Llama-3.1-8B-Instruct:G8:sagg:row58;local:zvf_summary:scaling_law_three_phase:DeepSeek-V3.1:G8:sagg:row59;local:zvf_summary:scaling_law_three_phase:Nemotron-120B:G8:sagg:row60;local:zvf_summary:drgrpo_vs_grpo:Qwen/Qwen2.5-0.5B:G8:s42:row61;local:zvf_summary:drgrpo_vs_grpo:Qwen/Qwen2.5-0.5B:G8:s123:row62;local:zvf_summary:drgrpo_vs_grpo:Qwen/Qwen2.5-0.5B:G8:s456:row63;local:zvf_summary:drgrpo_vs_grpo:Qwen/Qwen2.5-0.5B:G8:s789:row64;local:zvf_summary:drgrpo_vs_grpo:Qwen/Qwen2.5-0.5B:G8:s1024:row65;local:zvf_summary:drgrpo_vs_grpo:Qwen/Qwen2.5-0.5B:G8:s42:row66;local:zvf_summary:drgrpo_vs_grpo:Qwen/Qwen2.5-0.5B:G8:s123:row67;local:zvf_summary:drgrpo_vs_grpo:Qwen/Qwen2.5-0.5B:G8:s456:row68;local:zvf_summary:drgrpo_vs_grpo:Qwen/Qwen2.5-0.5B:G8:s789:row69;local:zvf_summary:drgrpo_vs_grpo:Qwen/Qwen2.5-0.5B:G8:s1024:row70;local:zvf_summary:samestack_ppo_grpo:Qwen/Qwen2.5-0.5B:G8:s42:row71;local:zvf_summary:samestack_ppo_grpo:Qwen/Qwen2.5-0.5B:G8:s123:row72;local:zvf_summary:samestack_ppo_grpo:Qwen/Qwen2.5-0.5B:G8:s456:row73;local:zvf_summary:samestack_ppo_grpo:Qwen/Qwen2.5-0.5B:G8:s789:row74;local:zvf_summary:samestack_ppo_grpo:Qwen/Qwen2.5-0.5B:G8:s1024:row75;local:zvf_summary:samestack_ppo_grpo:Qwen/Qwen2.5-0.5B:G8:s42:row76;local:zvf_summary:samestack_ppo_grpo:Qwen/Qwen2.5-0.5B:G8:s123:row77;local:zvf_summary:samestack_ppo_grpo:Qwen/Qwen2.5-0.5B:G8:s456:row78;local:zvf_summary:samestack_ppo_grpo:Qwen/Qwen2.5-0.5B:G8:s789:row79;local:zvf_summary:samestack_ppo_grpo:Qwen/Qwen2.5-0.5B:G8:s1024:row80	NONE	LOCAL HETEROGENEOUS POOL; no Tinker-to-W&B identity recorded	80 local rows pooled to 23 heterogeneous experiment/model/G cells; up to 3 seeds per source row	30-600 across local rows	Collapse label is derived from peak vs last-10 held-out accuracy; n=23 pooled cells	C	platform_hybrid/experiments/results/zvf_summary.tsv	Cross-cell descriptive correlation; heterogeneous models/tasks and no live W&B run mapping.
P2	P2-C2	ZVF correlates only weakly with final held-out outcome.	local:zvf_summary:tinker_gsm8k_zvf:Qwen/Qwen3-8B:G8:s42:row1;local:zvf_summary:tinker_gsm8k_zvf:Qwen/Qwen3-8B:G8:s123:row2;local:zvf_summary:tinker_gsm8k_zvf:Qwen/Qwen3-8B:G8:s456:row3;local:zvf_summary:tinker_gsm8k_zvf:Qwen/Qwen3-8B:G8:sagg:row4;local:zvf_summary:groupsize_zvf_sweep:Qwen/Qwen2.5-0.5B:G2:sagg:row5;local:zvf_summary:groupsize_zvf_sweep:Qwen/Qwen2.5-0.5B:G4:sagg:row6;local:zvf_summary:groupsize_zvf_sweep:Qwen/Qwen2.5-0.5B:G8:sagg:row7;local:zvf_summary:groupsize_zvf_sweep:Qwen/Qwen2.5-0.5B:G16:sagg:row8;local:zvf_summary:variance_mitigation:GRPO:G8:s0:row9;local:zvf_summary:variance_mitigation:GRPO:G8:s1:row10;local:zvf_summary:variance_mitigation:GRPO:G8:s2:row11;local:zvf_summary:variance_mitigation:GRPO:G8:s3:row12;local:zvf_summary:variance_mitigation:GRPO:G8:s4:row13;local:zvf_summary:variance_mitigation:AERO:G8:s0:row14;local:zvf_summary:variance_mitigation:AERO:G8:s1:row15;local:zvf_summary:variance_mitigation:AERO:G8:s2:row16;local:zvf_summary:variance_mitigation:AERO:G8:s3:row17;local:zvf_summary:variance_mitigation:AERO:G8:s4:row18;local:zvf_summary:variance_mitigation:CPPO:G8:s0:row19;local:zvf_summary:variance_mitigation:CPPO:G8:s1:row20;local:zvf_summary:variance_mitigation:CPPO:G8:s2:row21;local:zvf_summary:variance_mitigation:CPPO:G8:s3:row22;local:zvf_summary:variance_mitigation:CPPO:G8:s4:row23;local:zvf_summary:variance_mitigation:NGRPO:G8:s0:row24;local:zvf_summary:variance_mitigation:NGRPO:G8:s1:row25;local:zvf_summary:variance_mitigation:NGRPO:G8:s2:row26;local:zvf_summary:variance_mitigation:NGRPO:G8:s3:row27;local:zvf_summary:variance_mitigation:NGRPO:G8:s4:row28;local:zvf_summary:variance_mitigation:SCAFGRPO:G8:s0:row29;local:zvf_summary:variance_mitigation:SCAFGRPO:G8:s1:row30;local:zvf_summary:variance_mitigation:SCAFGRPO:G8:s2:row31;local:zvf_summary:variance_mitigation:SCAFGRPO:G8:s3:row32;local:zvf_summary:variance_mitigation:SCAFGRPO:G8:s4:row33;local:zvf_summary:variance_mitigation:MCGRPO:G8:s0:row34;local:zvf_summary:variance_mitigation:MCGRPO:G8:s1:row35;local:zvf_summary:variance_mitigation:MCGRPO:G8:s2:row36;local:zvf_summary:variance_mitigation:MCGRPO:G8:s3:row37;local:zvf_summary:variance_mitigation:MCGRPO:G8:s4:row38;local:zvf_summary:variance_mitigation:GIFT:G8:s0:row39;local:zvf_summary:variance_mitigation:GIFT:G8:s1:row40;local:zvf_summary:variance_mitigation:GIFT:G8:s2:row41;local:zvf_summary:variance_mitigation:GIFT:G8:s3:row42;local:zvf_summary:variance_mitigation:GIFT:G8:s4:row43;local:zvf_summary:variance_mitigation:AREAL:G8:s0:row44;local:zvf_summary:variance_mitigation:AREAL:G8:s1:row45;local:zvf_summary:variance_mitigation:AREAL:G8:s2:row46;local:zvf_summary:variance_mitigation:AREAL:G8:s3:row47;local:zvf_summary:variance_mitigation:AREAL:G8:s4:row48;local:zvf_summary:variance_mitigation:ES:G8:s0:row49;local:zvf_summary:variance_mitigation:ES:G8:s1:row50;local:zvf_summary:variance_mitigation:ES:G8:s2:row51;local:zvf_summary:variance_mitigation:ES:G8:s3:row52;local:zvf_summary:variance_mitigation:ES:G8:s4:row53;local:zvf_summary:cross_tool_qwen3-32b:qwen3-32b:G1:s0:row54;local:zvf_summary:cross_tool_llama-8b-inst:llama-8b-inst:G1:s0:row55;local:zvf_summary:scaling_law_three_phase:Qwen3.5-4B:G8:sagg:row56;local:zvf_summary:scaling_law_three_phase:Qwen3-8B:G8:sagg:row57;local:zvf_summary:scaling_law_three_phase:Llama-3.1-8B-Instruct:G8:sagg:row58;local:zvf_summary:scaling_law_three_phase:DeepSeek-V3.1:G8:sagg:row59;local:zvf_summary:scaling_law_three_phase:Nemotron-120B:G8:sagg:row60;local:zvf_summary:drgrpo_vs_grpo:Qwen/Qwen2.5-0.5B:G8:s42:row61;local:zvf_summary:drgrpo_vs_grpo:Qwen/Qwen2.5-0.5B:G8:s123:row62;local:zvf_summary:drgrpo_vs_grpo:Qwen/Qwen2.5-0.5B:G8:s456:row63;local:zvf_summary:drgrpo_vs_grpo:Qwen/Qwen2.5-0.5B:G8:s789:row64;local:zvf_summary:drgrpo_vs_grpo:Qwen/Qwen2.5-0.5B:G8:s1024:row65;local:zvf_summary:drgrpo_vs_grpo:Qwen/Qwen2.5-0.5B:G8:s42:row66;local:zvf_summary:drgrpo_vs_grpo:Qwen/Qwen2.5-0.5B:G8:s123:row67;local:zvf_summary:drgrpo_vs_grpo:Qwen/Qwen2.5-0.5B:G8:s456:row68;local:zvf_summary:drgrpo_vs_grpo:Qwen/Qwen2.5-0.5B:G8:s789:row69;local:zvf_summary:drgrpo_vs_grpo:Qwen/Qwen2.5-0.5B:G8:s1024:row70;local:zvf_summary:samestack_ppo_grpo:Qwen/Qwen2.5-0.5B:G8:s42:row71;local:zvf_summary:samestack_ppo_grpo:Qwen/Qwen2.5-0.5B:G8:s123:row72;local:zvf_summary:samestack_ppo_grpo:Qwen/Qwen2.5-0.5B:G8:s456:row73;local:zvf_summary:samestack_ppo_grpo:Qwen/Qwen2.5-0.5B:G8:s789:row74;local:zvf_summary:samestack_ppo_grpo:Qwen/Qwen2.5-0.5B:G8:s1024:row75;local:zvf_summary:samestack_ppo_grpo:Qwen/Qwen2.5-0.5B:G8:s42:row76;local:zvf_summary:samestack_ppo_grpo:Qwen/Qwen2.5-0.5B:G8:s123:row77;local:zvf_summary:samestack_ppo_grpo:Qwen/Qwen2.5-0.5B:G8:s456:row78;local:zvf_summary:samestack_ppo_grpo:Qwen/Qwen2.5-0.5B:G8:s789:row79;local:zvf_summary:samestack_ppo_grpo:Qwen/Qwen2.5-0.5B:G8:s1024:row80	NONE	LOCAL HETEROGENEOUS POOL; no Tinker-to-W&B identity recorded	80 local rows pooled to 23 heterogeneous experiment/model/G cells; up to 3 seeds per source row	30-600 across local rows	Spearman rho=0.27, bootstrap 95% CI [-0.37, 0.88], n=23 pooled cells	C	platform_hybrid/experiments/results/zvf_summary.tsv	The interval spans a large negative-to-positive range; state the point estimate as weak and inconclusive, not predictive.
P3	P3-C1	Measured held-out accuracy is effectively flat from G=2 through G=16 in the saturated arithmetic regime.	wandb:rlvr-openings/l22x3tca;wandb:rlvr-openings/pi494jq6;wandb:rlvr-openings/9619su2v;wandb:rlvr-openings/itm8rucn;wandb:rlvr-openings/69r2fxq7;wandb:rlvr-openings/w0kdbyme;wandb:rlvr-openings/eiphi8fy;wandb:rlvr-openings/m3pw5try;wandb:rlvr-openings/t9ccvd9f;wandb:rlvr-openings/ho2sh257;wandb:rlvr-openings/zlbow9m5;wandb:rlvr-openings/x6d3i1yq	https://wandb.ai/arvindcr4-pes-university/rlvr-openings/runs/l22x3tca;https://wandb.ai/arvindcr4-pes-university/rlvr-openings/runs/pi494jq6;https://wandb.ai/arvindcr4-pes-university/rlvr-openings/runs/9619su2v;https://wandb.ai/arvindcr4-pes-university/rlvr-openings/runs/itm8rucn;https://wandb.ai/arvindcr4-pes-university/rlvr-openings/runs/69r2fxq7;https://wandb.ai/arvindcr4-pes-university/rlvr-openings/runs/w0kdbyme;https://wandb.ai/arvindcr4-pes-university/rlvr-openings/runs/eiphi8fy;https://wandb.ai/arvindcr4-pes-university/rlvr-openings/runs/m3pw5try;https://wandb.ai/arvindcr4-pes-university/rlvr-openings/runs/t9ccvd9f;https://wandb.ai/arvindcr4-pes-university/rlvr-openings/runs/ho2sh257;https://wandb.ai/arvindcr4-pes-university/rlvr-openings/runs/zlbow9m5;https://wandb.ai/arvindcr4-pes-university/rlvr-openings/runs/x6d3i1yq	W&B-HOMOGENEOUS Qwen/Qwen3.5-4B; Tinker identity absent	3 per G (seeds 0,1,2; 12 runs)	8 per run	G=2: mean delta=+0.0000, G=4: mean delta=+0.0000, G=8: mean delta=-0.0625, G=16: mean delta=+0.0000; evaluation size is not logged in W&B config	C	W&B project rlvr-openings	Direct held-out metrics exist, but the horizon is eight steps and there are no exact Tinker run IDs.
P3	P3-C2	A measured G=4 versus G=32 token-budget/Pareto comparison supports the group-size conclusion.	wandb:zvf-audit-v2/6snvz1qd;wandb:zvf-audit-v2/rot6u0gk;wandb:zvf-audit-v2/d0sndook;wandb:zvf-audit-v2/v72po6u3;wandb:zvf-audit-v2/prmh9mrj	https://wandb.ai/arvindcr4-pes-university/zvf-audit-v2/runs/6snvz1qd;https://wandb.ai/arvindcr4-pes-university/zvf-audit-v2/runs/rot6u0gk;https://wandb.ai/arvindcr4-pes-university/zvf-audit-v2/runs/d0sndook;https://wandb.ai/arvindcr4-pes-university/zvf-audit-v2/runs/v72po6u3;https://wandb.ai/arvindcr4-pes-university/zvf-audit-v2/runs/prmh9mrj	NOT APPLICABLE TO CLAIM: available G=32 records are sampling cells, not training runs	5 G=32 sampling cells; no matched G=4/G=32 training replication	0 optimizer steps (sampling-only)	NONE	X	platform_hybrid/paper/sections/p3_abstract.tex	The current abstract correctly says no measured G=32 training cell; keep any older G=4-vs-G=32 result out of the paper.
P4	P4-C1	On Qwen3-8B, GRPO and Dr.GRPO have indistinguishable short-horizon held-out gains and neither inflates length under a 200-token cap.	local:drgrpo_gsm8k_cot:grpo:seed42;local:drgrpo_gsm8k_cot:grpo:seed123;local:drgrpo_gsm8k_cot:grpo:seed456;local:drgrpo_gsm8k_cot:dr_grpo:seed42;local:drgrpo_gsm8k_cot:dr_grpo:seed123;local:drgrpo_gsm8k_cot:dr_grpo:seed456	NONE	CONFLICT: abstract says Qwen3-8B; mapped local runs say Qwen/Qwen2.5-1.5B-Instruct	3 per arm (42,123,456; 6 local runs)	30 per run	GRPO 0.2017->0.2633 (delta +0.0617); Dr.GRPO 0.2050->0.2550 (delta +0.0500); n=200/seed	X	platform_hybrid/experiments/results/drgrpo_gsm8k_cot.json	The underlying local result is descriptive Tier C, but the exact paper claim is Tier X until the Qwen3-8B/Qwen2.5-1.5B mismatch is fixed.
P5	P5-C1	Changing only the training backend causes a 17x final-reward swing (0.050 to 0.856).	wandb:tinker-rl-lab-world-class/xmot42ot;wandb:tinker-rl-lab-world-class/w83mv3ok	https://wandb.ai/arvindcr4-pes-university/tinker-rl-lab-world-class/runs/xmot42ot;https://wandb.ai/arvindcr4-pes-university/tinker-rl-lab-world-class/runs/w83mv3ok	CONFLICT/CONFOUNDED: Qwen3-8B-Base versus Qwen3-8B; neither W&B run has an exact Tinker ID	1 per backend (seed 42)	30 per run	NONE; metric is final/last-10 training reward	X	platform_hybrid/paper/sections/p5_abstract.tex	Valid as an undisclosed-stack/checkpoint-confound exhibit; invalid as a causal backend-only effect.
P5	P5-C2	The DAPO label yields mean ZVF 0.00 on the open trainer versus 0.58 for a closed-stack asymmetric-clip surrogate.	wandb:zvf-colab-experiments/6c7p198f;wandb:zvf-colab-experiments/l5m9lqij	https://wandb.ai/arvindcr4-pes-university/zvf-colab-experiments/runs/6c7p198f;https://wandb.ai/arvindcr4-pes-university/zvf-colab-experiments/runs/l5m9lqij	INTENTIONALLY NON-CONSISTENT EXHIBIT: Qwen2.5-0.5B open audit versus Qwen3.5-4B managed summary; no Tinker IDs	2 listed open-audit seeds versus 3 managed-summary seeds	Open audit not logged; managed summary says 15	Open-audit table reports held-out deltas; no directly comparable held-out metric across the two stacks	C	platform_hybrid/paper/sections/p5_abstract.tex	Supports label ambiguity, not a controlled algorithm comparison.
P5	P5-C3	On one fixed stack, four algorithm labels finish within a 0.034 last-10 reward band (0.710-0.744).	wandb:zvf-colab-experiments/l5m9lqij	https://wandb.ai/arvindcr4-pes-university/zvf-colab-experiments/runs/l5m9lqij	W&B summary says Qwen/Qwen3.5-4B; exact Tinker identity absent	3 per arm (42,123,456; summary artifact)	15 per arm	NONE; training last-10 rewards only	C	platform_hybrid/experiments/results/p5p8/p5_iter173_headline_cis.tsv	Short-horizon W&B summary record; useful supporting evidence, not an inferential headline.
