arm,competition_id,status,competition_score,suite_score,receipt
modal_streaming,AI4Code,NATIVE_SINGLE_COMPETITION_GRADED,0.60314,,outputs/e9_mle_bench/modal_streaming/AI4Code-cf0179ecc807/receipt.json
modal_streaming,aerial-cactus-identification,NATIVE_SINGLE_COMPETITION_GRADED,0.5,,outputs/e9_mle_bench/modal_streaming/aerial-cactus-identification-93422ea5a6ef/receipt.json
modal_streaming,aptos2019-blindness-detection,AGENT_EXECUTION_FAILED,,,outputs/e9_mle_bench/modal_streaming/aptos2019-blindness-detection-98c605855240/receipt.json
modal_streaming,aptos2019-blindness-detection,NATIVE_SINGLE_COMPETITION_GRADED,0.0,,outputs/e9_mle_bench/modal_streaming/aptos2019-blindness-detection-dd169d6e3ae1/receipt.json
modal_streaming,billion-word-imputation,AGENT_EXECUTION_FAILED,,,outputs/e9_mle_bench/modal_streaming/billion-word-imputation-29d0cdf64322/receipt.json
modal_streaming,bms-molecular-translation,NATIVE_SINGLE_COMPETITION_GRADED,83.24016,,outputs/e9_mle_bench/modal_streaming/bms-molecular-translation-7ffcd9d6180c/receipt.json
modal_streaming,cassava-leaf-disease-classification,NATIVE_SINGLE_COMPETITION_GRADED,0.62145,,outputs/e9_mle_bench/modal_streaming/cassava-leaf-disease-classification-6b09d324d903/receipt.json
modal_streaming,chaii-hindi-and-tamil-question-answering,NATIVE_SINGLE_COMPETITION_GRADED,0.00618,,outputs/e9_mle_bench/modal_streaming/chaii-hindi-and-tamil-question-answering-c7928ad6b928/receipt.json
modal_streaming,champs-scalar-coupling,AGENT_EXECUTION_FAILED,,,outputs/e9_mle_bench/modal_streaming/champs-scalar-coupling-b734ca6d0b29/receipt.json
modal_streaming,champs-scalar-coupling,NATIVE_SINGLE_COMPETITION_GRADED,3.98269,,outputs/e9_mle_bench/modal_streaming/champs-scalar-coupling-e5b128918511/receipt.json
modal_streaming,denoising-dirty-documents,AGENT_EXECUTION_FAILED,,,outputs/e9_mle_bench/modal_streaming/denoising-dirty-documents-3c650e9f6ee9/receipt.json
modal_streaming,denoising-dirty-documents,AGENT_EXECUTION_FAILED,,,outputs/e9_mle_bench/modal_streaming/denoising-dirty-documents-6a97cbd47b38/receipt.json
modal_streaming,denoising-dirty-documents,AGENT_EXECUTION_FAILED,,,outputs/e9_mle_bench/modal_streaming/denoising-dirty-documents-9dde5d24da63/receipt.json
modal_streaming,denoising-dirty-documents,NATIVE_SINGLE_COMPETITION_GRADED,203.592,,outputs/e9_mle_bench/modal_streaming/denoising-dirty-documents-ec618151b1d7/receipt.json
modal_streaming,detecting-insults-in-social-commentary,NATIVE_SINGLE_COMPETITION_GRADED,0.87426,,outputs/e9_mle_bench/modal_streaming/detecting-insults-in-social-commentary-3c81ecb58f42/receipt.json
modal_streaming,dog-breed-identification,NATIVE_SINGLE_COMPETITION_GRADED,4.63268,,outputs/e9_mle_bench/modal_streaming/dog-breed-identification-023030ffba88/receipt.json
modal_streaming,dog-breed-identification,AGENT_EXECUTION_FAILED,,,outputs/e9_mle_bench/modal_streaming/dog-breed-identification-02a86ebb17c7/receipt.json
modal_streaming,dog-breed-identification,NATIVE_SINGLE_COMPETITION_INVALID,,,outputs/e9_mle_bench/modal_streaming/dog-breed-identification-84ae0f70bca6/receipt.json
modal_streaming,dogs-vs-cats-redux-kernels-edition,NATIVE_SINGLE_COMPETITION_GRADED,0.62233,,outputs/e9_mle_bench/modal_streaming/dogs-vs-cats-redux-kernels-edition-64afe753f533/receipt.json
modal_streaming,facebook-recruiting-iii-keyword-extraction,AGENT_EXECUTION_FAILED,,,outputs/e9_mle_bench/modal_streaming/facebook-recruiting-iii-keyword-extraction-72acd3275ce6/receipt.json
modal_streaming,freesound-audio-tagging-2019,AGENT_EXECUTION_FAILED,,,outputs/e9_mle_bench/modal_streaming/freesound-audio-tagging-2019-41fd84bf84d5/receipt.json
modal_streaming,freesound-audio-tagging-2019,NATIVE_SINGLE_COMPETITION_GRADED,0.12497,,outputs/e9_mle_bench/modal_streaming/freesound-audio-tagging-2019-c160e87615be/receipt.json
modal_streaming,google-quest-challenge,NATIVE_SINGLE_COMPETITION_GRADED,0.25726,,outputs/e9_mle_bench/modal_streaming/google-quest-challenge-71335d95ce21/receipt.json
modal_streaming,histopathologic-cancer-detection,NATIVE_SINGLE_COMPETITION_GRADED,0.5012,,outputs/e9_mle_bench/modal_streaming/histopathologic-cancer-detection-bcc92aa8e4cf/receipt.json
modal_streaming,hms-harmful-brain-activity-classification,AGENT_EXECUTION_FAILED,,,outputs/e9_mle_bench/modal_streaming/hms-harmful-brain-activity-classification-45c8ea4c5a4c/receipt.json
