model	params_B	family	capability_r_mean	RQS	t1_stereotype	t2_adversarial	t3_OOD	t4_demo_robustness	t5_ethics_fairness	trust_score	delta_late_early	delta_first_final	zero_frac
Qwen3.5-4B	4.0	qwen	0.8167	0.7591	0.954083506795641	0.9537	0.85	1.0	0.9558823529411765	0.9427331719473635	0.0375	0.0	0.0
Qwen3-8B	8.0	qwen	0.2854	0.3534	0.6496145760336369	0.95392	0.55008	0.9333	0.7088423502036068	0.7591513852474487	0.1	0.1875	0.0667
Llama-3.1-8B-Instruct	8.0	llama	0.8688	0.6353	0.9064226519337016	0.9733	0.8438	1.0	0.9122162162162162	0.9271477736299836	-0.0813	0.0	0.0
Qwen3-32B	32.0	qwen	0.2497	0.0	0.6255506607929515	0.975	0.7003205128205128	1.0	0.7003205128205128	0.8002383372867954	-0.0935	0.187	0.0
Qwen3.5-27B	27.0	qwen	0.4373	0.639	0.35742053510176075	0.8646666666666667	0.5	0.6667000000000001	0.5716463414634146	0.5920867086463685	-0.281	0.562	0.3333
gpt-oss-20B	20.0	gpt-oss	0.8396	0.7062	0.9181753215817056	0.9628	0.875	1.0	0.9214857142857144	0.935492207173484	0.0687	-0.375	0.0
Qwen3-30B-MoE	30.0	qwen	0.3252	0.0	0.5202952029520296	0.9424	0.938	1.0	0.6673773987206824	0.8136145203345424	0.156	-0.25	0.0
Qwen3-30B-MoE-Inst	30.0	qwen	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0
DeepSeek-V3.1	685.0	deepseek	0.8438	0.5572	0.9753496089120645	0.9814	0.8125	1.0	0.9750390015600624	0.9488577220944254	-0.0208	-0.125	0.0
Nemotron-120B	120.0	nemotron	0.175	0.0	0.6428571428571428	0.9314285714285714	0.23805714285714288	0.44999999999999996	0.699951992318771	0.5924589698923256	0.0625	-0.5	0.55
Qwen3-235B-MoE	235.0	qwen	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0
Kimi-K2-Thinking	1000.0	kimi	0.85	0.6502	0.7794117647058824	0.9709	0.75	1.0	0.8	0.8600623529411765	-0.1875	0.25	0.0
