cell_id	model	model_family	task_slice	G	temperature	seed	reason
meta-llama-Llama-3-2-3B_gsm8k_easy_G4_t1_s0_edc22ac646	meta-llama/Llama-3.2-3B	meta-llama/Llama-3.2-3B	gsm8k_easy	4	1.0	0	covered_by_inventory_or_zvf_audit
meta-llama-Llama-3-2-3B_gsm8k_easy_G4_t1_s1_aa338b609e	meta-llama/Llama-3.2-3B	meta-llama/Llama-3.2-3B	gsm8k_easy	4	1.0	1	covered_by_inventory_or_zvf_audit
meta-llama-Llama-3-2-3B_gsm8k_easy_G8_t1_s0_eeb030314b	meta-llama/Llama-3.2-3B	meta-llama/Llama-3.2-3B	gsm8k_easy	8	1.0	0	covered_by_inventory_or_zvf_audit
meta-llama-Llama-3-2-3B_gsm8k_easy_G8_t1_s1_635f072d0c	meta-llama/Llama-3.2-3B	meta-llama/Llama-3.2-3B	gsm8k_easy	8	1.0	1	covered_by_inventory_or_zvf_audit
meta-llama-Llama-3-2-3B_gsm8k_easy_G16_t1_s0_5791f085eb	meta-llama/Llama-3.2-3B	meta-llama/Llama-3.2-3B	gsm8k_easy	16	1.0	0	covered_by_inventory_or_zvf_audit
meta-llama-Llama-3-2-3B_gsm8k_easy_G16_t1_s1_2b59abe6ab	meta-llama/Llama-3.2-3B	meta-llama/Llama-3.2-3B	gsm8k_easy	16	1.0	1	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-8B_humaneval_subset_G16_t1_s0_a581d7040f	Qwen/Qwen3-8B	Qwen/Qwen3-8B	humaneval_subset	16	1.0	0	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-8B_humaneval_subset_G16_t1_s1_6dcc863023	Qwen/Qwen3-8B	Qwen/Qwen3-8B	humaneval_subset	16	1.0	1	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-8B_gsm8k_easy_G4_t1_s0_a505dba4da	Qwen/Qwen3-8B	Qwen/Qwen3-8B	gsm8k_easy	4	1.0	0	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-8B_gsm8k_easy_G4_t1_s1_e30ecef26e	Qwen/Qwen3-8B	Qwen/Qwen3-8B	gsm8k_easy	4	1.0	1	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-8B_gsm8k_easy_G8_t1_s0_ef95ec7649	Qwen/Qwen3-8B	Qwen/Qwen3-8B	gsm8k_easy	8	1.0	0	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-8B_gsm8k_easy_G8_t1_s1_b17e286556	Qwen/Qwen3-8B	Qwen/Qwen3-8B	gsm8k_easy	8	1.0	1	covered_by_inventory_or_zvf_audit
