lib	form	k	r2	aicc	loocv_rmse
base	moe?a+b*logN:d+e*logN	4	0.5603	-18.54	0.2811
base	a*sig(b*(moe-c))	3	0.3114	-19.442	0.3014
base	a+moe	2	0.3114	-24.156	0.3014
base	moe?a:b	2	0.3114	-24.156	0.3014
base	a+logN+moe	3	0.335	-19.862	0.3256
base	a	1	0.0	-23.346	0.3302
base	a*sig(b*(logN-c))	3	0.0452	-15.52	0.3419
base	a+logN	2	0.038	-20.145	0.3436
lasr	a+instruct	2	0.5721	-29.867	0.2376
lasr	instruct?a:b	2	0.5721	-29.867	0.2376
lasr	a*sig(b*(instruct-c))	3	0.5721	-25.152	0.2376
lasr	instruct?a*sat(b*moe)+d:e	4	0.5743	-18.929	0.2386
lasr	instruct?a*sat(b*logN)+d:e	4	0.5722	-18.868	0.2389
lasr	a+moe+instruct	3	0.6774	-28.541	0.2496
lasr	a+logN+instruct	3	0.5993	-25.939	0.2552
lasr	moe?a+b*logN:d+e*logN	4	0.5603	-18.54	0.2811
lasr_minus_concept	moe?a+b*logN:d+e*logN	4	0.5603	-18.54	0.2811
lasr_minus_concept	a*sig(b*(moe-c))	3	0.3114	-19.442	0.3014
lasr_minus_concept	a+moe	2	0.3114	-24.156	0.3014
lasr_minus_concept	moe?a:b	2	0.3114	-24.156	0.3014
