# Pillar 2 iter82 pooled per-step hazard h(t | alarm), h(t | no_alarm)
# Source: scripts/zvf_iter82.py
method	step	h_alarm	h_noalarm
aero	0	0.000000	0.000000
aero	1	0.000000	0.000000
aero	2	0.000000	0.000000
aero	3	0.000000	0.000000
aero	4	0.000000	0.000000
aero	5	0.000000	0.000000
aero	6	0.000000	0.000000
aero	7	0.000000	0.000000
aero	8	0.000000	0.000000
aero	9	0.000000	0.000000
aero	10	0.000000	0.000000
aero	11	0.000000	0.000000
aero	12	0.000000	0.000000
aero	13	0.000000	0.000000
aero	14	0.000000	0.000000
aero	15	0.000000	0.000000
aero	16	0.000000	0.000000
aero	17	0.000000	0.000000
aero	18	0.000000	0.000000
aero	19	0.000000	0.000000
aero	20	0.000000	0.000000
aero	21	0.000000	0.000000
aero	22	0.000000	0.000000
aero	23	0.000000	0.000000
aero	24	0.000000	0.000000
aero	25	0.000000	0.000000
aero	26	0.000000	0.000000
aero	27	0.000000	0.000000
aero	28	0.000000	0.000000
aero	29	0.000000	0.000000
aero	30	0.000000	0.000000
aero	31	0.000000	0.000000
aero	32	0.000000	0.000000
aero	33	0.000000	0.000000
aero	34	0.000000	0.000000
aero	35	0.000000	0.000000
aero	36	0.000000	0.000000
aero	37	0.000000	0.000000
aero	38	0.000000	0.000000
aero	39	0.000000	0.000000
aero	40	0.000000	0.000000
aero	41	0.000000	0.000000
aero	42	0.000000	0.000000
aero	43	0.000000	0.000000
aero	44	0.000000	0.000000
aero	45	0.000000	0.000000
aero	46	0.000000	0.000000
aero	47	0.000000	0.000000
aero	48	0.000000	0.000000
aero	49	0.000000	0.000000
aero	50	0.000000	0.000000
aero	51	0.000000	0.000000
aero	52	0.000000	0.000000
aero	53	0.000000	0.000000
aero	54	0.000000	0.000000
aero	55	0.000000	0.000000
aero	56	0.000000	0.000000
aero	57	0.000000	0.000000
aero	58	0.000000	0.000000
aero	59	0.000000	0.000000
aero	60	0.000000	0.000000
aero	61	0.000000	0.000000
aero	62	0.000000	0.000000
aero	63	0.000000	0.000000
aero	64	0.000000	0.000000
aero	65	0.000000	0.000000
aero	66	0.000000	0.000000
aero	67	0.000000	0.000000
aero	68	0.000000	0.000000
aero	69	0.000000	0.000000
aero	70	0.000000	0.000000
aero	71	0.000000	0.000000
aero	72	0.000000	0.000000
aero	73	0.000000	0.000000
aero	74	0.000000	0.000000
aero	75	0.000000	0.000000
aero	76	0.000000	0.000000
aero	77	0.000000	0.000000
aero	78	0.000000	0.000000
aero	79	0.000000	0.000000
aero	80	0.000000	0.000000
aero	81	0.000000	0.000000
aero	82	0.000000	0.000000
aero	83	0.000000	0.000000
aero	84	0.000000	0.000000
aero	85	0.000000	0.000000
aero	86	0.800000	0.000000
aero	87	1.000000	0.000000
aero	88	0.000000	0.000000
aero	89	0.000000	0.000000
aero	90	0.000000	0.000000
aero	91	0.000000	0.000000
aero	92	0.000000	0.000000
aero	93	0.000000	0.000000
aero	94	0.000000	0.000000
aero	95	0.000000	0.000000
aero	96	0.000000	0.000000
aero	97	0.000000	0.000000
aero	98	0.000000	0.000000
aero	99	0.000000	0.000000
aero	100	0.000000	0.000000
aero	101	0.000000	0.000000
aero	102	0.000000	0.000000
aero	103	0.000000	0.000000
aero	104	0.000000	0.000000
aero	105	0.000000	0.000000
aero	106	0.000000	0.000000
aero	107	0.000000	0.000000
aero	108	0.000000	0.000000
aero	109	0.000000	0.000000
aero	110	0.000000	0.000000
aero	111	0.000000	0.000000
aero	112	0.000000	0.000000
aero	113	0.000000	0.000000
