T_tokens	null_exponent_c	null_interpretation	c_hat	c_ci_lo	c_ci_hi	verdict	rejected_at_5pct
1000000	0.0	H0_a: c=0 means acc independent of G (DPO-equivalence)	2.38	-0.8918	0.9707	FAIL-TO-REJECT	no
1000000	0.5	H0_b: c=0.5 means canonical sqrt(G) MC scaling	2.38	-0.8918	0.9707	FAIL-TO-REJECT	no
1000000	1.0	H0_c: c=1.0 means perfect linear G-amortization	2.38	-0.8918	0.9707	REJECT	yes
4000000	0.0	H0_a: c=0 means acc independent of G (DPO-equivalence)	2.2881	-0.9064	0.9909	FAIL-TO-REJECT	no
4000000	0.5	H0_b: c=0.5 means canonical sqrt(G) MC scaling	2.2881	-0.9064	0.9909	FAIL-TO-REJECT	no
4000000	1.0	H0_c: c=1.0 means perfect linear G-amortization	2.2881	-0.9064	0.9909	REJECT	yes
16000000	0.0	H0_a: c=0 means acc independent of G (DPO-equivalence)	1.4112	-0.7461	0.9741	FAIL-TO-REJECT	no
16000000	0.5	H0_b: c=0.5 means canonical sqrt(G) MC scaling	1.4112	-0.7461	0.9741	FAIL-TO-REJECT	no
16000000	1.0	H0_c: c=1.0 means perfect linear G-amortization	1.4112	-0.7461	0.9741	REJECT	yes
64000000	0.0	H0_a: c=0 means acc independent of G (DPO-equivalence)	1.1733	-0.8035	0.9433	FAIL-TO-REJECT	no
64000000	0.5	H0_b: c=0.5 means canonical sqrt(G) MC scaling	1.1733	-0.8035	0.9433	FAIL-TO-REJECT	no
64000000	1.0	H0_c: c=1.0 means perfect linear G-amortization	1.1733	-0.8035	0.9433	REJECT	yes
