held_out_family	model	true_R_max_star	pred_R_max_star	residual
dense	Qwen3.5-4B	0.85	0.6750087690149131	0.17499123098508684
dense	Qwen3-8B	0.34375	0.7347735704850997	-0.3910235704850997
dense	Llama-3.1-8B-Instruct	0.84375	0.7347735704850997	0.10897642951490027
dense	Qwen3-32B	0.125	0.797679839502709	-0.672679839502709
dense	Qwen3.5-27B	0.0	0.79262441614031	-0.79262441614031
dense	Nemotron-120B	0.875	0.82278772674116	0.052212273258840036
moe	gpt-oss-20B	0.875	0.39709759980287407	0.47790240019712593
moe	Qwen3-30B-MoE	0.438	0.37620790185221864	0.06179209814778136
moe	Qwen3-30B-MoE-Inst	1.0	0.37620790185221864	0.6237920981477814
moe	DeepSeek-V3.1	0.8125	0.3514822896616829	0.4610177103383171
moe	Qwen3-235B-MoE	1.0	0.35239179538282317	0.6476082046171768
moe	Kimi-K2-Thinking	0.75	0.3513832426078121	0.3986167573921879
