model	params_B	n_steps	mu_hat	sigma2_constfit	sigma_constfit	log10_params_B	is_new_family_winner
Qwen3.5-4B	4.0	30	0.816667	0.046337	0.215260	0.602060	True
Qwen3-8B	8.0	30	0.285417	0.028824	0.169776	0.903090	False
Llama-3.1-8B-Instruct	8.0	30	0.868750	0.026654	0.163259	0.903090	True
Qwen3-32B	32.0	3	0.249667	0.007771	0.088153	1.505150	False
Qwen3.5-27B	27.0	3	0.437333	0.101521	0.318623	1.431364	False
gpt-oss-20B	20.0	30	0.839583	0.037157	0.192762	1.301030	False
Qwen3-30B-MoE	30.0	5	0.325200	0.028820	0.169765	1.477121	True
Qwen3-30B-MoE-Inst	30.0	3	1.000000	0.000000	0.000000	1.477121	False
DeepSeek-V3.1	685.0	20	0.843750	0.018555	0.136216	2.835691	True
Nemotron-120B	120.0	20	0.175000	0.060000	0.244949	2.079181	True
Qwen3-235B-MoE	235.0	4	1.000000	0.000000	0.000000	2.371068	False
Kimi-K2-Thinking	1000.0	20	0.850000	0.029062	0.170477	3.000000	True
