model	params_B	n_steps	family	n_params	rmse_in_sample	r2_in_sample	aic	bic	loocv_rmse	loocv_mae	forecast_mae_last4	forecast_rmse_last4
Qwen3.5-4B	4.0	30	constant	1	0.215260	0.000000	-90.154561	-88.753364	0.222683	0.193103	0.192308	0.192488
Qwen3.5-4B	4.0	30	1seg_ols	2	0.215259	0.000011	-88.154898	-85.352504	0.229374	0.199795	0.224744	0.232048
Qwen3.5-4B	4.0	30	saturation	2	0.291605	-0.835123	-69.941222	-67.138827	0.296978	0.248783	0.192350	0.192537
Qwen3.5-4B	4.0	30	powerlaw	2	0.213999	0.011677	-88.506925	-85.704530	0.226583	0.199147	0.220900	0.227524
Qwen3.5-4B	4.0	30	ar1	3	0.213510	0.016196	-86.644414	-82.440822	0.227120	0.201539	0.183919	0.185081
Qwen3-8B	8.0	30	constant	1	0.169776	0.000000	-104.396631	-102.995434	0.175630	0.148707	0.171875	0.203022
Qwen3-8B	8.0	30	1seg_ols	2	0.167524	0.026351	-103.197767	-100.395372	0.179847	0.152027	0.172858	0.192907
Qwen3-8B	8.0	30	saturation	2	0.289321	-1.904078	-70.413157	-67.610762	0.280515	0.236470	0.171883	0.203048
Qwen3-8B	8.0	30	powerlaw	2	0.169266	0.005998	-102.577100	-99.774706	0.182488	0.154937	0.171916	0.202063
Qwen3-8B	8.0	30	ar1	3	0.163263	0.075252	-102.743639	-98.540047	0.176907	0.145406	0.170204	0.201746
Llama-3.1-8B-Instruct	8.0	30	constant	1	0.163259	0.000000	-106.744880	-105.343683	0.168889	0.125431	0.085337	0.101731
Llama-3.1-8B-Instruct	8.0	30	1seg_ols	2	0.160017	0.039321	-105.948336	-103.145941	0.170371	0.127496	0.182452	0.202103
Llama-3.1-8B-Instruct	8.0	30	saturation	2	0.264084	-1.616545	-75.889233	-73.086838	0.267788	0.196222	0.085382	0.101808
Llama-3.1-8B-Instruct	8.0	30	powerlaw	2	0.157891	0.064680	-106.750889	-103.948494	0.166484	0.123545	0.132597	0.156394
Llama-3.1-8B-Instruct	8.0	30	ar1	3	0.163170	0.001098	-102.777843	-98.574251	0.170064	0.127779	0.084517	0.101339
Qwen3-32B	32.0	3	constant	1	nan	nan	nan	nan	nan	nan	nan	nan
Qwen3-32B	32.0	3	1seg_ols	2	nan	nan	nan	nan	nan	nan	nan	nan
Qwen3-32B	32.0	3	saturation	2	nan	nan	nan	nan	nan	nan	nan	nan
Qwen3-32B	32.0	3	powerlaw	2	nan	nan	nan	nan	nan	nan	nan	nan
Qwen3-32B	32.0	3	ar1	3	nan	nan	nan	nan	nan	nan	nan	nan
Qwen3.5-27B	27.0	3	constant	1	nan	nan	nan	nan	nan	nan	nan	nan
Qwen3.5-27B	27.0	3	1seg_ols	2	nan	nan	nan	nan	nan	nan	nan	nan
Qwen3.5-27B	27.0	3	saturation	2	nan	nan	nan	nan	nan	nan	nan	nan
Qwen3.5-27B	27.0	3	powerlaw	2	nan	nan	nan	nan	nan	nan	nan	nan
Qwen3.5-27B	27.0	3	ar1	3	nan	nan	nan	nan	nan	nan	nan	nan
gpt-oss-20B	20.0	30	constant	1	0.192762	0.000000	-96.777998	-95.376800	0.199409	0.177586	0.135817	0.154128
gpt-oss-20B	20.0	30	1seg_ols	2	0.190303	0.025346	-95.548194	-92.745800	0.202327	0.179394	0.130881	0.146290
gpt-oss-20B	20.0	30	saturation	2	0.418525	-3.714118	-48.261143	-45.458748	0.559011	0.527470	0.445842	0.453174
gpt-oss-20B	20.0	30	powerlaw	2	0.190882	0.019408	-95.365951	-92.563556	0.202906	0.180030	0.129478	0.143830
gpt-oss-20B	20.0	30	ar1	3	0.185082	0.078095	-95.217383	-91.013791	0.208178	0.192293	0.142562	0.151817
Qwen3-30B-MoE	30.0	5	constant	1	nan	nan	nan	nan	nan	nan	nan	nan
Qwen3-30B-MoE	30.0	5	1seg_ols	2	nan	nan	nan	nan	nan	nan	nan	nan
Qwen3-30B-MoE	30.0	5	saturation	2	nan	nan	nan	nan	nan	nan	nan	nan
Qwen3-30B-MoE	30.0	5	powerlaw	2	nan	nan	nan	nan	nan	nan	nan	nan
Qwen3-30B-MoE	30.0	5	ar1	3	nan	nan	nan	nan	nan	nan	nan	nan
Qwen3-30B-MoE-Inst	30.0	3	constant	1	nan	nan	nan	nan	nan	nan	nan	nan
Qwen3-30B-MoE-Inst	30.0	3	1seg_ols	2	nan	nan	nan	nan	nan	nan	nan	nan
Qwen3-30B-MoE-Inst	30.0	3	saturation	2	nan	nan	nan	nan	nan	nan	nan	nan
Qwen3-30B-MoE-Inst	30.0	3	powerlaw	2	nan	nan	nan	nan	nan	nan	nan	nan
Qwen3-30B-MoE-Inst	30.0	3	ar1	3	nan	nan	nan	nan	nan	nan	nan	nan
DeepSeek-V3.1	685.0	20	constant	1	0.136216	0.000000	-77.740656	-76.744924	0.143385	0.118421	0.093750	0.103645
DeepSeek-V3.1	685.0	20	1seg_ols	2	0.136215	0.000016	-75.740973	-73.749509	0.150571	0.124697	0.093750	0.103877
DeepSeek-V3.1	685.0	20	saturation	2	0.253454	-2.462151	-50.902853	-48.911388	0.257035	0.194047	0.093900	0.103384
