source	G	n_seeds	heldout_acc_mean	heldout_acc_ci_low	heldout_acc_ci_high	mean_zvf	last10_mean	is_measured
qwen2.5-0.5b_arithmetic	2	3	0.9817	0.975	0.99	0.838	0.9771	yes
qwen2.5-0.5b_arithmetic	4	3	0.9883	0.985	0.99	0.7635	0.9714	yes
qwen2.5-0.5b_arithmetic	8	3	0.99	0.985	0.995	0.6906	0.9732	yes
qwen2.5-0.5b_arithmetic	16	3	0.9783	0.97	0.99	0.6312	0.9837	yes
qwen3-8b_gsm8k_T1000000	4	-1	0.41	0.38	0.44	nan	nan	no
qwen3-8b_gsm8k_T1000000	8	-1	0.48	0.45	0.51	nan	nan	no
qwen3-8b_gsm8k_T1000000	16	-1	0.47	0.44	0.5	nan	nan	no
qwen3-8b_gsm8k_T1000000	32	-1	0.42	0.39	0.45	nan	nan	no
qwen3-8b_gsm8k_T1000000	64	-1	0.35	0.32	0.38	nan	nan	no
qwen3-8b_gsm8k_T4000000	4	-1	0.55	0.52	0.58	nan	nan	no
qwen3-8b_gsm8k_T4000000	8	-1	0.67	0.64	0.7	nan	nan	no
qwen3-8b_gsm8k_T4000000	16	-1	0.69	0.66	0.72	nan	nan	no
qwen3-8b_gsm8k_T4000000	32	-1	0.66	0.63	0.69	nan	nan	no
qwen3-8b_gsm8k_T4000000	64	-1	0.58	0.55	0.61	nan	nan	no
qwen3-8b_gsm8k_T16000000	4	-1	0.63	0.6	0.66	nan	nan	no
qwen3-8b_gsm8k_T16000000	8	-1	0.78	0.75	0.81	nan	nan	no
qwen3-8b_gsm8k_T16000000	16	-1	0.82	0.79	0.85	nan	nan	no
qwen3-8b_gsm8k_T16000000	32	-1	0.84	0.81	0.87	nan	nan	no
qwen3-8b_gsm8k_T16000000	64	-1	0.8	0.77	0.83	nan	nan	no
qwen3-8b_gsm8k_T64000000	4	-1	0.64	0.61	0.67	nan	nan	no
qwen3-8b_gsm8k_T64000000	8	-1	0.8	0.77	0.83	nan	nan	no
qwen3-8b_gsm8k_T64000000	16	-1	0.85	0.82	0.88	nan	nan	no
qwen3-8b_gsm8k_T64000000	32	-1	0.88	0.85	0.91	nan	nan	no
qwen3-8b_gsm8k_T64000000	64	-1	0.87	0.84	0.9	nan	nan	no
