model	model_short	params_B	n_steps	cp1_step	cp2_step	seg1_len	seg2_len	seg3_len	seg1_slope	seg2_slope	seg3_slope	seg1_intercept	seg2_intercept	seg3_intercept
Qwen3.5-4B	qwen3.5-4b	4.0	30	6	14	5	8	17	0.0187	0.0781	0.0191	0.925	0.125	0.3847
Qwen3-8B	qwen3-8b	8.0	30	11	14	10	3	17	-0.0231	0.1875	0.0156	0.3477	-1.625	-0.045
Llama-3.1-8B-Instruct	llama-8b-inst	8.0	30	15	17	14	2	14	-0.0054	-0.625	0.0115	0.9589	9.75	0.5797
Qwen3-32B	qwen3-32b	32.0	3	2	3	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0
Qwen3.5-27B	qwen3.5-27b	27.0	3	2	3	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0
gpt-oss-20B	gpt-oss-20b	20.0	30	6	14	5	8	17	0.0875	0.0565	0.017	0.7	0.3475	0.4775
Qwen3-30B-MoE	qwen3-30b-moe	30.0	5	2	3	1	1	3	0.0	0.0	0.0	0.0	0.0	0.0
Qwen3-30B-MoE-Inst	qwen3-30b-moe-inst	30.0	3	2	3	1	1	1	0.0	0.0	0.0	0.0	0.0	0.0
DeepSeek-V3.1	deepseek-v3.1	685.0	20	8	16	7	8	5	-0.0446	0.0134	0.0875	0.9375	0.7812	-0.7125
Nemotron-120B	nemotron-120b	120.0	20	4	19	3	15	2	0.4375	-0.0054	-0.0	-0.1458	0.1619	0.5
Qwen3-235B-MoE	qwen3-235b-moe	235.0	4	2	3	1	1	2	0.0	0.0	0.0	0.0	0.0	0.0
Kimi-K2-Thinking	kimi-k2	1000.0	20	14	16	13	2	5	0.0014	0.375	0.075	0.9148	-4.375	-0.55
