anchor	arch	param_bracket	trace_bracket	early_bracket	best_family	sat_aic	pow_aic	lin_aic	log_aic	zero_aic
Qwen3.5-4B	dense	4-9B	long_n_ge21	high_first5_ge0.8	zero	-3.017955508738698	-3.396710703207403	-3.018586508037343	-2.146719853279601	-5.018248926103404
Qwen3-8B	dense	4-9B	long_n_ge21	low_first5_lt0.4	zero	-17.260238693691875	-17.473797492773677	-18.061455171466314	nan	-19.26031923561442
Llama-3.1-8B-Instruct	dense	4-9B	long_n_ge21	high_first5_ge0.8	power_law	-19.608179517795527	-21.627567797726826	-20.812023585709618	-20.43184994397654	-21.608568011953864
Qwen3-32B	dense	20-32B	short_n_le5	low_first5_lt0.4	zero	nan	nan	nan	nan	-4.058480963866088
Qwen3.5-27B	dense	20-32B	short_n_le5	mid_first5_0.4_0.8	zero	nan	nan	nan	nan	3.6511590997871806
gpt-oss-20B	moe	20-32B	long_n_ge21	high_first5_ge0.8	zero	-10.857416652999758	-10.229499652474626	-10.411882346792675	-9.908822321199061	-11.641685699561261
Qwen3-30B-MoE	moe	20-32B	short_n_le5	low_first5_lt0.4	zero	-0.48746772149546924	-0.7002708462240426	-0.7810856810459352	-0.07335785024915875	-1.5440153515830897
Qwen3-30B-MoE-Inst	moe	20-32B	short_n_le5	high_first5_ge0.8	none	nan	nan	nan	nan	nan
DeepSeek-V3.1	moe	120-685B	medium_n_6_20	high_first5_ge0.8	zero	-18.982986088234682	-18.99961783596375	-18.983431783904955	-18.799900637873698	-20.983115200473343
Nemotron-120B	dense	120-685B	medium_n_6_20	low_first5_lt0.4	zero	4.21385968755655	4.426303585599042	4.412424948224077	nan	2.489326992986181
Qwen3-235B-MoE	moe	120-685B	short_n_le5	high_first5_ge0.8	none	nan	nan	nan	nan	nan
Kimi-K2-Thinking	moe	1000B+	medium_n_6_20	high_first5_ge0.8	linear	-10.0081921881834	-13.16202034914561	-13.754224413560689	-13.401313108874636	-12.00859058450433
