# zvf_iter106_phase_diag.tsv -- (p, Delta) phase-space projection
# of zvf_iter102_calibration rows. p = mean_reward, G from row,
# Delta = ZVF_emp - (p^G + (1-p)^G), rho = ZVF_emp / max(ZVF_iid, eps).
# phase_label uses collapse_rate >= 0.5 OR p in {<=0.05,>=0.95} -> collapse,
# p >= 0.85 -> converged, else drift. Source: scripts/zvf_diagnostic_iter106.py
library	model	G	p_difficulty	zvf_emp	zvf_iid_pred	delta_calibration	rho_overdispersion	collapse_rate	converged_rate	phase_label	evidence_path
grpo	GRPO	8	0.3791	0.4808	0.0225	0.4583	21.3542	0.0	0.0	drift	experiments/results/variance_mitigation.tsv
aero	AERO	8	0.3993	0.2203	0.0176	0.2027	12.5172	0.0	0.0	drift	experiments/results/variance_mitigation.tsv
cppo	CPPO	8	0.392	0.2952	0.0192	0.276	15.3501	0.0	0.0	drift	experiments/results/variance_mitigation.tsv
ngrpo	NGRPO	8	0.3874	0.3003	0.0203	0.28	14.7629	0.0	0.0	drift	experiments/results/variance_mitigation.tsv
scafgrpo	SCAFGRPO	8	0.4088	0.3166	0.0157	0.3009	20.1609	0.0	0.0	drift	experiments/results/variance_mitigation.tsv
mcgrpo	MCGRPO	8	0.3221	0.1461	0.0447	0.1014	3.2674	0.0	0.0	drift	experiments/results/variance_mitigation.tsv
gift	GIFT	8	0.3259	0.1142	0.0428	0.0714	2.6704	0.0	0.0	drift	experiments/results/variance_mitigation.tsv
areal	AREAL	8	0.3283	0.1209	0.0416	0.0793	2.9081	0.0	0.0	drift	experiments/results/variance_mitigation.tsv
es	ES	8	0.3163	0.1142	0.0478	0.0664	2.3869	0.0	0.0	drift	experiments/results/variance_mitigation.tsv
gsm8k_real	Qwen/Qwen3-8B	8	0.6942	0.1583	0.054	0.1043	2.9308	0.0	1.0	drift	experiments/results/tinker_gsm8k_zvf_s42.json
arithmetic_groupsize	Qwen/Qwen2.5-0.5B	4	0.9764	0.7308	0.9089	-0.1781	0.8041	0.0	1.0	collapse	experiments/results/groupsize_zvf_sweep.tsv
tool_use	qwen3-32b	8	0.0	1.0	1.0	0.0	1.0	1.0	0.0	collapse	experiments/results/tool_code_reward_diagnostics.tsv
tool_use	llama-8b-inst	8	0.0	1.0	1.0	0.0	1.0	1.0	0.0	collapse	experiments/results/tool_code_reward_diagnostics.tsv
drgrpo_vs_grpo	Qwen/Qwen2.5-0.5B	4	0.9881	0.7941	0.9532	-0.1591	0.8331	0.0	1.0	collapse	experiments/results/drgrpo_vs_grpo.json
