model	params_B	arch	n	rho1	rho1_se	rho1_zscore
Qwen3.5-4B	4.0	dense	30	-0.12882995878874753	0.184147883012211	-0.6996005421371296
Qwen3-8B	8.0	dense	30	-0.2758538429913562	0.17866669736720237	-1.5439578111437926
Llama-3.1-8B-Instruct	8.0	dense	30	-0.03350142293674173	0.18559110177291158	-0.18051201063364514
Qwen3-32B	32.0	dense	3	-0.5000000000000002	1.0606601717798214	-0.47140452079103184
Qwen3.5-27B	27.0	dense	3	-0.8628290118856157	0.9503711519173513	-0.9078863664420774
gpt-oss-20B	20.0	moe	30	-0.28273701579507465	0.176303715659187	-1.6036928929032557
Qwen3-30B-MoE	30.0	moe	5	-0.5438932366832052	0.4055085912318833	-1.3412619324067265
Qwen3-30B-MoE-Inst	30.0	moe	3	nan	nan	nan
DeepSeek-V3.1	685.0	moe	20	-0.11549295774647887	0.23555835242135328	-0.49029447081499233
Nemotron-120B	120.0	dense	20	-0.02227298686464877	0.2370916080261371	-0.09394253575686823
Qwen3-235B-MoE	235.0	moe	4	nan	nan	nan
Kimi-K2-Thinking	1000.0	moe	20	-0.1597374179431072	0.22391282599243734	-0.7133911031452139
