entry_id	drift_class
delta_aero	iter128_recompute_note_root
delta_aero	iter_recomputed_in_measured0
delta_areal	iter128_recompute_note_root
delta_areal	iter_recomputed_in_measured0
delta_cppo	iter128_recompute_note_root
delta_cppo	iter_recomputed_in_measured0
delta_es	iter128_recompute_note_root
delta_es	iter_recomputed_in_measured0
delta_gift	iter128_recompute_note_root
delta_gift	iter_recomputed_in_measured0
delta_mcgrpo	iter128_recompute_note_root
delta_mcgrpo	iter_recomputed_in_measured0
delta_ngrpo	iter128_recompute_note_root
delta_ngrpo	iter_recomputed_in_measured0
delta_scafgrpo	iter128_recompute_note_root
delta_scafgrpo	iter_recomputed_in_measured0
delta_tool_use_llama-8b-inst	citation_bibkey_or_arxiv_null
delta_tool_use_llama-8b-inst	evidence_deferred_until_in_measured0
delta_tool_use_qwen3-32b	citation_bibkey_or_arxiv_null
delta_tool_use_qwen3-32b	evidence_deferred_until_in_measured0
zvf130_tool_use_llama-8b-inst	vda_status_unrecognized
zvf130_tool_use_qwen3-32b	vda_status_unrecognized
