arch	degenerate_by_variance	lam	lam_at_bound	lam_se	model	n_steps	params_B	var_y
dense	True	9.999999996946055	True	6112.411484918921	Qwen3.5-4B	30	4.0	0.04633680555555554
dense	True	9.999999998367802	True	13793.685341044025	Qwen3-8B	30	8.0	0.028823784722222228
dense	True	9.999999994107732	True	4357.884101825751	Llama-3.1-8B-Instruct	30	8.0	0.02665364583333333
moe	True	1.4944605192414029	False	0.9548053290756079	gpt-oss-20B	30	20.0	0.037157118055555556
dense	False	9.999999854925386	True	34042.87083837485	Qwen3.5-27B	3	27.0	0.10152088888888888
moe	True	0.4975748851488003	False	0.8659890358847668	Qwen3-30B-MoE	5	30.0	0.028820160000000004
moe	True	9.99974976824286	False	1.000001556071649	Qwen3-30B-MoE-Inst	3	30.0	0.0
dense	True	9.999999981355707	True	16498.7237088784	Qwen3-32B	3	32.0	0.007770888888888889
dense	False	0.9902420558411336	False	3.0365963430264427	Nemotron-120B	20	120.0	0.06
moe	True	9.999890270954808	False	0.7070973077304696	Qwen3-235B-MoE	4	235.0	0.0
moe	True	9.999999999993051	True	3845.6994044105627	DeepSeek-V3.1	20	685.0	0.0185546875
moe	True	9.99999999886369	True	4777.7057883407	Kimi-K2-Thinking	20	1000.0	0.0290625
