src	tgt	src_params_B	tgt_params_B	R_max	lambda	MAE_on_tgt	RMSE_on_tgt	diagonal
Qwen3.5-4B	Qwen3.5-4B	4.0	4.0	0.8167	0.3	0.2429	0.2916	True
Qwen3.5-4B	Qwen3-8B	4.0	8.0	0.8167	0.3	0.4695	0.5058	False
Qwen3.5-4B	Llama-3.1-8B-Instruct	4.0	8.0	0.8167	0.3	0.209	0.2761	False
Qwen3.5-4B	gpt-oss-20B	4.0	20.0	0.8167	0.3	0.2198	0.2501	False
Qwen3.5-4B	Qwen3.5-27B	4.0	27.0	0.8167	0.3	0.4055	0.4095	False
Qwen3.5-4B	Qwen3-30B-MoE	4.0	30.0	0.8167	0.3	0.1566	0.2134	False
Qwen3.5-4B	Qwen3-30B-MoE-Inst	4.0	30.0	0.8167	0.3	0.6451	0.6547	False
Qwen3.5-4B	Qwen3-32B	4.0	32.0	0.8167	0.3	0.1721	0.218	False
Qwen3.5-4B	Nemotron-120B	4.0	120.0	0.8167	0.3	0.5643	0.5997	False
Qwen3.5-4B	Qwen3-235B-MoE	4.0	235.0	0.8167	0.3	0.5911	0.6063	False
Qwen3.5-4B	DeepSeek-V3.1	4.0	685.0	0.8167	0.3	0.2	0.2617	False
Qwen3.5-4B	Kimi-K2-Thinking	4.0	1000.0	0.8167	0.3	0.2376	0.3123	False
Qwen3-8B	Qwen3.5-4B	8.0	4.0	0.3539	0.01	0.767	0.7971	False
Qwen3-8B	Qwen3-8B	8.0	8.0	0.3539	0.01	0.2427	0.2893	True
Qwen3-8B	Llama-3.1-8B-Instruct	8.0	8.0	0.3539	0.01	0.8191	0.8367	False
Qwen3-8B	gpt-oss-20B	8.0	20.0	0.3539	0.01	0.7899	0.8126	False
Qwen3-8B	Qwen3.5-27B	8.0	27.0	0.3539	0.01	0.4373	0.5367	False
Qwen3-8B	Qwen3-30B-MoE	8.0	30.0	0.3539	0.01	0.3148	0.3566	False
Qwen3-8B	Qwen3-30B-MoE-Inst	8.0	30.0	0.3539	0.01	0.993	0.993	False
Qwen3-8B	Qwen3-32B	8.0	32.0	0.3539	0.01	0.2427	0.259	False
Qwen3-8B	Nemotron-120B	8.0	120.0	0.3539	0.01	0.1754	0.2819	False
Qwen3-8B	Qwen3-235B-MoE	8.0	235.0	0.3539	0.01	0.9913	0.9913	False
Qwen3-8B	DeepSeek-V3.1	8.0	685.0	0.3539	0.01	0.809	0.8206	False
Qwen3-8B	Kimi-K2-Thinking	8.0	1000.0	0.3539	0.01	0.8153	0.8346	False
Llama-3.1-8B-Instruct	Qwen3.5-4B	8.0	4.0	0.8688	0.3	0.23	0.2888	False
Llama-3.1-8B-Instruct	Qwen3-8B	8.0	8.0	0.8688	0.3	0.5137	0.551	False
Llama-3.1-8B-Instruct	Llama-3.1-8B-Instruct	8.0	8.0	0.8688	0.3	0.1924	0.2641	True
Llama-3.1-8B-Instruct	gpt-oss-20B	8.0	20.0	0.8688	0.3	0.2061	0.2402	False
Llama-3.1-8B-Instruct	Qwen3.5-27B	8.0	27.0	0.8688	0.3	0.4035	0.4113	False
Llama-3.1-8B-Instruct	Qwen3-30B-MoE	8.0	30.0	0.8688	0.3	0.1761	0.2353	False
Llama-3.1-8B-Instruct	Qwen3-30B-MoE-Inst	8.0	30.0	0.8688	0.3	0.6224	0.6337	False
Llama-3.1-8B-Instruct	Qwen3-32B	8.0	32.0	0.8688	0.3	0.1858	0.2356	False
Llama-3.1-8B-Instruct	Nemotron-120B	8.0	120.0	0.8688	0.3	0.6058	0.6418	False
Llama-3.1-8B-Instruct	Qwen3-235B-MoE	8.0	235.0	0.8688	0.3	0.5651	0.5829	False
Llama-3.1-8B-Instruct	DeepSeek-V3.1	8.0	685.0	0.8688	0.3	0.1805	0.2477	False
Llama-3.1-8B-Instruct	Kimi-K2-Thinking	8.0	1000.0	0.8688	0.3	0.2197	0.3015	False
gpt-oss-20B	Qwen3.5-4B	20.0	4.0	1.222	1.727	0.3965	0.4559	False
gpt-oss-20B	Qwen3-8B	20.0	8.0	1.222	1.727	0.9277	0.9444	False
gpt-oss-20B	Llama-3.1-8B-Instruct	20.0	8.0	1.222	1.727	0.3444	0.3858	False
gpt-oss-20B	gpt-oss-20B	20.0	20.0	1.222	1.727	0.3736	0.4185	True
gpt-oss-20B	Qwen3.5-27B	20.0	27.0	1.222	1.727	0.697	0.7874	False
gpt-oss-20B	Qwen3-30B-MoE	20.0	30.0	1.222	1.727	0.8439	0.8586	False
gpt-oss-20B	Qwen3-30B-MoE-Inst	20.0	30.0	1.222	1.727	0.1344	0.1632	False
gpt-oss-20B	Qwen3-32B	20.0	32.0	1.222	1.727	0.8847	0.8995	False
gpt-oss-20B	Nemotron-120B	20.0	120.0	1.222	1.727	1.0337	1.0615	False
gpt-oss-20B	Qwen3-235B-MoE	20.0	235.0	1.222	1.727	0.156	0.1793	False
gpt-oss-20B	DeepSeek-V3.1	20.0	685.0	1.222	1.727	0.365	0.3936	False
gpt-oss-20B	Kimi-K2-Thinking	20.0	1000.0	1.222	1.727	0.3587	0.4044	False
Qwen3.5-27B	Qwen3.5-4B	27.0	4.0	0.4373	0.3	0.4332	0.4856	False
Qwen3.5-27B	Qwen3-8B	27.0	8.0	0.4373	0.3	0.1812	0.2173	False
Qwen3.5-27B	Llama-3.1-8B-Instruct	27.0	8.0	0.4373	0.3	0.477	0.5126	False
Qwen3.5-27B	gpt-oss-20B	27.0	20.0	0.4373	0.3	0.4439	0.487	False
Qwen3.5-27B	Qwen3.5-27B	27.0	27.0	0.4373	0.3	0.4203	0.4375	True
Qwen3.5-27B	Qwen3-30B-MoE	27.0	30.0	0.4373	0.3	0.1611	0.1732	False
Qwen3.5-27B	Qwen3-30B-MoE-Inst	27.0	30.0	0.4373	0.3	0.8099	0.8121	False
Qwen3.5-27B	Qwen3-32B	27.0	32.0	0.4373	0.3	0.1493	0.1535	False
Qwen3.5-27B	Nemotron-120B	27.0	120.0	0.4373	0.3	0.2846	0.3255	False
Qwen3.5-27B	Qwen3-235B-MoE	27.0	235.0	0.4373	0.3	0.781	0.7844	False
Qwen3.5-27B	DeepSeek-V3.1	27.0	685.0	0.4373	0.3	0.4688	0.4973	False
Qwen3.5-27B	Kimi-K2-Thinking	27.0	1000.0	0.4373	0.3	0.4809	0.5221	False
Qwen3-30B-MoE	Qwen3.5-4B	30.0	4.0	1.3939	0.0458	0.307	0.4037	False
Qwen3-30B-MoE	Qwen3-8B	30.0	8.0	1.3939	0.0458	0.4205	0.4853	False
Qwen3-30B-MoE	Llama-3.1-8B-Instruct	30.0	8.0	1.3939	0.0458	0.3258	0.4237	False
Qwen3-30B-MoE	gpt-oss-20B	30.0	20.0	1.3939	0.0458	0.2908	0.3748	False
Qwen3-30B-MoE	Qwen3.5-27B	30.0	27.0	1.3939	0.0458	0.4355	0.4747	False
Qwen3-30B-MoE	Qwen3-30B-MoE	30.0	30.0	1.3939	0.0458	0.1955	0.2115	True
Qwen3-30B-MoE	Qwen3-30B-MoE-Inst	30.0	30.0	1.3939	0.0458	0.8788	0.8801	False
Qwen3-30B-MoE	Qwen3-32B	30.0	32.0	1.3939	0.0458	0.1645	0.1837	False
Qwen3-30B-MoE	Nemotron-120B	30.0	120.0	1.3939	0.0458	0.4038	0.4653	False
Qwen3-30B-MoE	Qwen3-235B-MoE	30.0	235.0	1.3939	0.0458	0.8508	0.8532	False
Qwen3-30B-MoE	DeepSeek-V3.1	30.0	685.0	1.3939	0.0458	0.3736	0.4359	False
Qwen3-30B-MoE	Kimi-K2-Thinking	30.0	1000.0	1.3939	0.0458	0.4109	0.4876	False
Qwen3-30B-MoE-Inst	Qwen3.5-4B	30.0	4.0	1.0	0.3	0.2297	0.316	False
Qwen3-30B-MoE-Inst	Qwen3-8B	30.0	8.0	1.0	0.3	0.627	0.6666	False
Qwen3-30B-MoE-Inst	Llama-3.1-8B-Instruct	30.0	8.0	1.0	0.3	0.195	0.2716	False
Qwen3-30B-MoE-Inst	gpt-oss-20B	30.0	20.0	1.0	0.3	0.1822	0.2566	False
Qwen3-30B-MoE-Inst	Qwen3.5-27B	30.0	27.0	1.0	0.3	0.3984	0.4216	False
Qwen3-30B-MoE-Inst	Qwen3-30B-MoE	30.0	30.0	1.0	0.3	0.2307	0.2973	False
Qwen3-30B-MoE-Inst	Qwen3-30B-MoE-Inst	30.0	30.0	1.0	0.3	0.5654	0.5818	True
Qwen3-30B-MoE-Inst	Qwen3-32B	30.0	32.0	1.0	0.3	0.2201	0.2838	False
Qwen3-30B-MoE-Inst	Nemotron-120B	30.0	120.0	1.0	0.3	0.7106	0.7498	False
Qwen3-30B-MoE-Inst	Qwen3-235B-MoE	30.0	235.0	1.0	0.3	0.4993	0.5258	False
Qwen3-30B-MoE-Inst	DeepSeek-V3.1	30.0	685.0	1.0	0.3	0.1745	0.2491	False
Qwen3-30B-MoE-Inst	Kimi-K2-Thinking	30.0	1000.0	1.0	0.3	0.2287	0.3048	False
Qwen3-32B	Qwen3.5-4B	32.0	4.0	0.2497	0.3	0.5908	0.6332	False
Qwen3-32B	Qwen3-8B	32.0	8.0	0.2497	0.3	0.1482	0.1856	False
Qwen3-32B	Llama-3.1-8B-Instruct	32.0	8.0	0.2497	0.3	0.6429	0.6674	False
Qwen3-32B	gpt-oss-20B	32.0	20.0	0.2497	0.3	0.6137	0.6434	False
Qwen3-32B	Qwen3.5-27B	32.0	27.0	0.2497	0.3	0.4276	0.4745	False
Qwen3-32B	Qwen3-30B-MoE	32.0	30.0	0.2497	0.3	0.2209	0.2425	False
Qwen3-32B	Qwen3-30B-MoE-Inst	32.0	30.0	0.2497	0.3	0.8915	0.8922	False
Qwen3-32B	Qwen3-32B	32.0	32.0	0.2497	0.3	0.1566	0.1839	True
Qwen3-32B	Nemotron-120B	32.0	120.0	0.2497	0.3	0.2045	0.2511	False
Qwen3-32B	Qwen3-235B-MoE	32.0	235.0	0.2497	0.3	0.875	0.876	False
Qwen3-32B	DeepSeek-V3.1	32.0	685.0	0.2497	0.3	0.6297	0.6467	False
Qwen3-32B	Kimi-K2-Thinking	32.0	1000.0	0.2497	0.3	0.6359	0.6647	False
Nemotron-120B	Qwen3.5-4B	120.0	4.0	1.3626	1.9415	0.5383	0.5829	False
Nemotron-120B	Qwen3-8B	120.0	8.0	1.3626	1.9415	1.0695	1.0839	False
Nemotron-120B	Llama-3.1-8B-Instruct	120.0	8.0	1.3626	1.9415	0.4862	0.5158	False
Nemotron-120B	gpt-oss-20B	120.0	20.0	1.3626	1.9415	0.5154	0.5488	False
Nemotron-120B	Qwen3.5-27B	120.0	27.0	1.3626	1.9415	0.8494	0.9226	False
Nemotron-120B	Qwen3-30B-MoE	120.0	30.0	1.3626	1.9415	0.9917	1.0041	False
Nemotron-120B	Qwen3-30B-MoE-Inst	120.0	30.0	1.3626	1.9415	0.2867	0.2991	False
Nemotron-120B	Qwen3-32B	120.0	32.0	1.3626	1.9415	1.037	1.0485	False
Nemotron-120B	Nemotron-120B	120.0	120.0	1.3626	1.9415	1.1762	1.2006	True
Nemotron-120B	Qwen3-235B-MoE	120.0	235.0	1.3626	1.9415	0.3055	0.316	False
Nemotron-120B	DeepSeek-V3.1	120.0	685.0	1.3626	1.9415	0.5074	0.5278	False
Nemotron-120B	Kimi-K2-Thinking	120.0	1000.0	1.3626	1.9415	0.5012	0.534	False
Qwen3-235B-MoE	Qwen3.5-4B	235.0	4.0	1.0	0.3	0.2297	0.316	False
Qwen3-235B-MoE	Qwen3-8B	235.0	8.0	1.0	0.3	0.627	0.6666	False
Qwen3-235B-MoE	Llama-3.1-8B-Instruct	235.0	8.0	1.0	0.3	0.195	0.2716	False
