idx,p_x,n_correct,n_samples,zero_variance
0,0.78125,25,32,0
1,0.625,20,32,0
2,0.9375,30,32,0
3,0.4375,14,32,0
4,0.90625,29,32,0
5,0.90625,29,32,0
6,0.875,28,32,0
7,0.0,0,32,1
8,0.96875,31,32,0
9,1.0,32,32,1
10,0.6875,22,32,0
11,0.0,0,32,1
12,1.0,32,32,1
13,1.0,32,32,1
14,0.9375,30,32,0
15,0.5625,18,32,0
16,0.96875,31,32,0
17,1.0,32,32,1
18,0.625,20,32,0
19,0.5,16,32,0
20,0.71875,23,32,0
21,1.0,32,32,1
22,1.0,32,32,1
23,0.5625,18,32,0
24,0.90625,29,32,0
25,0.84375,27,32,0
26,0.40625,13,32,0
27,0.96875,31,32,0
28,0.65625,21,32,0
29,0.96875,31,32,0
