source	project	run_id	model	task	algo	G	steps	created	headline_metric
tinker	tinker	81aa65f5-f17f-562c-ae2d-b00e8931675d:train:1	Qwen/Qwen3.5-4B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-07-04 09:39:07.112318+00:00	
tinker	tinker	8c0018a3-b25b-5252-bf6a-e07b28203cd4:train:1	Qwen/Qwen3.5-4B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-07-04 09:38:57.381539+00:00	
tinker	tinker	a0d888b9-1e38-5934-ace1-a2862a9ab786:train:0	meta-llama/Llama-3.2-3B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-07-04 09:34:21.997318+00:00	
tinker	tinker	7465986e-84b7-5dbd-859b-83064a4f9f12:train:0	Qwen/Qwen3.5-4B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-07-04 09:39:12.583105+00:00	
tinker	tinker	d0b02522-7455-520e-974d-808b258aa0ba:train:1	Qwen/Qwen3.5-4B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-07-04 09:38:57.235510+00:00	
tinker	tinker	7b18be15-c219-5e72-a926-8cf15c799c1a:train:0	Qwen/Qwen3.5-4B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-07-04 09:33:25.921209+00:00	
tinker	tinker	c74f5f69-9987-5b25-8a4e-b2e606f27ca6:train:1	Qwen/Qwen3.5-4B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-07-04 09:39:08.712741+00:00	
tinker	tinker	c74f5f69-9987-5b25-8a4e-b2e606f27ca6:train:0	Qwen/Qwen3.5-4B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-07-04 09:30:17.210109+00:00	
tinker	tinker	81aa65f5-f17f-562c-ae2d-b00e8931675d:train:0	Qwen/Qwen3.5-4B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-07-04 09:35:02.325390+00:00	
tinker	tinker	49b99db4-a762-510b-a5ee-0a04d543113b:train:1	Qwen/Qwen3.5-4B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-07-04 09:29:12.993957+00:00	
