method	seed	failure_label	failure_bin	mean_zvf	lag1_zvf_rolling_w15	slope	G	p_proxy	zvf_iid_at_p	delta_zvf	risk_mag_v130	risk_mag	risk_csd	risk_drift	risk_gsize	risk_delta	zvf_risk3	zvf_risk3_max	zvf_risk5	zvf_risk5_max
tool_use_llama-8b-inst	0	collapse	1	1.0	0.95	0.0	1	0.0	1.0	0.0	0.014774031693273067	0.014774031693273067	0.9933071490757153	0.23147521650098238	0.02595988567493582	0.5	0.5473808273460361	0.9933071490757153	0.5367010017662843	0.9933071490757153
tool_use_qwen3-32b	0	collapse	1	1.0	0.95	0.0	1	0.0	1.0	0.0	0.014774031693273067	0.014774031693273067	0.9933071490757153	0.23147521650098238	0.02595988567493582	0.5	0.5473808273460361	0.9933071490757153	0.5367010017662843	0.9933071490757153
grpo	4	plateau	0	0.4824	0.4213	0.009896	8	0.3788	0.02259830058805177	0.4598016994119482	0.25079063555252024	0.25079063555252024	0.42873847485481387	0.8543083758670477	0.08494656894307347	0.9900286410465718	0.46046810326657256	0.8543083758670477	0.48702642150466435	0.9900286410465718
grpo	0	plateau	0	0.4813	0.5741	0.010284	8	0.3798	0.022323371982741556	0.45897662801725847	0.2520327790702332	0.2520327790702332	0.7757380307759248	0.8682072682536348	0.08494656894307347	0.9899468603858396	0.6371203027597594	0.8682072682536348	0.6455634133405074	0.9899468603858396
grpo	2	plateau	0	0.4803	0.6469	0.009996	8	0.3793	0.022460415137289778	0.4578395848627102	0.2531655345333802	0.2531655345333802	0.8775036627642301	0.8580027971017024	0.08494656894307347	0.9898330683105946	0.6863020511624696	0.8775036627642301	0.6900990867207172	0.9898330683105946
grpo	3	plateau	0	0.4806	0.4094	0.00952	8	0.3782	0.022764879957767156	0.45783512004223287	0.2528253548237829	0.2528253548237829	0.39987163281527666	0.8397003196067644	0.08494656894307347	0.9898326189806484	0.44372348677612605	0.8397003196067644	0.4723342117590534	0.9898326189806484
grpo	1	plateau	0	0.4793	0.6072	0.009848	8	0.3792	0.02248792473044317	0.4568120752695568	0.2543016502000017	0.2543016502000017	0.8280685371933862	0.852506911575282	0.08494656894307347	0.9897291420578878	0.66082614597175	0.852506911575282	0.667302533676259	0.9897291420578878
scaling_law_Llama-3.1-8B-Instruct	agg	collapse	1	0.95	0.85	0.015	1	-105.3437	1.0	-0.050000000000000044	0.019840305734077517	0.019840305734077517	0.9820137900379085	0.9644288107273639	0.02595988567493582	0.3775406687981453	0.6898447488846503	0.9820137900379085	0.6305826647232441	0.9820137900379085
scaling_law_DeepSeek-V3.1	agg	collapse	1	0.95	0.85	0.015	1	-76.7449	1.0	-0.050000000000000044	0.019840305734077517	0.019840305734077517	0.9820137900379085	0.9644288107273639	0.02595988567493582	0.3775406687981453	0.6898447488846503	0.9820137900379085	0.6305826647232441	0.9820137900379085
scaling_law_Nemotron-120B	agg	collapse	1	0.95	0.85	0.015	1	-53.2725	1.0	-0.050000000000000044	0.019840305734077517	0.019840305734077517	0.9820137900379085	0.9644288107273639	0.02595988567493582	0.3775406687981453	0.6898447488846503	0.9820137900379085	0.6305826647232441	0.9820137900379085
scaling_law_Qwen3-8B	agg	collapse	1	0.95	0.85	0.015	1	-102.9954	1.0	-0.050000000000000044	0.019840305734077517	0.019840305734077517	0.9820137900379085	0.9644288107273639	0.02595988567493582	0.3775406687981453	0.6898447488846503	0.9820137900379085	0.6305826647232441	0.9820137900379085
