model	params_B	arch	n_steps	eps	t_eps	peak_step
Qwen3.5-4B	4.0	dense	30	0.05	-1	1
Qwen3.5-4B	4.0	dense	30	0.1	29	1
Qwen3.5-4B	4.0	dense	30	0.2	27	1
Qwen3-8B	8.0	dense	30	0.05	-1	13
Qwen3-8B	8.0	dense	30	0.1	-1	13
Qwen3-8B	8.0	dense	30	0.2	30	13
Llama-3.1-8B-Instruct	8.0	dense	30	0.05	-1	1
Llama-3.1-8B-Instruct	8.0	dense	30	0.1	29	1
Llama-3.1-8B-Instruct	8.0	dense	30	0.2	27	1
DeepSeek-V3.1	685.0	MoE	20	0.05	-1	3
DeepSeek-V3.1	685.0	MoE	20	0.1	-1	3
DeepSeek-V3.1	685.0	MoE	20	0.2	-1	3
Nemotron-120B	120.0	dense	20	0.05	-1	3
Nemotron-120B	120.0	dense	20	0.1	-1	3
Nemotron-120B	120.0	dense	20	0.2	-1	3
