model	params_B	phase_classifier	phase_score_median	phase_score_iqr	stability_loo_agreement	n_boot
Qwen3.5-4B	4.0	plateau	-0.334	1.9551	0.0	200
Qwen3-8B	8.0	saturation	-0.2945	1.9062	1.0	200
Llama-3.1-8B-Instruct	8.0	drift	0.0193	1.7643	0.0	200
Qwen3-32B	32.0	drift	nan	nan	0.0	200
Qwen3.5-27B	27.0	collapse	nan	nan	0.0	200
gpt-oss-20B	20.0	saturation	-0.0876	1.9926	1.0	200
Qwen3-30B-MoE	30.0	saturation	nan	nan	0.98	200
Qwen3-30B-MoE-Inst	30.0	saturation	nan	nan	0.0	200
DeepSeek-V3.1	685.0	plateau	0.7253	1.9669	0.0	200
Nemotron-120B	120.0	plateau	-0.9883	1.9983	0.0	200
Qwen3-235B-MoE	235.0	saturation	nan	nan	0.0	200
Kimi-K2-Thinking	1000.0	drift	0.0759	1.848	0.0	200
