# Pillar 2 ZVF lead-time extended table (iter 22)
# For every (method, seed) we compute (peak_step, first_collapse_step,
# lead_steps) plus the mean ZVF in the 5-step window AFTER the peak.
# lead_steps = -1 means the run never set collapse=1 (i.e. did NOT
# collapse -- a positive outcome for mitigation libraries).
# Source: scripts/zvf_iter22.py
method	seed	n_steps	first_pass_step	first_collapse_step	lead_steps	collapsed	zvf_at_pass	pre_zvf_5	post_zvf_5	local_max_zvf	local_max_step
grpo	0	300	98	99	1	1	0.9040	0.9040	0.8622	0.9040	98
grpo	1	300	97	98	1	1	0.8653	0.8653	0.9026	0.9026	98
grpo	2	300	97	98	1	1	0.8786	0.8786	0.8577	0.8786	97
grpo	3	300	98	-1	-1	0	0.8919	0.9093	0.8933	0.9267	99
grpo	4	300	99	-1	-1	0	0.8561	0.8561	0.8809	0.8561	99
aero	0	100	99	-1	-1	0	0.6649	0.6649	0.6793	0.6649	99
aero	1	100	95	-1	-1	0	0.7093	0.6896	0.6863	0.7435	97
aero	2	100	98	-1	-1	0	0.6918	0.6850	0.6788	0.6918	98
aero	3	100	99	-1	-1	0	0.6769	0.6769	0.7044	0.6769	99
aero	4	100	97	-1	-1	0	0.6820	0.7115	0.7108	0.7330	98
cppo	0	100	95	-1	-1	0	0.7327	0.7574	0.7704	0.7876	99
cppo	1	100	96	-1	-1	0	0.7953	0.7836	0.7952	0.8051	98
cppo	2	100	99	-1	-1	0	0.7503	0.7503	0.7658	0.7503	99
cppo	3	100	97	-1	-1	0	0.8225	0.7892	0.7622	0.8225	97
cppo	4	100	98	-1	-1	0	0.8117	0.7986	0.7632	0.8117	98
ngrpo	0	100	98	-1	-1	0	0.7309	0.7429	0.7486	0.7550	99
ngrpo	1	100	99	-1	-1	0	0.7647	0.7647	0.7496	0.7647	99
ngrpo	2	100	97	-1	-1	0	0.6921	0.7135	0.7273	0.7484	99
ngrpo	3	100	99	-1	-1	0	0.7583	0.7583	0.7480	0.7583	99
ngrpo	4	100	99	-1	-1	0	0.7396	0.7396	0.7558	0.7396	99
scafgrpo	0	100	98	-1	-1	0	0.3714	0.3943	0.4002	0.4173	99
scafgrpo	1	100	99	-1	-1	0	0.4322	0.4322	0.4055	0.4322	99
scafgrpo	2	100	99	-1	-1	0	0.3967	0.3967	0.4014	0.3967	99
scafgrpo	3	100	98	-1	-1	0	0.4216	0.4228	0.3970	0.4241	99
scafgrpo	4	100	96	-1	-1	0	0.4376	0.4108	0.4090	0.4376	96
mcgrpo	0	110	95	-1	-1	0	0.5982	0.6003	0.1332	nan	-1
mcgrpo	1	100	93	-1	-1	0	0.5525	0.5566	0.5756	0.6145	99
mcgrpo	2	100	99	-1	-1	0	0.5866	0.5866	0.5915	0.5866	99
mcgrpo	3	100	97	-1	-1	0	0.5591	0.5784	0.5820	0.5910	98
mcgrpo	4	100	99	-1	-1	0	0.5775	0.5775	0.5784	0.5775	99
gift	0	110	99	-1	-1	0	0.5203	0.5203	0.1053	nan	-1
gift	1	100	99	-1	-1	0	0.5118	0.5118	0.5094	0.5118	99
gift	2	100	95	-1	-1	0	0.5331	0.5048	0.5011	0.5379	99
gift	3	100	99	-1	-1	0	0.4906	0.4906	0.5074	0.4906	99
gift	4	100	98	-1	-1	0	0.4977	0.5383	0.5088	0.5789	99
areal	0	110	98	-1	-1	0	0.5149	0.5194	0.1118	nan	-1
areal	1	100	99	-1	-1	0	0.4987	0.4987	0.4917	0.4987	99
areal	2	100	99	-1	-1	0	0.5410	0.5410	0.5004	0.5410	99
areal	3	100	96	-1	-1	0	0.5826	0.5522	0.5360	0.5826	96
areal	4	100	97	-1	-1	0	0.5534	0.5387	0.5165	0.5733	99
es	0	110	98	-1	-1	0	0.2556	0.2399	0.1056	nan	-1
es	1	100	98	-1	-1	0	0.2909	0.2686	0.2503	0.2909	98
es	2	100	98	-1	-1	0	0.2497	0.2486	0.2373	0.2497	98
es	3	100	99	-1	-1	0	0.2622	0.2622	0.2438	0.2622	99
es	4	100	98	-1	-1	0	0.2224	0.2336	0.2608	0.2449	99
