metric_kind	metric_key	headline
A_extrap	slope_per_decade_T	slope(dR/dlog10T) = -0.1379/decade  95%CI [-0.1935,-0.0830]  R^2=0.905  p=4.86e-02
A_extrap	intercept_at_log10T_eq_0	intercept(R at T=1 tok) = +1.773  95%CI [+1.374,+2.178]
A_extrap	T=3e+08	predicted R(T=3e+08) = 0.614
A_extrap	T=1e+09	predicted R(T=1e+09) = 0.531
A_extrap	T_at_Wu_retention_0.976	R=0.976 achieved at T=6.081e+05 tok (5.78 on log10 scale)
A_extrap	T_at_ceiling_floor_0.723	R=0.723 (iter95 ceiling floor) achieved at T=4.159e+07 tok (7.62 on log10 scale)
B_cross	pooled_mean_zvf_vs_last10	Pooled Spearman rho(mean_zvf, last10_avg) = +0.202  p=1.643e-01  n=49
B_cross	pooled_mean_zvf_vs_mean_reward	Pooled Spearman rho(mean_zvf, mean_reward) = +0.135  p=3.552e-01
B_cross	within_groupsize_zvf_sweep	Within groupsize_zvf_sweep: Spearman rho(mean_zvf, last10_avg) = -0.400  p=6.000e-01  n=4
B_cross	within_variance_mitigation	Within variance_mitigation: Spearman rho(mean_zvf, last10_avg) = -0.030  p=8.467e-01  n=45
B_cross	stratum_corr_compare	Pearson r within groupsize: -0.469; within variance_mitigation: +0.275 -- both can be POSITIVE; the inversion is in the JOINT POOL sign-flip.
B_cross	pooled_GU_vs_last10	Pooled Spearman rho(GU, last10_avg) = -0.202  p=1.643e-01  -- if NEGATIVE: high GU (more contrast) -> drift, P2 + P3 share mechanism
C_wu	asymptotic_pairs	Asymptotic R_inf=ceil(gs)/ceil(gl) for 10 pairs; 1 pairs predict Wu equivalence at infinite compute.
C_wu	pairs_with_R_inf_ge_0.976	Pairs where R_inf>=0.976: (32,64)=1.011
C_wu	T=1e+06	T=1e+06: max G_small/G_large ratio with R>=0.976 is 0.500 (G_small=8, G_large=16, R=1.021)
C_wu	T=4e+06	T=4e+06: max G_small/G_large ratio with R>=0.976 is 0.500 (G_small=16, G_large=32, R=1.045)
C_wu	T=2e+07	T=2e+07: max G_small/G_large ratio with R>=0.976 is 0.500 (G_small=16, G_large=32, R=0.976)
C_wu	T=6e+07	T=6e+07: max G_small/G_large ratio with R>=0.976 is 0.500 (G_small=32, G_large=64, R=1.011)
D_var	G_measured_sigma2_within	G=8: mean within-group sigma^2 = 0.1758 (binary reward variance per group); predicted baseline variance sigma^2/G = 0.0220
D_var	G_measured_cross_problem_var	G=8: empirical var(mean_reward across 200 prompts) = 0.0585
D_var	baseline_var_scaling	Predicted baseline variance sigma^2/G (binary sigma^2=0.1758): G=4=0.0439, G=8=0.0220, G=16=0.0110, G=32=0.0055, G=64=0.0027
D_var	ratio_G4_over_G32	G=4 / G=32 baseline-variance ratio = 8.00x -- G=4's group-mean baseline estimator has 8x more per-step noise than G=32's
