# Pillar 2 iter86 per-trace counterfactual at K=5, tau=0.5.
# Source: scripts/zvf_iter86.py
source	method	seed	class	t_stop	t_fail	lead_time	n_steps	compute_saved
variance_mitigation	grpo	0	correct_stop	141	152	11	300	158
variance_mitigation	grpo	1	correct_stop	141	153	12	300	158
variance_mitigation	grpo	2	correct_stop	144	153	9	300	155
variance_mitigation	grpo	3	correct_stop	144	154	10	300	155
variance_mitigation	grpo	4	correct_stop	144	152	8	300	155
variance_mitigation	aero	0	correct_stop	77	87	10	100	22
variance_mitigation	aero	1	correct_stop	77	87	10	100	22
variance_mitigation	aero	2	correct_stop	76	87	11	100	23
variance_mitigation	aero	3	correct_stop	77	87	10	100	22
variance_mitigation	aero	4	correct_stop	79	88	9	100	20
variance_mitigation	cppo	0	correct_stop	70	78	8	100	29
variance_mitigation	cppo	1	correct_stop	69	77	8	100	30
variance_mitigation	cppo	2	correct_stop	68	77	9	100	31
variance_mitigation	cppo	3	correct_stop	68	78	10	100	31
variance_mitigation	cppo	4	correct_stop	68	77	9	100	31
variance_mitigation	ngrpo	0	correct_stop	65	75	10	100	34
variance_mitigation	ngrpo	1	correct_stop	67	76	9	100	32
variance_mitigation	ngrpo	2	correct_stop	66	76	10	100	33
variance_mitigation	ngrpo	3	correct_stop	66	77	11	100	33
variance_mitigation	ngrpo	4	correct_stop	68	77	9	100	31
variance_mitigation	scafgrpo	0	none	-1	-1	-1	100	0
variance_mitigation	scafgrpo	1	none	-1	-1	-1	100	0
variance_mitigation	scafgrpo	2	none	-1	-1	-1	100	0
variance_mitigation	scafgrpo	3	none	-1	-1	-1	100	0
variance_mitigation	scafgrpo	4	none	-1	-1	-1	100	0
variance_mitigation	mcgrpo	0	correct_stop	102	109	7	110	7
variance_mitigation	mcgrpo	1	correct_stop	88	99	11	100	11
variance_mitigation	mcgrpo	2	correct_stop	88	98	10	100	11
variance_mitigation	mcgrpo	3	correct_stop	89	98	9	100	10
variance_mitigation	mcgrpo	4	correct_stop	88	99	11	100	11
variance_mitigation	gift	0	none	-1	-1	-1	110	0
variance_mitigation	gift	1	none	-1	-1	-1	100	0
variance_mitigation	gift	2	none	-1	-1	-1	100	0
variance_mitigation	gift	3	none	-1	-1	-1	100	0
variance_mitigation	gift	4	none	-1	-1	-1	100	0
variance_mitigation	areal	0	false_stop	105	-1	-1	110	4
variance_mitigation	areal	1	none	-1	-1	-1	100	0
variance_mitigation	areal	2	none	-1	-1	-1	100	0
variance_mitigation	areal	3	none	-1	-1	-1	100	0
variance_mitigation	areal	4	none	-1	-1	-1	100	0
variance_mitigation	es	0	none	-1	-1	-1	110	0
variance_mitigation	es	1	none	-1	-1	-1	100	0
variance_mitigation	es	2	none	-1	-1	-1	100	0
variance_mitigation	es	3	none	-1	-1	-1	100	0
variance_mitigation	es	4	none	-1	-1	-1	100	0
