model	model_short	params_B	n_steps	n_params_const	n_params_1seg	n_params_sat	n_params_3seg	aic_const	aic_1seg	aic_sat	aic_3seg	bic_const	bic_1seg	bic_sat	bic_3seg	best_aic_family	best_bic_family	delta_aic_3v1	delta_aic_3v0	delta_bic_3v1	delta_bic_3v0	delta_bic_3vsat	best_aic_aic	best_bic_aic
Qwen3.5-4B	qwen3.5-4b	4.0	30	1	3	2	8	-90.155	-86.155	-25.369	-90.805	-88.753	-81.951	-22.567	-79.596	3seg	constant	-4.65	-0.651	2.356	9.158	-57.029	-90.805	-88.753
Qwen3-8B	qwen3-8b	8.0	30	1	3	2	8	-104.397	-101.198	-81.149	-103.222	-102.995	-96.994	-78.347	-92.012	constant	constant	-2.024	1.175	4.982	10.983	-13.666	-104.397	-102.995
Llama-3.1-8B-Instruct	llama-8b-inst	8.0	30	1	3	2	8	-106.745	-103.948	-26.834	-110.211	-105.344	-99.745	-24.032	-99.001	3seg	constant	-6.262	-3.466	0.744	6.343	-74.969	-110.211	-105.344
Qwen3-32B	qwen3-32b	32.0	3	1	3	2	8	-12.572	-12.731	-4.129	inf	-13.473	-15.435	-5.932	inf	1seg_ols	1seg_ols	inf	inf	inf	inf	inf	-12.731	-15.435
Qwen3.5-27B	qwen3.5-27b	27.0	3	1	3	2	8	-4.862	-3.055	0.265	inf	-5.764	-5.759	-1.537	inf	constant	constant	inf	inf	inf	inf	inf	-4.862	-5.764
gpt-oss-20B	gpt-oss-20b	20.0	30	1	3	2	8	-96.778	-93.548	-27.416	-93.562	-95.377	-89.345	-24.613	-82.352	constant	constant	-0.013	3.216	6.993	13.025	-57.739	-96.778	-95.377
Qwen3-30B-MoE	qwen3-30b-moe	30.0	5	1	3	2	8	-15.733	-12.97	-12.462	inf	-16.124	-14.142	-13.243	inf	constant	constant	inf	inf	inf	inf	inf	-15.733	-16.124
Qwen3-30B-MoE-Inst	qwen3-30b-moe-inst	30.0	3	1	3	2	8	nan	-210.262	3.94	inf	nan	-212.966	2.138	inf	constant	constant	inf	nan	inf	nan	inf	nan	nan
DeepSeek-V3.1	deepseek-v3.1	685.0	20	1	3	2	8	-77.741	-73.741	-8.464	-82.202	-76.745	-70.754	-6.472	-74.236	3seg	constant	-8.461	-4.462	-3.483	2.509	-67.764	-82.202	-76.745
Nemotron-120B	nemotron-120b	120.0	20	1	3	2	8	-54.268	-50.345	-50.452	-58.165	-53.272	-47.358	-48.461	-50.199	3seg	constant	-7.82	-3.897	-2.841	3.073	-1.739	-58.165	-53.272
Qwen3-235B-MoE	qwen3-235b-moe	235.0	4	1	3	2	8	nan	-280.727	3.982	inf	nan	-282.568	2.755	inf	constant	constant	inf	nan	inf	nan	inf	nan	nan
Kimi-K2-Thinking	kimi-k2	1000.0	20	1	3	2	8	-68.766	-68.512	-2.322	-71.324	-67.77	-65.525	-0.331	-63.359	3seg	constant	-2.813	-2.558	2.166	4.412	-63.028	-71.324	-67.77
