metric	verdict	n	pct	metric_total_n
L_star	SUPPORTS	0	0.0	1
L_star	NEUTRAL	1	100.0	1
L_star	CONTRADICTS	0	0.0	1
L_star	UNCLAIMED	0	0.0	1
mag_mean	SUPPORTS	0	0.0	5
mag_mean	NEUTRAL	0	0.0	5
mag_mean	CONTRADICTS	0	0.0	5
mag_mean	UNCLAIMED	5	100.0	5
mean_len	SUPPORTS	0	0.0	3
mean_len	NEUTRAL	0	0.0	3
mean_len	CONTRADICTS	0	0.0	3
mean_len	UNCLAIMED	3	100.0	3
mean_zvf	SUPPORTS	0	0.0	8
mean_zvf	NEUTRAL	0	0.0	8
mean_zvf	CONTRADICTS	0	0.0	8
mean_zvf	UNCLAIMED	8	100.0	8
neg_frac	SUPPORTS	0	0.0	1
neg_frac	NEUTRAL	0	0.0	1
neg_frac	CONTRADICTS	1	100.0	1
neg_frac	UNCLAIMED	0	0.0	1
pcd	SUPPORTS	0	0.0	3
pcd	NEUTRAL	0	0.0	3
pcd	CONTRADICTS	0	0.0	3
pcd	UNCLAIMED	3	100.0	3
pos_frac	SUPPORTS	0	0.0	1
pos_frac	NEUTRAL	1	100.0	1
pos_frac	CONTRADICTS	0	0.0	1
pos_frac	UNCLAIMED	0	0.0	1
reward_mean	SUPPORTS	0	0.0	4
reward_mean	NEUTRAL	2	50.0	4
reward_mean	CONTRADICTS	2	50.0	4
reward_mean	UNCLAIMED	0	0.0	4
zvf	SUPPORTS	2	50.0	4
zvf	NEUTRAL	2	50.0	4
zvf	CONTRADICTS	0	0.0	4
zvf	UNCLAIMED	0	0.0	4
zvf_risk_mean	SUPPORTS	8	100.0	8
zvf_risk_mean	NEUTRAL	0	0.0	8
zvf_risk_mean	CONTRADICTS	0	0.0	8
zvf_risk_mean	UNCLAIMED	0	0.0	8
