field	value	count
cell_id	Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s0_923b060d59	1
cell_id	Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s1_05f2eef935	1
cell_id	Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s0_b153a50c68	1
cell_id	Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s1_640529daef	1
cell_id	Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s0_b6fd39319c	1
cell_id	Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s1_ee3645e450	1
cell_id	Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s0_ea5cf4fdaa	1
cell_id	Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s1_96d1e2cfdc	1
cell_id	Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s0_b434ff671f	1
cell_id	Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s1_94f01720db	1
cell_id	Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s0_118afdc1a5	1
cell_id	Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s1_c4ba230736	1
cell_id	Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s0_c4991bf97d	1
cell_id	Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s1_3af89154ca	1
cell_id	Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s0_ef4c3f1274	1
cell_id	Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s1_416a73f0f5	1
cell_id	Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s0_d6dc109a20	1
cell_id	Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s1_b9bc86f4ea	1
cell_id	Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s0_50c249bd96	1
cell_id	Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s1_9c43d86c6b	1
cell_id	Qwen-Qwen3-5-4B_gsm8k_hard_G32_t1_s0_5521a4a193	1
cell_id	Qwen-Qwen3-5-4B_gsm8k_hard_G32_t1_s1_5abf741165	1
cell_id	Qwen-Qwen3-5-4B_gsm8k_hard_G4_t0.6_s0_567e2fc7f9	1
cell_id	Qwen-Qwen3-5-4B_gsm8k_hard_G4_t0.6_s1_dbb41c261e	1
cell_id	Qwen-Qwen3-5-4B_gsm8k_hard_G4_t1_s0_cd3e28cb0e	1
cell_id	Qwen-Qwen3-5-4B_gsm8k_hard_G4_t1_s1_05d36328de	1
cell_id	Qwen-Qwen3-5-4B_gsm8k_hard_G8_t0.6_s0_eaa0c23aa2	1
cell_id	Qwen-Qwen3-5-4B_gsm8k_hard_G8_t0.6_s1_f0e7e296e3	1
cell_id	Qwen-Qwen3-5-4B_gsm8k_hard_G8_t1_s0_f7266511fb	1
cell_id	Qwen-Qwen3-5-4B_gsm8k_hard_G8_t1_s1_3bf25dbc01	1
cell_id	Qwen-Qwen3-5-4B_humaneval_subset_G16_t0.6_s0_4bcb7d7b0e	1
cell_id	Qwen-Qwen3-5-4B_humaneval_subset_G16_t0.6_s1_2242878eaa	1
cell_id	Qwen-Qwen3-5-4B_humaneval_subset_G16_t1_s0_5fdcf7ed0b	1
cell_id	Qwen-Qwen3-5-4B_humaneval_subset_G16_t1_s1_51bf6b93a1	1
cell_id	Qwen-Qwen3-5-4B_humaneval_subset_G2_t0.6_s0_5e1ac2c1f5	1
cell_id	Qwen-Qwen3-5-4B_humaneval_subset_G2_t0.6_s1_e6553565b9	1
cell_id	Qwen-Qwen3-5-4B_humaneval_subset_G2_t1_s0_d876309eb2	1
cell_id	Qwen-Qwen3-5-4B_humaneval_subset_G2_t1_s1_d247b1d0ea	1
cell_id	Qwen-Qwen3-5-4B_humaneval_subset_G32_t1_s1_8452f56ff7	1
cell_id	Qwen-Qwen3-5-4B_humaneval_subset_G4_t0.6_s0_27daa4cda5	1
cell_id	Qwen-Qwen3-5-4B_humaneval_subset_G4_t0.6_s1_7c9b62a065	1
cell_id	Qwen-Qwen3-5-4B_humaneval_subset_G4_t1_s0_a47da09000	1
cell_id	Qwen-Qwen3-5-4B_humaneval_subset_G4_t1_s1_6288406035	1
cell_id	Qwen-Qwen3-5-4B_humaneval_subset_G8_t0.6_s0_9bee70250b	1
cell_id	Qwen-Qwen3-5-4B_humaneval_subset_G8_t0.6_s1_88242e7f3e	1
cell_id	Qwen-Qwen3-5-4B_humaneval_subset_G8_t1_s0_30b6719385	1
cell_id	Qwen-Qwen3-5-4B_humaneval_subset_G8_t1_s1_9ab9fb26c7	1
cell_id	meta-llama-Llama-3-2-3B_gsm8k_easy_G16_t0.6_s0_8e446dc877	1
cell_id	meta-llama-Llama-3-2-3B_gsm8k_easy_G16_t0.6_s1_e9a9423400	1
cell_id	meta-llama-Llama-3-2-3B_gsm8k_easy_G2_t0.6_s0_3893b76a6e	1
cell_id	meta-llama-Llama-3-2-3B_gsm8k_easy_G2_t0.6_s1_75fe692ecb	1
cell_id	meta-llama-Llama-3-2-3B_gsm8k_easy_G2_t1_s0_380865a051	1
cell_id	meta-llama-Llama-3-2-3B_gsm8k_easy_G2_t1_s1_696c3537a1	1
cell_id	meta-llama-Llama-3-2-3B_gsm8k_easy_G32_t0.6_s0_6a8e8385fb	1
cell_id	meta-llama-Llama-3-2-3B_gsm8k_easy_G32_t0.6_s1_37acf24f27	1
cell_id	meta-llama-Llama-3-2-3B_gsm8k_easy_G32_t1_s0_9dc6f09c24	1
cell_id	meta-llama-Llama-3-2-3B_gsm8k_easy_G32_t1_s1_4e257ac5eb	1
cell_id	meta-llama-Llama-3-2-3B_gsm8k_easy_G4_t0.6_s0_4c0ce0d4bc	1
cell_id	meta-llama-Llama-3-2-3B_gsm8k_easy_G4_t0.6_s1_cba6422e4d	1
cell_id	meta-llama-Llama-3-2-3B_gsm8k_easy_G8_t0.6_s0_199c1c636d	1
cell_id	meta-llama-Llama-3-2-3B_gsm8k_easy_G8_t0.6_s1_d59ab724e2	1
cell_id	meta-llama-Llama-3-2-3B_gsm8k_hard_G16_t0.6_s0_d897142710	1
cell_id	meta-llama-Llama-3-2-3B_gsm8k_hard_G16_t0.6_s1_b60b0420a2	1
cell_id	meta-llama-Llama-3-2-3B_gsm8k_hard_G16_t1_s0_6aab836f38	1
cell_id	meta-llama-Llama-3-2-3B_gsm8k_hard_G16_t1_s1_1e545cf2f6	1
cell_id	meta-llama-Llama-3-2-3B_gsm8k_hard_G2_t0.6_s0_a5b25a88a5	1
cell_id	meta-llama-Llama-3-2-3B_gsm8k_hard_G2_t0.6_s1_58aa148ca9	1
cell_id	meta-llama-Llama-3-2-3B_gsm8k_hard_G2_t1_s0_6c07ec4633	1
cell_id	meta-llama-Llama-3-2-3B_gsm8k_hard_G2_t1_s1_4a331a7ae6	1
cell_id	meta-llama-Llama-3-2-3B_gsm8k_hard_G32_t0.6_s0_0d154e9dbc	1
cell_id	meta-llama-Llama-3-2-3B_gsm8k_hard_G32_t0.6_s1_0d9bbbab8f	1
cell_id	meta-llama-Llama-3-2-3B_gsm8k_hard_G32_t1_s0_b4416437d2	1
