cell_id	model	task_slice	A_axis_score	B_axis_match_rate	C_axis_discriminative_H	profile
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s0_923b060d59	Qwen/Qwen3.5-4B	gsm8k	100.0000	0.0625	0.4008	honest_but_vacuous
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s1_05f2eef935	Qwen/Qwen3.5-4B	gsm8k	100.0000	0.0625	0.4008	honest_but_vacuous
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s0_b153a50c68	Qwen/Qwen3.5-4B	gsm8k	100.0000	0.0625	0.4008	honest_but_vacuous
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s1_640529daef	Qwen/Qwen3.5-4B	gsm8k	100.0000	0.0625	0.4008	honest_but_vacuous
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s0_b6fd39319c	Qwen/Qwen3.5-4B	gsm8k	100.0000	0.0625	0.4095	honest_but_vacuous
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s1_ee3645e450	Qwen/Qwen3.5-4B	gsm8k	100.0000	0.0625	0.4095	honest_but_vacuous
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s0_ea5cf4fdaa	Qwen/Qwen3.5-4B	gsm8k	100.0000	0.0625	0.4095	honest_but_vacuous
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s1_96d1e2cfdc	Qwen/Qwen3.5-4B	gsm8k	100.0000	0.0625	0.4095	honest_but_vacuous
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s0_b434ff671f	Qwen/Qwen3.5-4B	gsm8k	100.0000	0.0625	0.4066	honest_but_vacuous
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s1_94f01720db	Qwen/Qwen3.5-4B	gsm8k	100.0000	0.0625	0.4066	honest_but_vacuous
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s0_118afdc1a5	Qwen/Qwen3.5-4B	gsm8k	100.0000	0.0625	0.3866	honest_but_vacuous
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s1_c4ba230736	Qwen/Qwen3.5-4B	gsm8k	100.0000	0.0625	0.3866	honest_but_vacuous
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s0_c4991bf97d	Qwen/Qwen3.5-4B	gsm8k	100.0000	0.0625	0.3866	honest_but_vacuous
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s1_3af89154ca	Qwen/Qwen3.5-4B	gsm8k	100.0000	0.0625	0.3866	honest_but_vacuous
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s0_ef4c3f1274	Qwen/Qwen3.5-4B	gsm8k	100.0000	0.0625	0.3779	honest_but_vacuous
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s1_416a73f0f5	Qwen/Qwen3.5-4B	gsm8k	100.0000	0.0625	0.3779	honest_but_vacuous
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s0_d6dc109a20	Qwen/Qwen3.5-4B	gsm8k	100.0000	0.0625	0.3779	honest_but_vacuous
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s1_b9bc86f4ea	Qwen/Qwen3.5-4B	gsm8k	100.0000	0.0625	0.3779	honest_but_vacuous
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s0_50c249bd96	Qwen/Qwen3.5-4B	gsm8k	100.0000	0.0625	0.3866	honest_but_vacuous
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s1_9c43d86c6b	Qwen/Qwen3.5-4B	gsm8k	100.0000	0.0625	0.3866	honest_but_vacuous
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t1_s0_5521a4a193	Qwen/Qwen3.5-4B	gsm8k	100.0000	0.0625	0.3866	honest_but_vacuous
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t1_s1_5abf741165	Qwen/Qwen3.5-4B	gsm8k	100.0000	0.0625	0.3866	honest_but_vacuous
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t0.6_s0_567e2fc7f9	Qwen/Qwen3.5-4B	gsm8k	100.0000	0.0625	0.3837	honest_but_vacuous
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t0.6_s1_dbb41c261e	Qwen/Qwen3.5-4B	gsm8k	100.0000	0.0625	0.3837	honest_but_vacuous
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t1_s0_cd3e28cb0e	Qwen/Qwen3.5-4B	gsm8k	100.0000	0.0625	0.3837	honest_but_vacuous
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t1_s1_05d36328de	Qwen/Qwen3.5-4B	gsm8k	100.0000	0.0625	0.3837	honest_but_vacuous
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t0.6_s0_eaa0c23aa2	Qwen/Qwen3.5-4B	gsm8k	100.0000	0.0625	0.3866	honest_but_vacuous
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t0.6_s1_f0e7e296e3	Qwen/Qwen3.5-4B	gsm8k	100.0000	0.0625	0.3866	honest_but_vacuous
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t1_s0_f7266511fb	Qwen/Qwen3.5-4B	gsm8k	100.0000	0.0625	0.3866	honest_but_vacuous
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t1_s1_3bf25dbc01	Qwen/Qwen3.5-4B	gsm8k	100.0000	0.0625	0.3866	honest_but_vacuous
Qwen-Qwen3-5-4B_humaneval_subset_G16_t0.6_s0_4bcb7d7b0e	Qwen/Qwen3.5-4B	humaneval	100.0000		0.4359	honest_but_vacuous
Qwen-Qwen3-5-4B_humaneval_subset_G16_t0.6_s1_2242878eaa	Qwen/Qwen3.5-4B	humaneval	100.0000		0.4359	honest_but_vacuous
