delta_id	gap_class	severity	description	missing_pair_count	remediation
delta_dapo	D	HIGH	CLAIM-ONLY: 3 expected_effect(s) but ZERO measured[] rows -- entry fully ungrounded	3	either add a same-stack arm or annotate the entry's notes with a 'no same-stack arm' marker
delta_gspo	D	HIGH	CLAIM-ONLY: 3 expected_effect(s) but ZERO measured[] rows -- entry fully ungrounded	3	either add a same-stack arm or annotate the entry's notes with a 'no same-stack arm' marker
delta_ppo	D	HIGH	CLAIM-ONLY: 3 expected_effect(s) but ZERO measured[] rows -- entry fully ungrounded	3	either add a same-stack arm or annotate the entry's notes with a 'no same-stack arm' marker
delta_dapo	A	MEDIUM	CLAIM-WITHOUT-AUDIT: 3 expected_effect(s) have no matching claim_validation row: [('mean_len', 'length_bias_iter60_grpo_vs_drgrpo_paired'), ('reward_mean', 'n2_same_stack_last10'), ('zvf', 'n2_same_stack_last10')]	3	generate claim_validation rows (script can do it from measured[] + expected_effects matching)
delta_gspo	A	MEDIUM	CLAIM-WITHOUT-AUDIT: 3 expected_effect(s) have no matching claim_validation row: [('mean_len', 'length_bias_iter60_grpo_vs_drgrpo_paired'), ('reward_mean', 'n2_same_stack_last10'), ('zvf', 'n2_same_stack_last10')]	3	generate claim_validation rows (script can do it from measured[] + expected_effects matching)
delta_ppo	A	MEDIUM	CLAIM-WITHOUT-AUDIT: 3 expected_effect(s) have no matching claim_validation row: [('reward_mean', 'n2_same_stack_last10'), ('zvf', 'n2_same_stack_last10'), ('zvf_risk_mean', 'zvf130_5seed')]	3	generate claim_validation rows (script can do it from measured[] + expected_effects matching)
delta_aero	B	INFO	AUDIT-WITHOUT-CLAIM: 1 claim_validation row(s) have no matching expected_effect (UNCLAIMED rows): [('mean_zvf', 'zvf130_5seed')]	1	either add expected_effects for the (metric, panel) or note the audit row as UNCLAIMED-by-design in entry notes
delta_areal	B	INFO	AUDIT-WITHOUT-CLAIM: 1 claim_validation row(s) have no matching expected_effect (UNCLAIMED rows): [('mean_zvf', 'zvf130_5seed')]	1	either add expected_effects for the (metric, panel) or note the audit row as UNCLAIMED-by-design in entry notes
delta_cppo	B	INFO	AUDIT-WITHOUT-CLAIM: 1 claim_validation row(s) have no matching expected_effect (UNCLAIMED rows): [('mean_zvf', 'zvf130_5seed')]	1	either add expected_effects for the (metric, panel) or note the audit row as UNCLAIMED-by-design in entry notes
delta_es	B	INFO	AUDIT-WITHOUT-CLAIM: 1 claim_validation row(s) have no matching expected_effect (UNCLAIMED rows): [('mean_zvf', 'zvf130_5seed')]	1	either add expected_effects for the (metric, panel) or note the audit row as UNCLAIMED-by-design in entry notes
delta_gift	B	INFO	AUDIT-WITHOUT-CLAIM: 1 claim_validation row(s) have no matching expected_effect (UNCLAIMED rows): [('mean_zvf', 'zvf130_5seed')]	1	either add expected_effects for the (metric, panel) or note the audit row as UNCLAIMED-by-design in entry notes
delta_liteppo	E	INFO	SKELETON: entry has neither expected_effects nor measured[] nor claim_validation[]; exists for schema completeness	0	add expected_effects (paper-derived) when a same-stack arm is runnable
delta_mcgrpo	B	INFO	AUDIT-WITHOUT-CLAIM: 1 claim_validation row(s) have no matching expected_effect (UNCLAIMED rows): [('mean_zvf', 'zvf130_5seed')]	1	either add expected_effects for the (metric, panel) or note the audit row as UNCLAIMED-by-design in entry notes
delta_ngrpo	B	INFO	AUDIT-WITHOUT-CLAIM: 1 claim_validation row(s) have no matching expected_effect (UNCLAIMED rows): [('mean_zvf', 'zvf130_5seed')]	1	either add expected_effects for the (metric, panel) or note the audit row as UNCLAIMED-by-design in entry notes
delta_reinforce	E	INFO	SKELETON: entry has neither expected_effects nor measured[] nor claim_validation[]; exists for schema completeness	0	add expected_effects (paper-derived) when a same-stack arm is runnable
delta_scafgrpo	B	INFO	AUDIT-WITHOUT-CLAIM: 1 claim_validation row(s) have no matching expected_effect (UNCLAIMED rows): [('mean_zvf', 'zvf130_5seed')]	1	either add expected_effects for the (metric, panel) or note the audit row as UNCLAIMED-by-design in entry notes
