algorithm	canonical_id	project	run_id	run_name	model	dataset	group_size	state	stack_entry_exists
grpo	grpo	skyrl-tinker	tfb2qsru	Qwen3-8B-tool_use-20260329-211346	Qwen/Qwen3-8B		8	failed	1
grpo	grpo	skyrl-tinker	as3gfob0	Qwen3-8B-tool_use-20260329-211710	Qwen/Qwen3-8B		8	failed	1
grpo	grpo	skyrl-tinker	68h67x6y	Qwen3-8B-tool_use-20260329-212008	Qwen/Qwen3-8B		8	finished	1
grpo	grpo	tinker-rl-lab-world-class	snm9mxni	grpo_qwen3-8b_gsm8k_seed123	Qwen/Qwen3-8B	gsm8k	8	finished	1
grpo	grpo	tinker-rl-lab-world-class	q33egfyb	grpo_qwen3-8b_gsm8k_seed456	Qwen/Qwen3-8B	gsm8k	8	finished	1
grpo	grpo	tinker-rl-lab-world-class	k6cmc7gi	grpo_qwen3-8b_gsm8k_seed789	Qwen/Qwen3-8B	gsm8k	8	crashed	1
grpo	grpo	tinker-rl-lab-world-class	9lleqd1g	grpo_qwen3-8b_gsm8k_seed123	Qwen/Qwen3-8B	gsm8k	8	failed	1
grpo	grpo	tinker-rl-lab-world-class	c1zca2qb	grpo_qwen3-8b_gsm8k_seed123	Qwen/Qwen3-8B	gsm8k	8	finished	1
grpo	grpo	tinker-rl-lab-world-class	igejxwwl	grpo_qwen3-8b_gsm8k_seed456	Qwen/Qwen3-8B	gsm8k	8	finished	1
grpo	grpo	tinker-rl-lab-world-class	28bzhlsa	grpo_qwen3-8b_gsm8k_seed789	Qwen/Qwen3-8B	gsm8k	8	finished	1
grpo	grpo	tinker-rl-lab-world-class	oeidbyzx	campaign_w1_kimi-k2-thinking	moonshotai/Kimi-K2-Thinking	gsm8k	8	finished	1
grpo	grpo	tinker-rl-lab-world-class	27ymnugp	campaign_w1_qwen35-397b	Qwen/Qwen3.5-397B-A17B	gsm8k	8	finished	1
grpo	grpo	tinker-rl-lab-world-class	bxe5um4k	campaign_w1_llama31-70b-base	meta-llama/Llama-3.1-70B	gsm8k	8	finished	1
grpo	grpo	tinker-rl-lab-world-class	v3ur5b1w	campaign_w1_gpt-oss-120b	openai/gpt-oss-120b	gsm8k	8	finished	1
grpo	grpo	tinker-rl-lab-world-class	xmot42ot	campaign_w1_qwen3-8b-base	Qwen/Qwen3-8B-Base	gsm8k	8	finished	1
grpo	grpo	tinker-rl-lab-world-class	hiy9w3wo	campaign_w1_kimi-k25	moonshotai/Kimi-K2.5	gsm8k	8	finished	1
