cite_key	v24_pass	reason	year	author	title	venue	doi	url_or_note
agarwal2021deep	1	pass	1	1	1	1	1	1
bender2018datastatements	1	pass	1	1	1	1	1	0
biderman2024lessons	1	pass	1	1	1	1	0	0
bytedance2025vapo	1	pass	1	1	1	1	1	1
colas2019hitchhiker	1	pass	1	1	1	1	1	1
dao2022flashattention	1	pass	1	1	1	1	1	1
dodge2019show	1	pass	1	1	1	1	1	0
gao2023reward	1	pass	1	1	1	1	1	1
gebru2021datasheets	1	pass	1	1	1	1	1	0
guo2025deepseekr1	1	pass	1	1	1	1	1	1
henderson2018deep	1	pass	1	1	1	1	1	0
hochlehnert2025sober	1	pass	1	1	1	1	1	1
hu2024openrlhf	1	pass	1	1	1	1	1	1
ivison2024unpacking	1	pass	1	1	1	1	1	1
jordan2024benchmarking	1	pass	1	1	1	1	1	1
krakovna2020specification	1	pass	1	1	1	1	0	1
kwon2023vllm	1	pass	1	1	1	1	1	0
lambert2024tulu3	1	pass	1	1	1	1	1	1
le2025rlzvp	1	pass	1	1	1	1	0	1
liu2026gdpo	1	pass	1	1	1	1	0	0
lu2025grpolead	1	pass	1	1	1	1	1	1
miller2024erroreval	1	pass	1	1	1	1	1	1
mitchell2019modelcards	1	pass	1	1	1	1	1	0
nan2025ngrpo	1	pass	1	1	1	1	1	1
pineau2020improving	1	pass	1	1	1	1	1	1
pushkarna2022datacards	1	pass	1	1	1	1	1	0
qwen2025gspo	1	pass	1	1	1	1	1	1
rafailov2024direct	1	pass	1	1	1	1	1	1
riddell2024contamination	1	pass	1	1	1	1	0	1
schulman2017proximal	1	pass	1	1	1	0	0	1
shao2024deepseekmath	1	pass	1	1	1	1	1	1
sheng2024verl	1	pass	1	1	1	1	1	1
tan2025scalingrl	1	pass	1	1	1	1	0	0
thinkingmachines2024tinker	1	pass	1	1	1	1	0	1
tong2025drgrpo	1	pass	1	1	1	1	1	1
vonwerra2022trl	1	pass	1	1	1	1	0	1
wu2025grpo_dpo	1	pass	1	1	1	1	1	1
yu2025dapo	1	pass	1	1	1	1	1	1
zhang2024benchvariance	1	pass	1	1	1	1	1	1
zhang2024gsm1k	1	pass	1	1	1	1	0	1
zhang2025scaffgrpo	1	pass	1	1	1	1	1	1
zheng2024sglang	1	pass	1	1	1	1	1	1
