cell_id	key_present	raw_value	classification
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s0_923b060d59	Y	n/a	PRESENT_NA
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s1_05f2eef935	Y	n/a	PRESENT_NA
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s0_b153a50c68	Y	n/a	PRESENT_NA
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s1_640529daef	Y	n/a	PRESENT_NA
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s0_b6fd39319c	Y	n/a	PRESENT_NA
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s1_ee3645e450	Y	n/a	PRESENT_NA
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s0_ea5cf4fdaa	Y	n/a	PRESENT_NA
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s1_96d1e2cfdc	Y	n/a	PRESENT_NA
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s0_b434ff671f	Y	n/a	PRESENT_NA
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s1_94f01720db	Y	n/a	PRESENT_NA
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s0_118afdc1a5	Y	n/a	PRESENT_NA
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s1_c4ba230736	Y	n/a	PRESENT_NA
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s0_c4991bf97d	Y	n/a	PRESENT_NA
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s1_3af89154ca	Y	n/a	PRESENT_NA
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s0_ef4c3f1274	Y	n/a	PRESENT_NA
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s1_416a73f0f5	Y	n/a	PRESENT_NA
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s0_d6dc109a20	Y	n/a	PRESENT_NA
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s1_b9bc86f4ea	Y	n/a	PRESENT_NA
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s0_50c249bd96	Y	n/a	PRESENT_NA
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s1_9c43d86c6b	Y	n/a	PRESENT_NA
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t1_s0_5521a4a193	Y	n/a	PRESENT_NA
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t1_s1_5abf741165	Y	n/a	PRESENT_NA
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t0.6_s0_567e2fc7f9	Y	n/a	PRESENT_NA
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t0.6_s1_dbb41c261e	Y	n/a	PRESENT_NA
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t1_s0_cd3e28cb0e	Y	n/a	PRESENT_NA
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t1_s1_05d36328de	Y	n/a	PRESENT_NA
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t0.6_s0_eaa0c23aa2	Y	n/a	PRESENT_NA
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t0.6_s1_f0e7e296e3	Y	n/a	PRESENT_NA
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t1_s0_f7266511fb	Y	n/a	PRESENT_NA
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t1_s1_3bf25dbc01	Y	n/a	PRESENT_NA
Qwen-Qwen3-5-4B_humaneval_subset_G16_t0.6_s0_4bcb7d7b0e	Y	n/a	PRESENT_NA
Qwen-Qwen3-5-4B_humaneval_subset_G16_t0.6_s1_2242878eaa	Y	n/a	PRESENT_NA
Qwen-Qwen3-5-4B_humaneval_subset_G16_t1_s0_5fdcf7ed0b	Y	n/a	PRESENT_NA
Qwen-Qwen3-5-4B_humaneval_subset_G16_t1_s1_51bf6b93a1	Y	n/a	PRESENT_NA
Qwen-Qwen3-5-4B_humaneval_subset_G2_t0.6_s0_5e1ac2c1f5	Y	n/a	PRESENT_NA
Qwen-Qwen3-5-4B_humaneval_subset_G2_t0.6_s1_e6553565b9	Y	n/a	PRESENT_NA
