class	section	headline	metric	n_boot_units	published_point	recomputed_point	ci_lo	ci_hi	sd_across_seeds	b	verdict	note
C1_N10_multiseed	p7_iter115_adaptive_gstar_n10_multiseed	per-seed mean mean_zvf across n10 5-seed panel	mean_zvf	5	0.587	0.5867	0.5383	0.62	0.0552	2000	PASS	B=2000 paired-seed bootstrap; unit=seed; ci=0.95
C1_N10_multiseed	p7_iter115_adaptive_gstar_n10_multiseed	per-seed mean heldout_acc across n10 5-seed panel	heldout_acc	5	0.455	0.4547	0.3984	0.5281	0.0822	2000	PASS	B=2000 paired-seed bootstrap; unit=seed; ci=0.95
C1_N10_multiseed	p7_iter115_adaptive_gstar_n10_multiseed	per-seed mean last10_avg_reward across n10 5-seed panel	last10_avg_reward	5	0.275	0.2756	0.2484	0.3044	0.0382	2000	PASS	B=2000 paired-seed bootstrap; unit=seed; ci=0.95
C1_N10_multiseed	p7_iter115_adaptive_gstar_n10_multiseed	per-seed mean first5_avg_reward across n10 5-seed panel	first5_avg_reward	5	0.212	0.2119	0.1731	0.2544	0.0546	2000	PASS	B=2000 paired-seed bootstrap; unit=seed; ci=0.95
C1_N10_multiseed	p7_iter115_adaptive_gstar_n10_multiseed	per-seed Bernoulli salvage rate at tau=0.7, G_obs=8, g_max=64 over 75 step-decisions	salvage_rate	5	0.198	0.0	0.0	0.0	0.0	2000	TENSION	per-seed rates={179: 1.0, 316: 1.0, 42: 1.0, 453: 1.0, 590: 1.0}; published seed rates=[1.0, 1.0, 1.0, 0.833, 0.6]
C2_N2_four_method	p7_iter111_target_g_selection / p7_iter119_calibrated_controller_unification	per-step mean ZVF for method=aero on N2 (40 steps)	zvf_aero	40	0.7203	0.7203	0.6891	0.7516	0.102	2000	REPORTED	no canonical published point; raw CI for downstream per-method nb derivation
C2_N2_four_method	p7_iter111_target_g_selection / p7_iter119_calibrated_controller_unification	per-step mean ZVF for method=areal on N2 (40 steps)	zvf_areal	40	0.7063	0.7063	0.6734	0.7391	0.1143	2000	REPORTED	no canonical published point; raw CI for downstream per-method nb derivation
C2_N2_four_method	p7_iter111_target_g_selection / p7_iter119_calibrated_controller_unification	per-step mean ZVF for method=gift on N2 (40 steps)	zvf_gift	40	0.7703	0.7703	0.7297	0.8078	0.1269	2000	REPORTED	no canonical published point; raw CI for downstream per-method nb derivation
C2_N2_four_method	p7_iter111_target_g_selection / p7_iter119_calibrated_controller_unification	per-step mean ZVF for method=grpo on N2 (40 steps)	zvf_grpo	40	0.7203	0.7203	0.6859	0.7516	0.1078	2000	REPORTED	no canonical published point; raw CI for downstream per-method nb derivation
C2_N2_four_method	p7_iter111_target_g_selection	Iter-111 N2 panel qualitative claim: GIFT is the SALVAGE method on per-prompt data (lower per-prompt k_p ZVF, not step-aggregate ZVF)	n2_step_zvf_inversion	40	0.7203	0.7203	0.6891	0.7547	0.1078	2000	REPORTED	step-aggregate N2 ZVF: grpo=0.72 aero=0.72 gift=0.77 areal=0.706 -- step-aggregate does NOT reproduce the per-prompt iter-111 GIFT-salvage ordering; measurement-scope limitation
C3_single_seed	p7_controller	E3 audit arm=grpo: held-out Delta=0.5, mean ZVF=0.25, rollouts=120	e3_grpo	1	0.5	0.5	nan	nan	nan	0	INSUFFICIENT_N	single-seed runs (n=1 per arm); CI requires replication budget
C3_single_seed	p7_controller	E3 audit arm=drgrpo: held-out Delta=0.575, mean ZVF=0.27, rollouts=120	e3_drgrpo	1	0.575	0.575	nan	nan	nan	0	INSUFFICIENT_N	single-seed runs (n=1 per arm); CI requires replication budget
C3_single_seed	p7_controller	E3 audit arm=dapo: held-out Delta=0.55, mean ZVF=0.0, rollouts=174	e3_dapo	1	0.55	0.55	nan	nan	nan	0	INSUFFICIENT_N	single-seed runs (n=1 per arm); CI requires replication budget
C3_single_seed	p7_controller	E3 audit arm=grpo_adaptiveG: held-out Delta=0.575, mean ZVF=0.23, rollouts=186	e3_grpo_adaptiveG	1	0.575	0.575	nan	nan	nan	0	INSUFFICIENT_N	single-seed runs (n=1 per arm); CI requires replication budget
C3_single_seed	p7_iter119_calibrated_controller_unification (Berkeley row 01)	Dualformer-auto compute saving on iter-127 5x4 cell panel	dualformer_auto_saving	20	0.562	0.562	nan	nan	nan	0	INSUFFICIENT_N	ratio statistic on (5 G x 4 seeds) cells; not a stochastic mean
C3_single_seed	p7_iter119_calibrated_controller_unification (Berkeley row 19)	Alphaproof gamma*=0 tree-advantage proxy DECISIVE on 12/12 (G,seed) cells	alphaproof_gamma0_decisive	12	1.0	1.0	nan	nan	nan	0	INSUFFICIENT_N	concordance 12/12; no CI on a concordance count
C3_single_seed	p7_iter119_calibrated_controller_unification	CCC Pareto-front (CCC never picks worst rule) on N2 (160 decisions)	ccc_pareto_front	160	1.0	1.0	nan	nan	nan	0	INSUFFICIENT_N	structural property (complementarity bound), not an estimated rate
C3_single_seed	p7_iter119_calibrated_controller_unification	CCC reward preservation ratio on N2 (predicted reward mean under CCC / baseline 0.834)	ccc_preservation	160	0.9969	0.9969	nan	nan	nan	0	INSUFFICIENT_N	deterministic reconstruction from N2 step-method series; structural
C3_single_seed	p7_iter107_tautransfer	Cross-method tau-transfer Fleiss kappa range at tau=0.70 (3 method pairs)	kappa_range	3	0.37	0.37	nan	nan	nan	0	INSUFFICIENT_N	range statistic on 3 pairwise kappa values; not a stochastic mean
