cell_idx	cell_id	mutation	audit	version	baseline	mutated	detected
0	meta-llama-Llama-3-2-3B_gsm8k_hard_G4_t1_s0_b4ba73c1c9.json	M1_remove_field	v24_identifier_stamp	v2.4	1.0	0.0	1
1	Qwen-Qwen3-5-4B_humaneval_subset_G4_t1_s1_6288406035.json	M1_remove_field	v24_identifier_stamp	v2.4	1.0	0.0	1
2	meta-llama-Llama-3-2-3B_gsm8k_hard_G8_t0.6_s0_f87bc50f73.json	M1_remove_field	v24_identifier_stamp	v2.4	1.0	0.0	1
3	Qwen-Qwen3-5-4B_humaneval_subset_G2_t0.6_s1_e6553565b9.json	M1_remove_field	v24_identifier_stamp	v2.4	1.0	0.0	1
4	Qwen-Qwen3-5-4B_gsm8k_hard_G4_t0.6_s0_567e2fc7f9.json	M1_remove_field	v24_identifier_stamp	v2.4	1.0	0.0	1
5	Qwen-Qwen3-5-4B_humaneval_subset_G4_t0.6_s1_7c9b62a065.json	M1_remove_field	v24_identifier_stamp	v2.4	1.0	0.0	1
6	meta-llama-Llama-3-2-3B_gsm8k_easy_G32_t1_s1_4e257ac5eb.json	M1_remove_field	v24_identifier_stamp	v2.4	1.0	0.0	1
7	Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s1_94f01720db.json	M1_remove_field	v24_identifier_stamp	v2.4	1.0	0.0	1
8	Qwen-Qwen3-5-4B_humaneval_subset_G16_t0.6_s0_4bcb7d7b0e.json	M1_remove_field	v24_identifier_stamp	v2.4	1.0	0.0	1
9	Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s0_ef4c3f1274.json	M1_remove_field	v24_identifier_stamp	v2.4	1.0	0.0	1
10	meta-llama-Llama-3-2-3B_humaneval_subset_G8_t1_s0_2d6d38d3ef.json	M1_remove_field	v24_identifier_stamp	v2.4	1.0	0.0	1
11	meta-llama-Llama-3-2-3B_gsm8k_hard_G2_t1_s1_4a331a7ae6.json	M1_remove_field	v24_identifier_stamp	v2.4	1.0	0.0	1
12	meta-llama-Llama-3-2-3B_gsm8k_easy_G2_t1_s0_380865a051.json	M1_remove_field	v24_identifier_stamp	v2.4	1.0	0.0	1
13	meta-llama-Llama-3-2-3B_humaneval_subset_G4_t1_s1_ade17b9ade.json	M1_remove_field	v24_identifier_stamp	v2.4	1.0	0.0	1
14	Qwen-Qwen3-5-4B_gsm8k_hard_G32_t1_s1_5abf741165.json	M1_remove_field	v24_identifier_stamp	v2.4	1.0	0.0	1
