entry_id,category,mutation_idx,expected,actual,mut_label
colab-open_dapo_e3,drop_top_required,0,caught,caught,drop_top_required:provenance
colab-open_dapo_e3,drop_top_required,1,caught,caught,drop_top_required:id
colab-open_dapo_e3,drop_top_required,2,caught,caught,drop_top_required:provenance
colab-open_dapo_e3,drop_top_required,3,caught,caught,drop_top_required:provenance
colab-open_dapo_e3,drop_top_required,4,caught,caught,drop_top_required:provenance
colab-open_dapo_e3,drop_top_required,5,caught,caught,drop_top_required:framework
colab-open_dapo_e3,drop_top_required,6,caught,caught,drop_top_required:id
colab-open_dapo_e3,drop_top_required,7,caught,caught,drop_top_required:record_type
colab-open_dapo_e3,drop_top_required,8,caught,caught,drop_top_required:label_claimed
colab-open_dapo_e3,drop_top_required,9,caught,caught,drop_top_required:record_type
colab-open_drgrpo_e3,drop_top_required,0,caught,caught,drop_top_required:framework
colab-open_drgrpo_e3,drop_top_required,1,caught,caught,drop_top_required:label_claimed
colab-open_drgrpo_e3,drop_top_required,2,caught,caught,drop_top_required:label_claimed
colab-open_drgrpo_e3,drop_top_required,3,caught,caught,drop_top_required:id
colab-open_drgrpo_e3,drop_top_required,4,caught,caught,drop_top_required:min_report
colab-open_drgrpo_e3,drop_top_required,5,caught,caught,drop_top_required:framework
colab-open_drgrpo_e3,drop_top_required,6,caught,caught,drop_top_required:framework
colab-open_drgrpo_e3,drop_top_required,7,caught,caught,drop_top_required:record_type
colab-open_drgrpo_e3,drop_top_required,8,caught,caught,drop_top_required:label_claimed
colab-open_drgrpo_e3,drop_top_required,9,caught,caught,drop_top_required:min_report
colab-open_grpo-adaptiveg_e3,drop_top_required,0,caught,caught,drop_top_required:provenance
colab-open_grpo-adaptiveg_e3,drop_top_required,1,caught,caught,drop_top_required:id
colab-open_grpo-adaptiveg_e3,drop_top_required,2,caught,caught,drop_top_required:min_report
colab-open_grpo-adaptiveg_e3,drop_top_required,3,caught,caught,drop_top_required:id
colab-open_grpo-adaptiveg_e3,drop_top_required,4,caught,caught,drop_top_required:record_type
colab-open_grpo-adaptiveg_e3,drop_top_required,5,caught,caught,drop_top_required:provenance
colab-open_grpo-adaptiveg_e3,drop_top_required,6,caught,caught,drop_top_required:min_report
colab-open_grpo-adaptiveg_e3,drop_top_required,7,caught,caught,drop_top_required:provenance
colab-open_grpo-adaptiveg_e3,drop_top_required,8,caught,caught,drop_top_required:min_report
colab-open_grpo-adaptiveg_e3,drop_top_required,9,caught,caught,drop_top_required:label_claimed
colab-open_grpo_e3,drop_top_required,0,caught,caught,drop_top_required:id
colab-open_grpo_e3,drop_top_required,1,caught,caught,drop_top_required:id
colab-open_grpo_e3,drop_top_required,2,caught,caught,drop_top_required:framework
colab-open_grpo_e3,drop_top_required,3,caught,caught,drop_top_required:record_type
colab-open_grpo_e3,drop_top_required,4,caught,caught,drop_top_required:provenance
colab-open_grpo_e3,drop_top_required,5,caught,caught,drop_top_required:provenance
colab-open_grpo_e3,drop_top_required,6,caught,caught,drop_top_required:id
colab-open_grpo_e3,drop_top_required,7,caught,caught,drop_top_required:min_report
colab-open_grpo_e3,drop_top_required,8,caught,caught,drop_top_required:label_claimed
colab-open_grpo_e3,drop_top_required,9,caught,caught,drop_top_required:min_report
delta_aero,drop_top_required,0,caught,caught,drop_top_required:deltas
delta_aero,drop_top_required,1,caught,caught,drop_top_required:id
delta_aero,drop_top_required,2,caught,caught,drop_top_required:name
delta_aero,drop_top_required,3,caught,caught,drop_top_required:base
delta_aero,drop_top_required,4,caught,caught,drop_top_required:name
delta_aero,drop_top_required,5,caught,caught,drop_top_required:deltas
delta_aero,drop_top_required,6,caught,caught,drop_top_required:id
delta_aero,drop_top_required,7,caught,caught,drop_top_required:id
delta_aero,drop_top_required,8,caught,caught,drop_top_required:record_type
delta_aero,drop_top_required,9,caught,caught,drop_top_required:citation
delta_areal,drop_top_required,0,caught,caught,drop_top_required:id
delta_areal,drop_top_required,1,caught,caught,drop_top_required:base
delta_areal,drop_top_required,2,caught,caught,drop_top_required:base
