fset	c	seed	threshold	cost_per_tx	flagged_frac
20raw	1	42	0.0100	0.968100	0.9681
20raw	1	42	0.0200	0.918600	0.9186
20raw	1	42	0.0300	0.865800	0.8658
20raw	1	42	0.0400	0.801500	0.8015
20raw	1	42	0.0500	0.743000	0.7430
20raw	1	42	0.0600	0.680100	0.6801
20raw	1	42	0.0700	0.624800	0.6248
20raw	1	42	0.0800	0.571100	0.5711
20raw	1	42	0.0900	0.518200	0.5182
20raw	1	42	0.1000	0.474600	0.4746
20raw	1	42	0.1100	0.435800	0.4358
20raw	1	42	0.1200	0.398300	0.3983
20raw	1	42	0.1300	0.368500	0.3685
20raw	1	42	0.1400	0.342600	0.3426
20raw	1	42	0.1500	0.310900	0.3109
20raw	1	42	0.1600	0.287000	0.2870
20raw	1	42	0.1700	0.263900	0.2639
20raw	1	42	0.1800	0.242100	0.2421
20raw	1	42	0.1900	0.222300	0.2223
20raw	1	42	0.2000	0.205500	0.2055
20raw	1	42	0.2100	0.188700	0.1887
20raw	1	42	0.2200	0.174300	0.1743
20raw	1	42	0.2300	0.159800	0.1598
20raw	1	42	0.2400	0.146700	0.1467
20raw	1	42	0.2500	0.136800	0.1368
20raw	1	42	0.2600	0.125500	0.1255
20raw	1	42	0.2700	0.115900	0.1159
20raw	1	42	0.2800	0.106200	0.1062
20raw	1	42	0.2900	0.097700	0.0977
20raw	1	42	0.3000	0.091300	0.0913
20raw	1	42	0.3100	0.085200	0.0852
20raw	1	42	0.3200	0.078700	0.0787
20raw	1	42	0.3300	0.073200	0.0732
20raw	1	42	0.3400	0.066900	0.0669
20raw	1	42	0.3500	0.061600	0.0616
20raw	1	42	0.3600	0.056500	0.0565
20raw	1	42	0.3700	0.052100	0.0521
20raw	1	42	0.3800	0.048100	0.0481
20raw	1	42	0.3900	0.044500	0.0445
20raw	1	42	0.4000	0.041800	0.0418
20raw	1	42	0.4100	0.039300	0.0393
20raw	1	42	0.4200	0.036200	0.0362
20raw	1	42	0.4300	0.034000	0.0339
20raw	1	42	0.4400	0.031100	0.0310
20raw	1	42	0.4500	0.028100	0.0280
20raw	1	42	0.4600	0.026300	0.0262
20raw	1	42	0.4700	0.023800	0.0237
20raw	1	42	0.4800	0.021600	0.0215
20raw	1	42	0.4900	0.020500	0.0204
20raw	1	42	0.5000	0.019100	0.0190
20raw	1	42	0.5100	0.017000	0.0168
20raw	1	42	0.5200	0.015700	0.0155
20raw	1	42	0.5300	0.015500	0.0152
20raw	1	42	0.5400	0.014100	0.0138
20raw	1	42	0.5500	0.013800	0.0134
20raw	1	42	0.5600	0.011900	0.0115
20raw	1	42	0.5700	0.011300	0.0108
20raw	1	42	0.5800	0.010700	0.0101
20raw	1	42	0.5900	0.010300	0.0096
20raw	1	42	0.6000	0.010200	0.0095
20raw	1	42	0.6100	0.009200	0.0084
20raw	1	42	0.6200	0.008800	0.0079
20raw	1	42	0.6300	0.008700	0.0076
20raw	1	42	0.6400	0.008400	0.0072
20raw	1	42	0.6500	0.008100	0.0067
20raw	1	42	0.6600	0.007500	0.0061
20raw	1	42	0.6700	0.007400	0.0059
20raw	1	42	0.6800	0.007200	0.0056
20raw	1	42	0.6900	0.006800	0.0050
20raw	1	42	0.7000	0.006600	0.0045
20raw	1	42	0.7100	0.006400	0.0040
20raw	1	42	0.7200	0.006400	0.0037
20raw	1	42	0.7300	0.006300	0.0034
20raw	1	42	0.7400	0.005900	0.0028
20raw	1	42	0.7500	0.006100	0.0025
20raw	1	42	0.7600	0.005800	0.0021
20raw	1	42	0.7700	0.005800	0.0019
20raw	1	42	0.7800	0.005800	0.0015
20raw	1	42	0.7900	0.005900	0.0012
20raw	1	42	0.8000	0.006100	0.0012
20raw	1	42	0.8100	0.006100	0.0010
20raw	1	42	0.8200	0.006100	0.0009
20raw	1	42	0.8300	0.006400	0.0009
20raw	1	42	0.8400	0.006700	0.0007
20raw	1	42	0.8500	0.007000	0.0006
20raw	1	42	0.8600	0.007300	0.0005
20raw	1	42	0.8700	0.007700	0.0005
20raw	1	42	0.8800	0.008100	0.0004
20raw	1	42	0.8900	0.008400	0.0003
20raw	1	42	0.9000	0.008400	0.0001
20raw	1	42	0.9100	0.009300	0.0001
20raw	1	42	0.9200	0.009700	0.0001
20raw	1	42	0.9300	0.010200	0.0001
20raw	1	42	0.9400	0.010500	0.0000
20raw	1	42	0.9500	0.011100	0.0000
20raw	1	42	0.9600	0.011600	0.0000
20raw	1	42	0.9700	0.012500	0.0000
20raw	1	42	0.9800	0.013700	0.0000
20raw	1	42	0.9900	0.014300	0.0000
20raw	1	42	1.0000	0.014400	0.0000
20raw	10	42	0.0100	0.968100	0.9681
20raw	10	42	0.0200	0.918600	0.9186
20raw	10	42	0.0300	0.865800	0.8658
20raw	10	42	0.0400	0.801500	0.8015
20raw	10	42	0.0500	0.743000	0.7430
20raw	10	42	0.0600	0.680100	0.6801
20raw	10	42	0.0700	0.624800	0.6248
20raw	10	42	0.0800	0.571100	0.5711
20raw	10	42	0.0900	0.518200	0.5182
20raw	10	42	0.1000	0.474600	0.4746
20raw	10	42	0.1100	0.435800	0.4358
20raw	10	42	0.1200	0.398300	0.3983
20raw	10	42	0.1300	0.368500	0.3685
20raw	10	42	0.1400	0.342600	0.3426
20raw	10	42	0.1500	0.310900	0.3109
20raw	10	42	0.1600	0.287000	0.2870
20raw	10	42	0.1700	0.263900	0.2639
20raw	10	42	0.1800	0.242100	0.2421
20raw	10	42	0.1900	0.222300	0.2223
20raw	10	42	0.2000	0.205500	0.2055
20raw	10	42	0.2100	0.188700	0.1887
20raw	10	42	0.2200	0.174300	0.1743
20raw	10	42	0.2300	0.159800	0.1598
20raw	10	42	0.2400	0.146700	0.1467
20raw	10	42	0.2500	0.136800	0.1368
20raw	10	42	0.2600	0.125500	0.1255
20raw	10	42	0.2700	0.115900	0.1159
20raw	10	42	0.2800	0.106200	0.1062
20raw	10	42	0.2900	0.097700	0.0977
20raw	10	42	0.3000	0.091300	0.0913
20raw	10	42	0.3100	0.085200	0.0852
20raw	10	42	0.3200	0.078700	0.0787
20raw	10	42	0.3300	0.073200	0.0732
20raw	10	42	0.3400	0.066900	0.0669
20raw	10	42	0.3500	0.061600	0.0616
20raw	10	42	0.3600	0.056500	0.0565
20raw	10	42	0.3700	0.052100	0.0521
20raw	10	42	0.3800	0.048100	0.0481
20raw	10	42	0.3900	0.044500	0.0445
20raw	10	42	0.4000	0.041800	0.0418
20raw	10	42	0.4100	0.039300	0.0393
20raw	10	42	0.4200	0.036200	0.0362
20raw	10	42	0.4300	0.034900	0.0339
20raw	10	42	0.4400	0.032000	0.0310
20raw	10	42	0.4500	0.029000	0.0280
20raw	10	42	0.4600	0.027200	0.0262
20raw	10	42	0.4700	0.024700	0.0237
20raw	10	42	0.4800	0.022500	0.0215
20raw	10	42	0.4900	0.021400	0.0204
20raw	10	42	0.5000	0.020000	0.0190
20raw	10	42	0.5100	0.018800	0.0168
20raw	10	42	0.5200	0.017500	0.0155
20raw	10	42	0.5300	0.018200	0.0152
20raw	10	42	0.5400	0.016800	0.0138
20raw	10	42	0.5500	0.017400	0.0134
20raw	10	42	0.5600	0.015500	0.0115
20raw	10	42	0.5700	0.015800	0.0108
20raw	10	42	0.5800	0.016100	0.0101
20raw	10	42	0.5900	0.016600	0.0096
20raw	10	42	0.6000	0.016500	0.0095
20raw	10	42	0.6100	0.016400	0.0084
20raw	10	42	0.6200	0.016900	0.0079
20raw	10	42	0.6300	0.018600	0.0076
20raw	10	42	0.6400	0.019200	0.0072
20raw	10	42	0.6500	0.020700	0.0067
20raw	10	42	0.6600	0.020100	0.0061
20raw	10	42	0.6700	0.020900	0.0059
20raw	10	42	0.6800	0.021600	0.0056
20raw	10	42	0.6900	0.023000	0.0050
20raw	10	42	0.7000	0.025500	0.0045
20raw	10	42	0.7100	0.028000	0.0040
20raw	10	42	0.7200	0.030700	0.0037
20raw	10	42	0.7300	0.032400	0.0034
20raw	10	42	0.7400	0.033800	0.0028
20raw	10	42	0.7500	0.038500	0.0025
20raw	10	42	0.7600	0.039100	0.0021
20raw	10	42	0.7700	0.040900	0.0019
20raw	10	42	0.7800	0.044500	0.0015
20raw	10	42	0.7900	0.048200	0.0012
20raw	10	42	0.8000	0.050200	0.0012
20raw	10	42	0.8100	0.052000	0.0010
20raw	10	42	0.8200	0.052900	0.0009
20raw	10	42	0.8300	0.055900	0.0009
20raw	10	42	0.8400	0.060700	0.0007
20raw	10	42	0.8500	0.064600	0.0006
20raw	10	42	0.8600	0.068500	0.0005
20raw	10	42	0.8700	0.072500	0.0005
20raw	10	42	0.8800	0.077400	0.0004
20raw	10	42	0.8900	0.081300	0.0003
20raw	10	42	0.9000	0.083100	0.0001
20raw	10	42	0.9100	0.092100	0.0001
20raw	10	42	0.9200	0.096100	0.0001
20raw	10	42	0.9300	0.101100	0.0001
20raw	10	42	0.9400	0.105000	0.0000
20raw	10	42	0.9500	0.111000	0.0000
20raw	10	42	0.9600	0.116000	0.0000
20raw	10	42	0.9700	0.125000	0.0000
20raw	10	42	0.9800	0.137000	0.0000
20raw	10	42	0.9900	0.143000	0.0000
20raw	10	42	1.0000	0.144000	0.0000
20raw	100	42	0.0100	0.968100	0.9681
20raw	100	42	0.0200	0.918600	0.9186
20raw	100	42	0.0300	0.865800	0.8658
20raw	100	42	0.0400	0.801500	0.8015
20raw	100	42	0.0500	0.743000	0.7430
