id	base	n_components	n_components_no_measurable_link	n_measured_n2	n_match	n_sign_flip	n_drift	n_shift	n_shift_small	n_other	n_prose_measurable	n_prose_agree	n_prose_disagree	n_prose_orthogonal
delta_adaptiveg	grpo	1	1	0	0	0	0	0	0	0	0	0	0	0
delta_aero	grpo	1	0	4	4	0	0	0	0	0	2	0	2	0
delta_areal	grpo	1	0	4	4	0	0	0	0	0	0	0	0	1
delta_cppo	grpo	1	1	0	0	0	0	0	0	0	0	0	0	0
delta_dapo	grpo	5	0	0	0	0	0	0	0	0	7	0	0	0
delta_drgrpo	grpo	2	1	0	0	0	0	0	0	0	0	0	0	1
delta_es	grpo	1	0	0	0	0	0	0	0	0	0	0	0	1
delta_gift	grpo	1	0	4	4	0	0	0	0	0	2	0	2	0
delta_gspo	grpo	2	1	0	0	0	0	0	0	0	1	0	0	0
delta_liteppo	grpo	2	1	0	0	0	0	0	0	0	1	0	0	0
delta_mcgrpo	grpo	2	1	0	0	0	0	0	0	0	2	0	0	0
delta_ngrpo	grpo	1	1	0	0	0	0	0	0	0	0	0	0	0
delta_ppo	grpo	4	3	0	0	0	0	0	0	0	1	0	0	0
delta_reinforce	grpo	2	1	0	0	0	0	0	0	0	1	0	0	0
delta_scafgrpo	grpo	1	0	0	0	0	0	0	0	0	1	0	0	0
delta_tool_use_llama-8b-inst	grpo	1	1	0	0	0	0	0	0	0	0	0	0	0
delta_tool_use_qwen3-32b	grpo	1	1	0	0	0	0	0	0	0	0	0	0	0
