entry_id	verdict	n_measured	n_measured_uniq	panels	metrics	n_expected	n_claimed	zvf130_xref	raw_traces	n_panels_zvf
delta_adaptiveg	PARTIAL	2	2	qp7_adaptive_armB_vs_armA_paired	reward_mean;zvf	2	2	no	none	0
delta_aero	FULL	6	6	n2_same_stack_last10;zvf130_5seed	mean_len;mean_zvf;pcd;reward_mean;zvf;zvf_risk_mean	3	6	yes	tinker_aero_qwen3.5-4b_gsm8k	1
delta_areal	FULL	6	6	n2_same_stack_last10;zvf130_5seed	mean_len;mean_zvf;pcd;reward_mean;zvf;zvf_risk_mean	3	6	yes	tinker_areal_qwen3.5-4b_gsm8k	1
delta_cppo	FULL	3	3	zvf130_5seed	mag_mean;mean_zvf;zvf_risk_mean	1	3	yes	none	1
delta_dapo	EXPECTED-ONLY	0	0	-	-	3	0	no	tinker_dapo_qwen3.5-4b_gsm8k	0
delta_drgrpo	FULL	3	3	length_bias_iter60_grpo_vs_drgrpo_paired	L_star;neg_frac;pos_frac	3	3	no	none	0
delta_es	FULL	3	3	zvf130_5seed	mag_mean;mean_zvf;zvf_risk_mean	1	3	yes	none	1
delta_gift	FULL	6	6	n2_same_stack_last10;zvf130_5seed	mean_len;mean_zvf;pcd;reward_mean;zvf;zvf_risk_mean	3	6	yes	tinker_gift_qwen3.5-4b_gsm8k	1
delta_gspo	EXPECTED-ONLY	0	0	-	-	3	0	no	tinker_gspo_qwen3.5-4b_gsm8k	0
delta_liteppo	BLANK	0	0	-	-	0	0	no	none	0
delta_mcgrpo	FULL	3	3	zvf130_5seed	mag_mean;mean_zvf;zvf_risk_mean	1	3	yes	none	1
delta_ngrpo	FULL	3	3	zvf130_5seed	mag_mean;mean_zvf;zvf_risk_mean	1	3	yes	none	1
delta_ppo	EXPECTED-ONLY	0	0	-	-	3	0	no	none	0
delta_ppo_reinforce	EXPECTED-ONLY	0	0	-	-	3	0	no	none	0
delta_reinforce	BLANK	0	0	-	-	0	0	no	none	0
delta_scafgrpo	FULL	3	3	zvf130_5seed	mag_mean;mean_zvf;zvf_risk_mean	1	3	yes	none	1
delta_tool_use_llama-8b-inst	PARTIAL	1	1	zvf130_1seed_tooluse	zvf_risk_mean	0	0	yes	none	1
delta_tool_use_qwen3-32b	PARTIAL	1	1	zvf130_1seed_tooluse	zvf_risk_mean	0	0	yes	none	1
