cell_id	field	present_in_manifest	classification	raw_value
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s0_923b060d59	cell_id	Y	PRESENT_KEYWORD	"""Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s0_923b060d59"""
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s0_923b060d59	loss_form	Y	PRESENT_NA	"""n/a-sampling"""
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s0_923b060d59	ref_policy_kl	Y	PRESENT_NA	"""n/a"""
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s0_923b060d59	sampler_backend_precision	Y	PRESENT_KEYWORD	"""tinker-closed"""
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s0_923b060d59	per_step_zvf_path	Y	PRESENT_PATH	"""/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen"
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s0_923b060d59	group_size_schedule	Y	PRESENT_KEYWORD	"""fixed-G=2"""
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s0_923b060d59	heldout_split	Y	PRESENT_KEYWORD	"""gsm8k_easy"""
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s0_923b060d59	decontamination_notes	Y	PRESENT_KEYWORD	"""gsm8k-train-slice"""
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s1_05f2eef935	cell_id	Y	PRESENT_KEYWORD	"""Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s1_05f2eef935"""
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s1_05f2eef935	loss_form	Y	PRESENT_NA	"""n/a-sampling"""
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s1_05f2eef935	ref_policy_kl	Y	PRESENT_NA	"""n/a"""
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s1_05f2eef935	sampler_backend_precision	Y	PRESENT_KEYWORD	"""tinker-closed"""
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s1_05f2eef935	per_step_zvf_path	Y	PRESENT_PATH	"""/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen"
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s1_05f2eef935	group_size_schedule	Y	PRESENT_KEYWORD	"""fixed-G=2"""
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s1_05f2eef935	heldout_split	Y	PRESENT_KEYWORD	"""gsm8k_easy"""
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s1_05f2eef935	decontamination_notes	Y	PRESENT_KEYWORD	"""gsm8k-train-slice"""
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s0_b153a50c68	cell_id	Y	PRESENT_KEYWORD	"""Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s0_b153a50c68"""
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s0_b153a50c68	loss_form	Y	PRESENT_NA	"""n/a-sampling"""
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s0_b153a50c68	ref_policy_kl	Y	PRESENT_NA	"""n/a"""
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s0_b153a50c68	sampler_backend_precision	Y	PRESENT_KEYWORD	"""tinker-closed"""
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s0_b153a50c68	per_step_zvf_path	Y	PRESENT_PATH	"""/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen"
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s0_b153a50c68	group_size_schedule	Y	PRESENT_KEYWORD	"""fixed-G=2"""
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s0_b153a50c68	heldout_split	Y	PRESENT_KEYWORD	"""gsm8k_easy"""
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s0_b153a50c68	decontamination_notes	Y	PRESENT_KEYWORD	"""gsm8k-train-slice"""
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s1_640529daef	cell_id	Y	PRESENT_KEYWORD	"""Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s1_640529daef"""
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s1_640529daef	loss_form	Y	PRESENT_NA	"""n/a-sampling"""
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s1_640529daef	ref_policy_kl	Y	PRESENT_NA	"""n/a"""
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s1_640529daef	sampler_backend_precision	Y	PRESENT_KEYWORD	"""tinker-closed"""
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s1_640529daef	per_step_zvf_path	Y	PRESENT_PATH	"""/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen"
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s1_640529daef	group_size_schedule	Y	PRESENT_KEYWORD	"""fixed-G=2"""
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s1_640529daef	heldout_split	Y	PRESENT_KEYWORD	"""gsm8k_easy"""
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s1_640529daef	decontamination_notes	Y	PRESENT_KEYWORD	"""gsm8k-train-slice"""
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s0_b6fd39319c	cell_id	Y	PRESENT_KEYWORD	"""Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s0_b6fd39319c"""
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s0_b6fd39319c	loss_form	Y	PRESENT_NA	"""n/a-sampling"""
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s0_b6fd39319c	ref_policy_kl	Y	PRESENT_NA	"""n/a"""
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s0_b6fd39319c	sampler_backend_precision	Y	PRESENT_KEYWORD	"""tinker-closed"""
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s0_b6fd39319c	per_step_zvf_path	Y	PRESENT_PATH	"""/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen"
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s0_b6fd39319c	group_size_schedule	Y	PRESENT_KEYWORD	"""fixed-G=32"""
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s0_b6fd39319c	heldout_split	Y	PRESENT_KEYWORD	"""gsm8k_easy"""
