rate	fset	flip_rate_pct	anchor_only_pct	fset_only_pct
1.44	20raw	0.55	0.31	0.24
1.44	20raw+minmax	0.45	0.27	0.18
1.44	20raw+stat	0.58	0.31	0.27
1.0	20raw	0.55	0.27	0.28
1.0	20raw+minmax	0.44	0.26	0.18
1.0	20raw+stat	0.55	0.27	0.28
0.5	20raw	0.54	0.33	0.2
0.5	20raw+minmax	0.47	0.28	0.19
0.5	20raw+stat	0.55	0.28	0.26
0.1	20raw	0.54	0.3	0.23
0.1	20raw+minmax	0.5	0.26	0.23
0.1	20raw+stat	0.59	0.28	0.3
0.05	20raw	0.54	0.32	0.21
0.05	20raw+minmax	0.54	0.28	0.25
0.05	20raw+stat	0.58	0.29	0.28
