delta_id	tier	n_declared_expected	n_sign_match	n_sign_match_significant	pct_sign_match	pct_sign_match_sig
delta_adaptiveg	B	2	1	1	50.0	50.0
delta_aero	A	3	2	1	66.67	33.33
delta_areal	A	3	2	1	66.67	33.33
delta_cppo	B	1	1	1	100.0	100.0
delta_dapo	D	0	0	0	0.0	0.0
delta_drgrpo	B	3	0	0	0.0	0.0
delta_es	B	1	1	1	100.0	100.0
delta_gift	A	3	3	2	100.0	66.67
delta_gspo	D	0	0	0	0.0	0.0
delta_liteppo	D	0	0	0	0.0	0.0
delta_mcgrpo	B	1	1	1	100.0	100.0
delta_ngrpo	B	1	1	1	100.0	100.0
delta_ppo	D	0	0	0	0.0	0.0
delta_reinforce	D	0	0	0	0.0	0.0
delta_scafgrpo	B	1	1	1	100.0	100.0
delta_tool_use_llama-8b-inst	?	0	0	0	0.0	0.0
delta_tool_use_qwen3-32b	?	0	0	0	0.0	0.0
