manifest	cell_id	check1_cellid_parses	check2_hash_unique	check3_tensor_exists	check4_tensor_G_match	check5_tensor_model_match	check6_heldout_matches_task	check7_decontam_matches_task	check8_gss_matches_G	check5_tensor_model_match_strict	check5_tensor_model_match_canon
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s0_923b060d59.json	Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s0_923b060d59	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	FAIL:naming_drift cell_id='Qwen-Qwen3-5-4B' vs tensor='Qwen/Qwen3.5-4B'	PASS
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s1_05f2eef935.json	Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s1_05f2eef935	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	FAIL:naming_drift cell_id='Qwen-Qwen3-5-4B' vs tensor='Qwen/Qwen3.5-4B'	PASS
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s0_b153a50c68.json	Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s0_b153a50c68	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	FAIL:naming_drift cell_id='Qwen-Qwen3-5-4B' vs tensor='Qwen/Qwen3.5-4B'	PASS
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s1_640529daef.json	Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s1_640529daef	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	FAIL:naming_drift cell_id='Qwen-Qwen3-5-4B' vs tensor='Qwen/Qwen3.5-4B'	PASS
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s0_b6fd39319c.json	Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s0_b6fd39319c	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	FAIL:naming_drift cell_id='Qwen-Qwen3-5-4B' vs tensor='Qwen/Qwen3.5-4B'	PASS
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s1_ee3645e450.json	Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s1_ee3645e450	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	FAIL:naming_drift cell_id='Qwen-Qwen3-5-4B' vs tensor='Qwen/Qwen3.5-4B'	PASS
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s0_ea5cf4fdaa.json	Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s0_ea5cf4fdaa	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	FAIL:naming_drift cell_id='Qwen-Qwen3-5-4B' vs tensor='Qwen/Qwen3.5-4B'	PASS
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s1_96d1e2cfdc.json	Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s1_96d1e2cfdc	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	FAIL:naming_drift cell_id='Qwen-Qwen3-5-4B' vs tensor='Qwen/Qwen3.5-4B'	PASS
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s0_b434ff671f.json	Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s0_b434ff671f	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	FAIL:naming_drift cell_id='Qwen-Qwen3-5-4B' vs tensor='Qwen/Qwen3.5-4B'	PASS
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s1_94f01720db.json	Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s1_94f01720db	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	FAIL:naming_drift cell_id='Qwen-Qwen3-5-4B' vs tensor='Qwen/Qwen3.5-4B'	PASS
