cell_id	model_family	task_slice	G	temperature	seed	n_prompts	p_hat	zvf_empirical	zvf_cells	pcd_cells	mean_reward_cells	Item14_K_var_resid	Item15_K_unique	Item16_max_K_share	Item17_p_hat_var	manifest_keys
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s0_923b060d59	Qwen/Qwen3.5-4B	gsm8k_easy	2	0.6	0	32	0.8125	0.875	0.875	0.015625	0.8125	0.179688	3	0.75	0.121094	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s1_05f2eef935	Qwen/Qwen3.5-4B	gsm8k_easy	2	0.6	1	32	0.84375	0.8125	0.8125	0.0234375	0.84375	0.076172	3	0.75	0.084961	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s0_b153a50c68	Qwen/Qwen3.5-4B	gsm8k_easy	2	1.0	0	32	0.890625	0.84375	0.84375	0.01953125	0.890625	0.038574	3	0.8125	0.05835	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s1_640529daef	Qwen/Qwen3.5-4B	gsm8k_easy	2	1.0	1	32	0.84375	0.9375	0.9375	0.0078125	0.84375	0.201172	3	0.8125	0.116211	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s0_b6fd39319c	Qwen/Qwen3.5-4B	gsm8k_easy	32	0.6	0	32	0.827148	0.5	0.5	0.05241680145263672	0.8271484375	86.423859	12	0.5	0.088866	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s1_ee3645e450	Qwen/Qwen3.5-4B	gsm8k_easy	32	0.6	1	32	0.734375	0.46875	0.46875	0.0808868408203125	0.734375	108.007812	16	0.40625	0.111572	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s0_ea5cf4fdaa	Qwen/Qwen3.5-4B	gsm8k_easy	32	1.0	0	32	0.790039	0.4375	0.4375	0.06441974639892578	0.7900390625	96.456573	13	0.375	0.09938	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s1_96d1e2cfdc	Qwen/Qwen3.5-4B	gsm8k_easy	32	1.0	1	32	0.793945	0.46875	0.46875	0.06725788116455078	0.7939453125	91.193634	13	0.4375	0.094169	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s0_b434ff671f	Qwen/Qwen3.5-4B	gsm8k_easy	4	0.6	0	32	0.75	0.8125	0.8125	0.029296875	0.75	1.625	5	0.65625	0.148438	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s1_94f01720db	Qwen/Qwen3.5-4B	gsm8k_easy	4	0.6	1	32	0.804688	0.71875	0.71875	0.04248046875	0.8046875	0.979736	5	0.65625	0.100525	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
