entry_id	B_match_rate	n_audited_B	n_mismatch	n_surrogate	model_family	task_slice
colab-open_drgrpo_e3	1.0	2	0	0		
tinker_gift_qwen3.5-4b_gsm8k	1.0	1	0	0		
colab-open_dapo_e3	0.875	8	0	0		
tinker_areal_qwen3.5-4b_gsm8k	0.0	1	0	0		
tinker_aero_qwen3.5-4b_gsm8k	0.0	1	0	0		
tinker_dapo_qwen3.5-4b_gsm8k	0.0	8	0	2		
tinker_drgrpo_qwen3.5-4b_gsm8k	0.0	2	0	2		
tinker_gspo_qwen3.5-4b_gsm8k	0.0	3	0	2		
zvf130_cppo	0.0	1	0	0		
zvf130_es	0.0	1	0	0		
zvf130_mcgrpo	0.0	2	0	0		
zvf130_ngrpo	0.0	1	0	0		
zvf130_scafgrpo	0.0	1	0	0		
