cell_id	passed	total	score	tier	fail_check_ids
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s0_923b060d59	10	10	1.0	perfect	
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s1_05f2eef935	10	10	1.0	perfect	
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s0_b153a50c68	10	10	1.0	perfect	
Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s1_640529daef	10	10	1.0	perfect	
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s0_b6fd39319c	10	10	1.0	perfect	
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s1_ee3645e450	10	10	1.0	perfect	
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s0_ea5cf4fdaa	10	10	1.0	perfect	
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s1_96d1e2cfdc	10	10	1.0	perfect	
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s0_b434ff671f	10	10	1.0	perfect	
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s1_94f01720db	10	10	1.0	perfect	
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s0_118afdc1a5	10	10	1.0	perfect	
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s1_c4ba230736	10	10	1.0	perfect	
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s0_c4991bf97d	10	10	1.0	perfect	
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s1_3af89154ca	10	10	1.0	perfect	
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s0_ef4c3f1274	10	10	1.0	perfect	
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s1_416a73f0f5	10	10	1.0	perfect	
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s0_d6dc109a20	10	10	1.0	perfect	
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s1_b9bc86f4ea	10	10	1.0	perfect	
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s0_50c249bd96	10	10	1.0	perfect	
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s1_9c43d86c6b	10	10	1.0	perfect	
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t1_s0_5521a4a193	10	10	1.0	perfect	
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t1_s1_5abf741165	10	10	1.0	perfect	
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t0.6_s0_567e2fc7f9	10	10	1.0	perfect	
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t0.6_s1_dbb41c261e	10	10	1.0	perfect	
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t1_s0_cd3e28cb0e	10	10	1.0	perfect	
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t1_s1_05d36328de	10	10	1.0	perfect	
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t0.6_s0_eaa0c23aa2	10	10	1.0	perfect	
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t0.6_s1_f0e7e296e3	10	10	1.0	perfect	
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t1_s0_f7266511fb	10	10	1.0	perfect	
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t1_s1_3bf25dbc01	10	10	1.0	perfect	
Qwen-Qwen3-5-4B_humaneval_subset_G16_t0.6_s0_4bcb7d7b0e	10	10	1.0	perfect	
Qwen-Qwen3-5-4B_humaneval_subset_G16_t0.6_s1_2242878eaa	10	10	1.0	perfect	
Qwen-Qwen3-5-4B_humaneval_subset_G16_t1_s0_5fdcf7ed0b	10	10	1.0	perfect	
Qwen-Qwen3-5-4B_humaneval_subset_G16_t1_s1_51bf6b93a1	10	10	1.0	perfect	
Qwen-Qwen3-5-4B_humaneval_subset_G2_t0.6_s0_5e1ac2c1f5	10	10	1.0	perfect	
Qwen-Qwen3-5-4B_humaneval_subset_G2_t0.6_s1_e6553565b9	10	10	1.0	perfect	
Qwen-Qwen3-5-4B_humaneval_subset_G2_t1_s0_d876309eb2	10	10	1.0	perfect	
Qwen-Qwen3-5-4B_humaneval_subset_G2_t1_s1_d247b1d0ea	10	10	1.0	perfect	
Qwen-Qwen3-5-4B_humaneval_subset_G32_t1_s1_8452f56ff7	10	10	1.0	perfect	
Qwen-Qwen3-5-4B_humaneval_subset_G4_t0.6_s0_27daa4cda5	10	10	1.0	perfect	
Qwen-Qwen3-5-4B_humaneval_subset_G4_t0.6_s1_7c9b62a065	10	10	1.0	perfect	
Qwen-Qwen3-5-4B_humaneval_subset_G4_t1_s0_a47da09000	10	10	1.0	perfect	
Qwen-Qwen3-5-4B_humaneval_subset_G4_t1_s1_6288406035	10	10	1.0	perfect	
Qwen-Qwen3-5-4B_humaneval_subset_G8_t0.6_s0_9bee70250b	10	10	1.0	perfect	
Qwen-Qwen3-5-4B_humaneval_subset_G8_t0.6_s1_88242e7f3e	10	10	1.0	perfect	
Qwen-Qwen3-5-4B_humaneval_subset_G8_t1_s0_30b6719385	10	10	1.0	perfect	
Qwen-Qwen3-5-4B_humaneval_subset_G8_t1_s1_9ab9fb26c7	10	10	1.0	perfect	
meta-llama-Llama-3-2-3B_gsm8k_easy_G16_t0.6_s0_8e446dc877	10	10	1.0	perfect	
meta-llama-Llama-3-2-3B_gsm8k_easy_G16_t0.6_s1_e9a9423400	10	10	1.0	perfect	
